
[00:00:00.000 --> 00:00:17.480]   Thank you all for joining today. Thank you for staying if you stayed from the previous session
[00:00:17.480 --> 00:00:24.000]   as well. I know there were a bunch of GitHub talks, so I'm very excited that you got to hear
[00:00:24.000 --> 00:00:28.000]   from all of us from all different places within the company, but also from all different teams.
[00:00:28.800 --> 00:00:34.800]   So, you heard a lot about co-pilots, a lot, a lot about co-pilot. Co-pilot today, co-pilot
[00:00:34.800 --> 00:00:39.700]   tomorrow, co-pilot in the next year, maybe in a couple years. So, from workspaces to get
[00:00:39.700 --> 00:00:44.800]   a co-pilot enterprise to co-pilot futures, there's so much more going on with co-pilot
[00:00:44.800 --> 00:00:50.160]   itself. But what we really want to actually do within GitHub is not only incorporate some
[00:00:50.160 --> 00:00:54.400]   of the new features and capabilities within co-pilot only, but we also want to incorporate
[00:00:54.400 --> 00:00:59.360]   it as part of the platform. So, everything within the platform itself will start having
[00:00:59.360 --> 00:01:03.800]   AI in it. So, today, you've heard a lot about co-pilot. Obviously, we're at an AI conference.
[00:01:03.800 --> 00:01:08.800]   So, if you didn't, that would have been a bad thing. But with collaboration, productivity and
[00:01:08.800 --> 00:01:14.400]   security, those are some of our biggest aspects of the GitHub core platform capabilities there.
[00:01:14.400 --> 00:01:19.360]   From pull requests, as you heard some of the code review things that were happening earlier on. But also from
[00:01:19.360 --> 00:01:24.800]   productivity perspective, how do you gain momentum and get more developers excited to do their work across
[00:01:24.800 --> 00:01:30.800]   their developer platforms, especially if they're using GitHub co-pilots. How do you get that momentum going
[00:01:30.800 --> 00:01:37.360]   from a productivity perspective? And then, security. Security, I feel like, hasn't been talked about as much in terms of how can we
[00:01:37.360 --> 00:01:46.320]   how can we improve app sec with AI rather than just how do we talk about security around AI. Security around AI is
[00:01:46.320 --> 00:01:53.280]   probably something talked about all the time from legal to privacy to everything in between. But what we want to
[00:01:53.280 --> 00:01:59.600]   do at GitHub is to also incorporate AI to make sure that security is also being progressed along with the new
[00:01:59.600 --> 00:02:06.000]   capabilities that we're seeing today. And everything that GitHub does, we want to do it with scale. We want to build our
[00:02:06.000 --> 00:02:12.320]   integrations and our APIs. So anything that I've talked about today is generally API backed or there's a third party integrator that
[00:02:12.320 --> 00:02:16.800]   also comes in and helps with a lot of the capabilities. There's never one path that
[00:02:16.800 --> 00:02:22.720]   solves all the answers. So we want to make sure that all of our customers, you know, have a path away to a solution, have a
[00:02:22.720 --> 00:02:30.880]   path to that solution. Today, if you didn't know, actually, this might be not the latest numbers, actually. But I
[00:02:30.880 --> 00:02:35.760]   think the numbers are more. I haven't updated the slide in a while. But there's over 100 million
[00:02:35.760 --> 00:02:42.880]   developers registered on GitHub. There's 4 million organizations, 90% of the Fortune 100 companies,
[00:02:42.880 --> 00:02:48.560]   which sometimes I'm surprised by the numbers because I know everybody uses GitHub. But like 90% of the
[00:02:48.560 --> 00:02:54.720]   Fortune 100 is mind blowing. I work with customers day in, day out. But this is still mind blowing to see,
[00:02:54.720 --> 00:02:59.760]   because that is how we get a lot of our feedback. That's how we get a lot of our community part of the
[00:02:59.760 --> 00:03:05.040]   conversation. That's how we build a lot of our features. Anything that we do, we incorporate that community
[00:03:05.040 --> 00:03:11.600]   back into the conversation. By means of introductions, I'm Sarah Khalifa. I'm a principal
[00:03:11.600 --> 00:03:17.360]   solutions engineer here at GitHub. I've been at GitHub for about four and a half years now, which is a
[00:03:17.360 --> 00:03:26.240]   long time for GitHub's life. And it was pre-copilot, pre some of the capabilities, almost pre-actions,
[00:03:26.240 --> 00:03:31.920]   if you use actions. So, you know, we've seen the platform grow a lot during the last couple of years.
[00:03:31.920 --> 00:03:37.120]   But like I said, the community is what really makes it the biggest, better platform across the board.
[00:03:37.120 --> 00:03:42.960]   Our customers, our vendors, our partners, everybody that is part of that conversation is how we really get
[00:03:42.960 --> 00:03:48.160]   into the next iteration of what we're going to build. And I'm lucky enough to work with a lot of
[00:03:48.160 --> 00:03:52.720]   customers. So I'm working on the customer side of things. All my customers today are financial services,
[00:03:52.720 --> 00:03:57.280]   but over the last four and a half years, I've been working with all types of customers from all
[00:03:57.280 --> 00:04:01.920]   different parts of the industries outside in this enterprise world that we live in.
[00:04:01.920 --> 00:04:08.800]   So I did a quick introduction of what is the GitHub platform today. We talked about
[00:04:08.800 --> 00:04:13.360]   co-pilot, but that's only one aspect. We talked a little about collaboration. You heard about it earlier
[00:04:13.360 --> 00:04:18.800]   on through Christina and Chris's session. You also heard a lot about productivity, especially with
[00:04:18.800 --> 00:04:24.000]   copilot being in that conversation. But today we're going to talk about GitHub advanced security and
[00:04:24.000 --> 00:04:29.200]   how we're incorporating AI into that. If you haven't heard of GitHub advanced security, don't worry,
[00:04:29.200 --> 00:04:33.600]   I'm going to cover what is GitHub advanced security. And then we're going to talk about some of the new
[00:04:33.600 --> 00:04:38.240]   features are coming along that are the AI aspects into advanced security. And then we'll do a live demo,
[00:04:38.240 --> 00:04:42.640]   because as you can see, all of our GitHub teams here love doing live demos, even if they don't work,
[00:04:42.640 --> 00:04:48.160]   or if they work better than they expect, which is a very great example of what happened in the earlier session today.
[00:04:48.160 --> 00:04:55.360]   Okay. So we'll be focusing on one aspect of the platform, and then we'll be talking about
[00:04:55.360 --> 00:04:59.760]   specifically security. So how can we incorporate security in our day-to-day work? And then how can
[00:04:59.760 --> 00:05:06.880]   AI improve that experience for developers? Who here has used GitHub advanced security? Anybody?
[00:05:06.880 --> 00:05:14.160]   Nice. A couple people. So what is GitHub advanced security? So GitHub advanced security allows you to
[00:05:14.160 --> 00:05:21.360]   incorporate, think of it as your AppSec aspects into your developer platform day in, day out, and has that
[00:05:21.360 --> 00:05:26.320]   GitHub experience. So when we talk about advanced security, we have code scanning. Code scanning allows
[00:05:26.320 --> 00:05:32.080]   you to do SaaS and other types of code scanning within the developer platform, within the GitHub ecosystem,
[00:05:32.080 --> 00:05:36.720]   to find vulnerabilities and detect different patterns that are vulnerable to then help remediate them
[00:05:36.720 --> 00:05:42.080]   faster. With code scanning today, there are two aspects that I would say are the more popular aspects
[00:05:42.080 --> 00:05:46.480]   to talk about. And we can talk about a lot more if you want to come to the GitHub, Microsoft and GitHub
[00:05:46.480 --> 00:05:52.880]   booth later on. But code scanning today allows you to detect vulnerabilities using code QL, which is our
[00:05:52.880 --> 00:05:57.840]   internal or proprietary language, I guess, but it's open source. So you can actually build it,
[00:05:57.840 --> 00:06:03.440]   your own queries yourself. But with code scanning today, it allows you to detect different vulnerable
[00:06:03.440 --> 00:06:08.400]   patterns across your code. We'll find the data flow and be able to analyze that data flow to understand
[00:06:08.400 --> 00:06:14.000]   where the vulnerability is, and what type of source and exploits you have within that vulnerability.
[00:06:14.000 --> 00:06:18.240]   So that makes it super powerful, especially when we talk about some of the AI aspects that we're adding
[00:06:18.240 --> 00:06:23.680]   to it, because we have the context and we have that information in there. With code QL today,
[00:06:23.680 --> 00:06:30.240]   there are more than I don't even know how many query packs that we offer internally or from the GitHub
[00:06:30.240 --> 00:06:34.880]   side. But we also bring in that community. So anything that we do is community backed. And sorry,
[00:06:34.880 --> 00:06:39.440]   I keep hitting the mic. But anything that we do is community backed. So when we talk about code QL,
[00:06:39.440 --> 00:06:44.240]   it's not just our queries, it's Microsoft queries, it's Google's queries, it's Uber's queries, and so forth.
[00:06:44.240 --> 00:06:49.440]   And we build that aspect of community in even in security, just because we know there's never going to
[00:06:49.440 --> 00:06:54.160]   be GitHub is going to answer every single question that you may have, especially for the companies
[00:06:54.160 --> 00:07:00.000]   that you work for. The other aspect of code scanning is to incorporate third party integrations. So again,
[00:07:00.000 --> 00:07:04.000]   this is where our vendor and partnership comes through. So if you're using something like container
[00:07:04.000 --> 00:07:09.280]   scanning, code scanning today, code QL specifically is more focused on SaaS. We're not going to do
[00:07:09.280 --> 00:07:14.320]   container scanning today, at least not in the near future. So why not incorporate some of the results
[00:07:14.320 --> 00:07:20.080]   back into your pull request and get that information and feedback sooner than later. So that's an aspect
[00:07:20.080 --> 00:07:25.360]   of third party integrations, code scanning, infrastructures, code scanning, sorry, container
[00:07:25.360 --> 00:07:29.120]   scanning, infrastructures, code scanning, or any other third parties that you want to integrate with,
[00:07:29.120 --> 00:07:35.440]   you can do that through serif inputs through code scanning. The biggest win, which all my customers have
[00:07:35.440 --> 00:07:41.360]   loved, and I don't know if you felt it if you're doing even open source work is secret scanning. Secret
[00:07:41.360 --> 00:07:48.400]   scanning is a lifesaver in many, many cases. How many times has somebody accidentally left some,
[00:07:48.400 --> 00:07:56.640]   you know, secrets, maybe AWS or Azure keys in there in their log file without realizing and, you know,
[00:07:56.640 --> 00:08:03.600]   it happens. You do a test file and you forget to add it to your git ignore. It saves, it saves a lot of
[00:08:03.600 --> 00:08:11.040]   Bitcoin miners being spun up within your environment. So secret scanning does a full-blown analysis of secrets
[00:08:11.040 --> 00:08:17.680]   across your repositories from API keys to your own custom secrets and using AI that I'll be talking
[00:08:17.680 --> 00:08:23.120]   about in a little bit on how to detect other types of secrets that are just plain text but really hard
[00:08:23.120 --> 00:08:28.400]   to reduce the amount of false positives on them. AI can really help with that. So with secret scanning,
[00:08:28.400 --> 00:08:33.200]   it's been the biggest win across all of my customers and it's been a big, big discussion on how do we
[00:08:33.200 --> 00:08:40.080]   prevent things but also how do we reactively and proactively prevent things. So proactively what we
[00:08:40.080 --> 00:08:45.600]   have incorporated was push protection so it allows you to block any pushes that are coming to the GitHub
[00:08:45.600 --> 00:08:51.440]   ecosystem before the secret is being exposed or before it goes into your git commit history so then you can,
[00:08:51.440 --> 00:08:55.840]   you don't have to revoke it at that point. But what's in your git commit history? We don't recommend
[00:08:55.840 --> 00:09:00.080]   deleting anything in your git commit history especially if you work for a regulated industry
[00:09:00.080 --> 00:09:06.800]   that goes through audits and has to maintain a lot of historical aspects very precisely. That's where
[00:09:06.800 --> 00:09:11.920]   we just recommend, hey, we are able to detect not only your current state but all your git history
[00:09:11.920 --> 00:09:16.720]   and other issues, pull requests, comments and pull requests and so forth if there's any secrets in
[00:09:16.720 --> 00:09:24.320]   those and we really recommend revoking them. And last but not least, supply chain security. If you
[00:09:24.320 --> 00:09:30.400]   have maybe heard of it as Dependabot is one of the tools within the supply chain security aspect of it,
[00:09:30.400 --> 00:09:36.160]   Dependabot allows you to detect dependencies that are vulnerable today. So with Dependabot, it gives you
[00:09:36.160 --> 00:09:41.360]   an opportunity to say, hey, I found vulnerabilities for these dependents or found that these dependencies are
[00:09:41.360 --> 00:09:45.840]   vulnerable. So maybe we need to upgrade to the latest version. There's going to be some additional AI
[00:09:45.840 --> 00:09:49.280]   components are being added to that as well. But that's something that I won't be covering as much
[00:09:49.280 --> 00:09:56.240]   today because that's still early earlier on in the stages there. Some of our secret scanning partners
[00:09:56.240 --> 00:10:02.240]   that we work with today are very much common vendors that you might be working with throughout the
[00:10:02.240 --> 00:10:07.040]   your day to day. But this is where again, we talk about the community and the vendors and the partners
[00:10:07.040 --> 00:10:10.800]   that we work with. Because what we do is for secret scanning is not only
[00:10:10.800 --> 00:10:16.240]   incorporate their patterns, but we also push them to improve how they're doing the patterns to make
[00:10:16.240 --> 00:10:22.160]   sure that their vulnerability, their secrets are in general, are not going to create a lot of false
[00:10:22.160 --> 00:10:28.240]   positives. So we create a kind of like a mechanism for them to add hashes and more kind of more specific
[00:10:28.240 --> 00:10:34.880]   information to be able to detect these secrets almost at 99%, 99.9 something percent. I don't know the
[00:10:34.880 --> 00:10:39.280]   exact average that we have today, but it's pretty high up there and it reduces the amount of false
[00:10:39.280 --> 00:10:45.280]   positives so significantly when you use some of our high fidelity partners that we work with.
[00:10:45.280 --> 00:10:53.840]   So, at any given point in time, GitHub really believes security should be part of the day-to-day
[00:10:53.840 --> 00:10:58.720]   responsibilities of everybody. It's a shared responsibility. It's never just AppSec saying,
[00:10:58.720 --> 00:11:05.360]   hey, you need to fix these 10 vulnerabilities by tomorrow or else we can't deploy. It's never just
[00:11:05.360 --> 00:11:10.240]   the developer trying to figure out how to fix this vulnerability that they've never even heard of or
[00:11:10.240 --> 00:11:16.160]   maybe not even understand to then be able to deploy on time. So it should be more of a shared
[00:11:16.160 --> 00:11:20.640]   responsibility. So our goal is to bridge that gap and make that conversation a lot easier. So anything that
[00:11:20.640 --> 00:11:25.280]   we do with advanced security, anything that we're doing with AI allows you to really add that aspect
[00:11:25.280 --> 00:11:36.320]   into it. So what can AI do for us? How can we benefit with, how can AI benefit security? With AI, there's so
[00:11:36.320 --> 00:11:41.280]   much more that you can do, especially with generative AI, as you can see with co-pilot, with all the new
[00:11:41.280 --> 00:11:46.240]   customers, vendors, partners that you're seeing here at this conference. There's just so many aspects to
[00:11:46.240 --> 00:11:51.360]   it. So the first couple of things that we've noticed right off the bat is easier identification.
[00:11:51.360 --> 00:11:58.160]   How can we help, how can AI help us identify vulnerabilities or secrets much easier? How can we
[00:11:58.160 --> 00:12:03.280]   have faster remediation? So when you identify things, if you're not fixing them, then what's the point of
[00:12:03.280 --> 00:12:07.760]   identifying them half the time, right? If you're not going to fix the vulnerabilities, that's where the
[00:12:07.760 --> 00:12:14.160]   actual issue is. It's easy to find vulnerabilities lately, a lot more easier than they were before,
[00:12:14.160 --> 00:12:19.360]   but fixing them is the actual issue. And that's where the productivity aspect also comes into play.
[00:12:19.360 --> 00:12:23.920]   And last but not least, driving that productivity. The faster you're able to fix vulnerabilities, the
[00:12:23.920 --> 00:12:29.440]   faster you're able to be a little more productive, increase your like security risk postures of where
[00:12:29.440 --> 00:12:35.680]   your company may be today, reduce the amount of, you know, turmoil that you have to hit, you know,
[00:12:35.680 --> 00:12:40.720]   by deploying earlier on with the fix rather than waiting to like production or after production,
[00:12:40.720 --> 00:12:46.160]   or when a customer is using your product already. But in general, this is where AI, we see AI really
[00:12:46.160 --> 00:12:55.520]   helping introduce a lot more of that, more of those capabilities. So first, but not the most important,
[00:12:55.520 --> 00:13:02.000]   but it is probably the biggest one that we are very excited for is code scanning autofix. With code
