
[00:00:00.040 --> 00:00:09.480]   Оп
[00:00:09.480 --> 00:00:10.440]  'm la
[00:00:10.440 --> 00:00:11.880]   데�
[00:00:11.880 --> 00:00:19.260]   ac
[00:00:57.720 --> 00:00:57.720]   The
[00:00:57.720 --> 00:00:57.720]   and
[00:00:57.720 --> 00:00:57.720]   and
[00:01:26.600 --> 00:01:26.600]   and
[00:01:26.600 --> 00:01:26.620]   and
[00:01:26.620 --> 00:01:26.620]  obedied.com/subs.txt. I'm going to talk about planning tactics. Rather, these are soft skills, things that you can use and develop to enhance your career and enhance in the long term the outcome that you gain from your work. I generally tend to keep Radical Personal Finance free of current events, unless they are somehow related to some impending financial news that you need to know. And of course, from time to time, there's some of that, or unless there are valuable lessons in it. Today, we're going to talk about networking and developing a network.
[00:01:26.660 --> 00:01:28.560]   pay
[00:01:28.560 --> 00:01:37.680]   gew. Ra demand a is
[00:01:52.280 --> 00:02:17.500]  手. The details of that are not material to our conversation except as it relates to the income that politicians can gain from their involvement in politics. My interest is specifically in the story of the son of former President Joe Biden, Hunter Biden. And that story is part of the
[00:02:17.500 --> 00:02:17.860]   and that story is part of the fact pattern over which is being vigorously debated in the United States.
[00:02:17.900 --> 00:02:27.700]   knitting was...
[00:02:27.700 --> 00:02:28.900]   50
[00:02:28.900 --> 00:02:32.240]   differencesięcy Wed B W S K A End
[00:02:32.240 --> 00:02:36.280]   el
[00:02:36.280 --> 00:02:45.980]   걸로 corpo mo show und flew go do cooperate wanted to the Mand Wu solic try Dann, for the He, sai, the, the, a, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the,.,.,,.,.,.,.,.,.,.,.,.,., Triple than,�,舞 Piet�, wind a,associations garn't.從邊 Guru hold just Towowa produces动 這 stage for Sonic said notondern�e. entrev glENA Serv grey tap was geb這是ew**** gray kilo i Nil ave investigations granted work in Performance clay as căέρ A στα nouveau Ax Seriously
[00:02:46.040 --> 00:02:54.680]   at
[00:02:54.680 --> 00:02:57.600]   lot and
[00:03:16.060 --> 00:03:26.380]   as
[00:03:26.380 --> 00:03:44.780]   excessive that is
[00:03:46.060 --> 00:03:53.240]   and be in charge of its legal department.
[00:03:53.240 --> 00:03:56.620]   A spokeswoman for the vice president declined to comment.
[00:03:56.620 --> 00:03:58.560]   That was from 2014.
[00:03:58.560 --> 00:04:02.220]   And a little piece of news that more people today have become aware of
[00:04:02.220 --> 00:04:04.160]   than they were in 2014-2015
[00:04:04.160 --> 00:04:06.940]   is that Hunter Biden was, allegedly,
[00:04:06.940 --> 00:04:09.000]   as far as I know this is not a disputed fact,
[00:04:09.000 --> 00:04:10.680]   I guess I should just say he was being paid
[00:04:10.680 --> 00:04:15.560]   a salary of $50,000 per month or $600,000 per year
[00:04:15.560 --> 00:04:16.060]   in terms of the amount of money that he was being paid
[00:04:16.060 --> 00:04:16.060]   and he was being paid $600,000 per year
[00:04:16.060 --> 00:04:16.060]   and he was being paid $600,000 per year
[00:04:16.060 --> 00:04:16.060]   and he was being paid $600,000 per year
[00:04:16.060 --> 00:04:16.060]   and he was being paid $600,000 per year
[00:04:16.060 --> 00:04:16.060]   and he was being paid $600,000 per year
[00:04:16.060 --> 00:04:16.060]   and he was being paid $600,000 per year
[00:04:16.060 --> 00:04:16.060]   and he was being paid $600,000 per year
[00:04:16.080 --> 00:04:46.080]   and he was being paid $600,000 per year
[00:04:46.080 --> 00:04:46.080]   and he was being paid $600,000 per year
[00:04:46.120 --> 00:05:16.100]   잊은 $600,000 per year
[00:05:16.100 --> 00:05:16.100]   and he was being paid $600,000 per year
[00:05:16.100 --> 00:05:16.100]   and he was being paid $600,000 per year
[00:05:16.100 --> 00:05:16.100]   and he was being paid $600,000 per year
[00:05:16.100 --> 00:05:16.100]   and he was being paid $600,000 per year
[00:05:16.100 --> 00:05:16.100]   and he was being paid $600,000 per year
[00:05:16.100 --> 00:05:16.100]   and he was being paid $600,000 per year
