
[00:00:00.000 --> 00:00:06.080]   Welcome back everyone.
[00:00:06.080 --> 00:00:09.440]   This is part four in our series on contextual representations.
[00:00:09.440 --> 00:00:11.200]   We have come to what might be
[00:00:11.200 --> 00:00:13.880]   the most famous transformer-based architecture,
[00:00:13.880 --> 00:00:15.960]   and that is GPT.
[00:00:15.960 --> 00:00:18.280]   I thought I would start this discussion
[00:00:18.280 --> 00:00:19.720]   in a technical place,
[00:00:19.720 --> 00:00:21.960]   that is the autoregressive loss function that's
[00:00:21.960 --> 00:00:24.680]   usually used for neural language modeling.
[00:00:24.680 --> 00:00:26.180]   Then I'm going to try to support
[00:00:26.180 --> 00:00:28.960]   that technical piece with a bunch of illustrations.
[00:00:28.960 --> 00:00:30.880]   Here is the full loss function.
[00:00:30.880 --> 00:00:32.780]   There are a lot of mathematical details here.
[00:00:32.780 --> 00:00:36.520]   I think the smart thing to do is zoom in on the numerator.
[00:00:36.520 --> 00:00:39.760]   What we're saying here is that at position T,
[00:00:39.760 --> 00:00:42.400]   we're going to look up the token representation
[00:00:42.400 --> 00:00:44.360]   for T in our embedding layer,
[00:00:44.360 --> 00:00:48.120]   and do a dot product of that vector representation with
[00:00:48.120 --> 00:00:51.100]   the hidden representation that we have built up in
[00:00:51.100 --> 00:00:53.560]   our model to the time-step preceding
[00:00:53.560 --> 00:00:56.420]   the one that is in focus here, time-step T.
[00:00:56.420 --> 00:00:59.540]   The rest of this is softmax normalization.
[00:00:59.540 --> 00:01:03.620]   So we do that same calculation for every item in the vocabulary.
[00:01:03.620 --> 00:01:05.140]   Then we take the log of that,
[00:01:05.140 --> 00:01:06.980]   and we are looking for parameters that will
[00:01:06.980 --> 00:01:09.340]   maximize this log probability.
[00:01:09.340 --> 00:01:12.420]   But again, the thing to keep an eye on is that the scoring is
[00:01:12.420 --> 00:01:14.560]   based in the dot product of
[00:01:14.560 --> 00:01:17.620]   the embedding representation for the token we want to
[00:01:17.620 --> 00:01:20.420]   predict and the hidden representation that we have
[00:01:20.420 --> 00:01:24.540]   built up until the time before that time-step.
[00:01:24.540 --> 00:01:28.460]   Here's that same thing by way of an illustration.
[00:01:28.460 --> 00:01:30.380]   Our sequence is the rock rules,
[00:01:30.380 --> 00:01:31.900]   and for this language modeling,
[00:01:31.900 --> 00:01:35.780]   I think it's good to keep track of start and end tokens here.
[00:01:35.780 --> 00:01:38.260]   We begin modeling with that start token,
[00:01:38.260 --> 00:01:41.100]   which is given, that is at position T1,
[00:01:41.100 --> 00:01:43.660]   and we look up its embedding representation,
[00:01:43.660 --> 00:01:47.660]   and then we form some hidden representation H1.
[00:01:47.660 --> 00:01:49.780]   Then to predict the,
[00:01:49.780 --> 00:01:52.380]   which is now at time-step 2,
[00:01:52.380 --> 00:01:56.180]   we are going to use H1 here,
[00:01:56.180 --> 00:01:59.820]   dot producted with the embedding representation for the.
[00:01:59.820 --> 00:02:03.100]   Remember, that's the numerator in that scoring function.
[00:02:03.100 --> 00:02:06.860]   At time-step 2, we now copy over the, and we continue,
[00:02:06.860 --> 00:02:09.060]   we get its embedding representation.
[00:02:09.060 --> 00:02:12.180]   Here I'm depicting like a recurrent neural network.
[00:02:12.180 --> 00:02:14.860]   So we're traveling left to right just to keep things simple.
[00:02:14.860 --> 00:02:18.460]   I'll talk about how GPT handles this in a bit later.
[00:02:18.460 --> 00:02:19.820]   So we traveled left to right,
[00:02:19.820 --> 00:02:22.260]   and we got a second hidden representation H2,
[00:02:22.260 --> 00:02:23.980]   and again, the scoring is the same.
[00:02:23.980 --> 00:02:26.140]   To predict the rock at position 3,
[00:02:26.140 --> 00:02:29.260]   we use H2 and the embedding for rock.
[00:02:29.260 --> 00:02:32.940]   Then the sequence modeling continues in exactly that same way
[00:02:32.940 --> 00:02:35.820]   until we predict our end token.
[00:02:35.820 --> 00:02:37.980]   But for each one of these time-steps,
[00:02:37.980 --> 00:02:41.500]   remember what we're doing is getting a score for the rock that is
[00:02:41.500 --> 00:02:46.420]   proportional to the dot product of the embedding for that token,
[00:02:46.420 --> 00:02:48.780]   and the hidden representation just
[00:02:48.780 --> 00:02:51.580]   prior to that point that we're making the prediction at.
[00:02:51.580 --> 00:02:56.020]   Then we exponentiate that for the sake of doing that softmax scoring.
[00:02:56.020 --> 00:02:58.180]   When we move to GPT,
[00:02:58.180 --> 00:03:01.340]   we're essentially just doing this in the context of a transformer.
[00:03:01.340 --> 00:03:03.060]   So to depict that,
[00:03:03.060 --> 00:03:07.900]   I've got at the bottom here a traditional absolute encoding scheme for positions.
[00:03:07.900 --> 00:03:11.860]   We look up all those static vector representations,
[00:03:11.860 --> 00:03:16.700]   and we get our first contextual representations in green as usual.
[00:03:16.700 --> 00:03:19.700]   Then for GPT, we might stack lots and lots of
[00:03:19.700 --> 00:03:22.660]   transformer blocks on top of each other.
[00:03:22.660 --> 00:03:26.180]   Eventually though, we will get some output representations.
[00:03:26.180 --> 00:03:28.740]   Those are the ones that I've depicted in green here,
[00:03:28.740 --> 00:03:31.420]   and those will be the basis for language modeling.
[00:03:31.420 --> 00:03:36.260]   We will add on top of those some language modeling specific parameters,
[00:03:36.260 --> 00:03:38.220]   which could just be the embedding layer that
[00:03:38.220 --> 00:03:40.980]   comes from the word embeddings down here.
[00:03:40.980 --> 00:03:45.300]   That will be the basis for predicting the actual sequence.
