
[00:00:00.000 --> 00:00:07.060]   I just, I got to tell you about what happened to me when I got back from my nearly month up in
[00:00:07.060 --> 00:00:14.020]   New England. You know, and our listeners know that I'm a fan of metrics. My time block planner even
[00:00:14.020 --> 00:00:19.220]   has a space on it for recording daily metrics. So when I got back from New England, I said,
[00:00:19.220 --> 00:00:23.460]   what I'm going to do is I'm going to get a new set of metrics all ready to go for the fall season
[00:00:23.460 --> 00:00:28.040]   that's coming up. Let's go. What's important in my life? What am I focusing on? What are my goals?
[00:00:28.040 --> 00:00:33.120]   I wrote out the metrics. I printed them out. I taped them. I kid you not. I taped them under the
[00:00:33.120 --> 00:00:37.140]   cover of my time block planner so I could measure those every night and I got into it. And Jesse,
[00:00:37.140 --> 00:00:44.000]   here's what happened. I promptly failed and I failed hard, right? Like, you know, Jesse knows I've been
[00:00:44.000 --> 00:00:48.760]   telling him I've had a super busy week coming back from New England. A lot of things scheduled. I'm
[00:00:48.760 --> 00:00:53.620]   doing something like three to four interviews or talks. Some of them I'm giving, some of them on the
[00:00:53.620 --> 00:00:58.240]   other side of. I was giving lectures, we're podcasting, all sorts of stuff going on. Super busy
[00:00:58.240 --> 00:01:02.300]   time. And I was getting there at the end of each night to write down the metrics of what I did that
[00:01:02.300 --> 00:01:08.080]   day. And I was having one I could write down or maybe just like two that I could write down. I mean,
[00:01:08.080 --> 00:01:13.760]   I wasn't getting anywhere near making the progress on the stuff that my metrics would have me make
[00:01:13.760 --> 00:01:20.320]   progress on. Last night, I finally just gave up and I actually wrote this stress default. I was like,
[00:01:20.320 --> 00:01:23.800]   I'm not even going to bother writing one metric. It's too depressing. I'm stressed out about this.
[00:01:23.800 --> 00:01:27.700]   I'm making progress on nothing. I'm declaring bankruptcy. I'm not even going to write down
[00:01:27.700 --> 00:01:33.540]   any metrics. So this is what I want to talk about today. The joys and sorrows of tracking metrics in
[00:01:33.540 --> 00:01:38.060]   your life. So I want to remind us like why I think metrics are important. I want to talk about what goes
[00:01:38.060 --> 00:01:44.540]   wrong with metrics, including what went wrong with me. And then I want to talk about in the third act,
[00:01:45.040 --> 00:01:50.820]   how to handle metrics smarter, which will include how I ended up actually responding to my heart
[00:01:50.820 --> 00:01:54.840]   failure this week and sort of fixing my metric practice. All right. So that is our goal. Today,
[00:01:54.840 --> 00:02:01.680]   we're talking metrics. We'll start with act one, the promise of metrics. All right. So we got to get
[00:02:01.680 --> 00:02:05.640]   into it. If you're not a longtime listener, you might be wondering, what does he really mean by metrics?
[00:02:05.640 --> 00:02:11.240]   It's a good question. These can mean multiple different things. So if a lot of people like the
[00:02:11.240 --> 00:02:17.280]   quantified life type people out there for them, metrics mean just gathering data about your day
[00:02:17.280 --> 00:02:25.040]   that you will then later look back at for trends. All right. So health type stuff, health biomarkers,
[00:02:25.040 --> 00:02:29.360]   maybe wear a whoop strap and whatever you do, you're going to collect this data and you're going to look
[00:02:29.360 --> 00:02:34.480]   at it for trends. It doesn't have to be health. Jesse, remember we had David DeWayne on, what was that
[00:02:34.480 --> 00:02:39.700]   like a couple of months ago? Yeah. And he talked about, he was tracking every day, just how happy he was,
[00:02:39.700 --> 00:02:43.580]   like how good of a day it is. So that's what some people think about with metrics, right? It's not
[00:02:43.580 --> 00:02:50.780]   what I mean. When I talk about metrics, what I mean about is short little coded sequences of letters
[00:02:50.780 --> 00:02:58.340]   that you use to track whether or not you did certain things or to what degree you did them. So it's not
[00:02:58.340 --> 00:03:05.340]   gathering data to analyze, it's tracking action. So here are some sample metrics. These are of the
[00:03:05.340 --> 00:03:11.900]   binary nature. You either did them or not. I exercised or not. I stretched or not. I spent
[00:03:11.900 --> 00:03:17.860]   one-on-one time with, you know, one of my kids today or not. I practiced my guitar, right? Those
[00:03:17.860 --> 00:03:21.740]   are sample things you could have metrics for. It's things you either did or you didn't, and you have
[00:03:21.740 --> 00:03:27.260]   something you can write down to indicate that you did. Some metrics are quantitative. So it's not just
[00:03:27.260 --> 00:03:32.160]   did I do it or not, but to what degree. So for example, a step count, here's how many steps I took
[00:03:32.160 --> 00:03:37.680]   today where you presumably maybe have some sort of minimum you're hoping to beat. Maybe the number
[00:03:37.680 --> 00:03:41.360]   of pages you read in a book is something else you might track. So it's not just that I read or not,
[00:03:41.360 --> 00:03:45.500]   but how much did I read? And maybe you have a goal of how much reading you want to try to get to most
[00:03:45.500 --> 00:03:51.440]   nights, but maybe sometimes you even go farther. The goal with this style of metrics is to stay on
[00:03:51.440 --> 00:03:57.640]   track with the things that you care about, all right? Because this is a problem I think we face
[00:03:57.640 --> 00:04:04.100]   with time management and organization that it's a, it's possible that you're super on the ball with
[00:04:04.100 --> 00:04:09.760]   your, your, your organizational tactics, right? You're multi-scale planning. Uh, you look at your
[00:04:09.760 --> 00:04:14.100]   week, you're fitting in your work, your time block plan, your intention about your time. You have
[00:04:14.100 --> 00:04:18.840]   shut down rituals. You're, you're tracking and organizing your tasks very carefully in full capture
[00:04:18.840 --> 00:04:23.220]   based task management systems. You are doing a lot of stuff and you're getting a lot of stuff done,
[00:04:23.220 --> 00:04:28.760]   but it's possible that the things you were doing, though, making you very busy are not actually
[00:04:28.760 --> 00:04:32.880]   moving you closer to your definition of the deep life. You're doing stuff, but not the stuff that
[00:04:32.880 --> 00:04:38.160]   matters. This is where metrics can be very helpful because you run whatever time management organizational
[00:04:38.160 --> 00:04:43.080]   systems you want. But at the end of the day, you said, did I make progress on the things that really
[00:04:43.080 --> 00:04:49.140]   matter to me? And knowing that you'll be recording this day after day really influences the way that you
[00:04:49.140 --> 00:04:52.880]   go about your day. And you start putting aside time. This is the theory. You start putting aside time for
[00:04:52.880 --> 00:04:56.820]   these things to make sure that you can mark it off on your metric tracking. It's a way of
[00:04:56.820 --> 00:05:02.580]   continually nudging your activity towards things that matter. This was a big breakthrough for me
[00:05:02.580 --> 00:05:08.180]   when my own practices, I got very organized. I've long been very organized. I'm good at managing my
[00:05:08.180 --> 00:05:11.620]   time. I'm good at keeping up at work and seeing what's due when and making sure that I started early
[00:05:11.620 --> 00:05:16.900]   enough. But I was falling behind. I found this in my life. I was falling behind on things. I mattered.
[00:05:17.500 --> 00:05:23.620]   I'm not reading as much as I should be reading. I'm not spending time with these people that's
[00:05:23.620 --> 00:05:27.780]   important to me. I'm not spending enough time with them. I'm not prioritizing this. I'm busy,
[00:05:27.780 --> 00:05:32.140]   but not doing the things that matter. Metrics made a big difference to me. That's why I include them
[00:05:32.140 --> 00:05:36.220]   in my time block planner. I talk about them in multiple of my books. I've talked about them.
[00:05:36.220 --> 00:05:40.600]   So that's what I talk about when I'm talking about metrics. So again, you would have for each of
[00:05:40.600 --> 00:05:47.940]   these things a short code. So did I exercise or not? If I did, I write down EX in the metric tracking
[00:05:47.940 --> 00:05:51.280]   block, my time block planner. Do I stretch? If I did, maybe I'll write STR. That's my code.
[00:05:51.280 --> 00:05:59.380]   One-on-one time with kid, kid. Step count, S colon number for step count, right? And I actually will,
[00:05:59.380 --> 00:06:03.340]   this is what I said earlier and I was like, oh, I planned out my metrics for the fall. I actually have
[00:06:03.340 --> 00:06:07.300]   those codes written out. I tape them on my planner. Here's the codes I'm using to keep track of this
[00:06:07.300 --> 00:06:13.180]   stuff. So it's a good idea. I think if you care about the deep life and not just being productive,
[00:06:13.180 --> 00:06:19.560]   it matters. But I failed. I had a really hard week and I sort of gave up temporarily on my metrics.
[00:06:19.560 --> 00:06:30.140]   Why did I fail? This brings us to act two when metrics go awry. So there's four main problems
[00:06:30.140 --> 00:06:37.480]   people have with my style of activity tracking metrics. There's one big one, which I think is
[00:06:37.480 --> 00:06:41.700]   the most important. It's the one that really I had issues with. I'll do that one last. Let me get with
[00:06:41.700 --> 00:06:46.560]   the three smaller ones first, because these also pop up a lot as well. Vagueness is a big issue with
[00:06:46.560 --> 00:06:53.660]   metric tracking, right? You have a thing you're tracking with a metric that is so vague that either
[00:06:53.660 --> 00:06:58.180]   everything counts or nothing counts. It could be either thing. Like, for example, you might've
[00:06:58.180 --> 00:07:05.580]   written down, like, I connect with my daughter. I mean, what does that mean? What does it take to
[00:07:05.580 --> 00:07:12.140]   actually write down the code for that on your daily metric tracking? Does it count if you high-fived her
[00:07:12.140 --> 00:07:18.500]   in the hallway? Or does it require, like, you went to a father-daughter dance and, you know, shared a
[00:07:18.500 --> 00:07:22.320]   milkshake in a heartfelt conversation before you allowed the market down? It's too vague. That's not
[00:07:22.320 --> 00:07:26.500]   specific enough. So that's a problem a lot of people have is they're too vague. And then they're
[00:07:26.500 --> 00:07:29.720]   like, I don't even know what, I can either put this metric down every day. I never put it down. I don't
[00:07:29.720 --> 00:07:36.920]   know. And you kind of give up on it. The other side is it's specific, but it's impossible that you just
[00:07:36.920 --> 00:07:41.920]   put something down that it's not really something that on an average day you're likely to get to.
[00:07:41.920 --> 00:07:45.680]   You put down like, yeah, I would bike a hundred miles a day. That'd be great. And you're like,
[00:07:45.680 --> 00:07:50.320]   oh, that takes a long time. It takes many hours to bike a hundred hours. I don't normally have enough
[00:07:50.320 --> 00:07:55.020]   time to bike a hundred miles every day. This is basically an almost always impossible to achieve
[00:07:55.020 --> 00:08:00.320]   metric, right? So you're unrealistic in the difficulty or time consumption of a singular metric. That's
[00:08:00.320 --> 00:08:06.340]   another big problem. Spreadsheet syndrome is a third one. Then instead of just having a simple code you
[00:08:06.340 --> 00:08:10.940]   jot down, like in something like a time block planner, you start putting into the spreadsheets.
[00:08:10.940 --> 00:08:15.360]   We know these type of people. I got to put the data into the whatever so that I can have the pie chart
[00:08:15.360 --> 00:08:20.000]   and the pie chart is going to dynamically alter and it's going to be really nicely color coded.
[00:08:20.000 --> 00:08:24.500]   I made it a 3D pie chart and I adjusted what the drop shadow is. So it looks really good. And I'm looking
[00:08:24.500 --> 00:08:29.520]   for the pie chart to change. That's all friction. And it's going to eventually get annoying enough that
[00:08:29.520 --> 00:08:35.220]   it's been a hard day and you're tired and you don't want to open up Microsoft Excel for 15 minutes
[00:08:35.220 --> 00:08:39.740]   and you stop metric tracking. That's why I'm a big fan. And you should just have some couple letters.
[00:08:39.740 --> 00:08:45.960]   You jot them down, takes 10 seconds and your metric tracking is done. So spreadsheet syndrome is another
[00:08:45.960 --> 00:08:52.100]   problem. But the biggest problem of all with metric tracking practices, and this is what really stung me
[00:08:52.100 --> 00:09:00.880]   this week. Going with an inventory of what's important to you as opposed to a realistic plan for what you want to do
[00:09:00.880 --> 00:09:07.280]   on a regular basis. These are not the same thing. So if you sit down, you say, okay, I want to list out what's
[00:09:07.280 --> 00:09:14.160]   important to me. And then I'll have a metric related to each of those things. Now you don't want to leave things
[00:09:14.160 --> 00:09:18.120]   out. I'm trying to list things that are important to you. They're like, well, I don't want to leave this part of my life
[00:09:18.120 --> 00:09:22.680]   It's important to me. That better be on the list. Otherwise I'm signaling to myself. It's not. Well, this thing
[00:09:22.680 --> 00:09:26.680]   over here is very important to me. I should put that on the list too. I need a metric for that. And before you
[00:09:26.680 --> 00:09:31.860]   know it, your list of metrics you're tracking is an inventory of everything that's important to you.
[00:09:31.860 --> 00:09:39.360]   And the possibility for you to actually make progress on that many things on a regular basis is basically
[00:09:39.360 --> 00:09:45.640]   impossible. It's just too many things you want to make progress on. That's what happened to me. I went
[00:09:45.640 --> 00:09:49.520]   through an exercise when I was up in New England where I checked back in as I do most summers after
[00:09:49.520 --> 00:09:53.720]   my birthday about what are the areas of my life that are important to me? What am I trying to do with
[00:09:53.720 --> 00:09:59.100]   them right now? And I listed out all these different areas. There are six different areas. I ended up with
[00:09:59.100 --> 00:10:03.380]   actually many more than six metrics because I had at least one metric for each of those six areas,
[00:10:03.380 --> 00:10:07.940]   but for the one related to health, I actually track four metrics for my health. It's exercise,
[00:10:07.940 --> 00:10:14.160]   stretching, step count, and then there's like a food and diet sort of like quality of the food I eat
[00:10:14.160 --> 00:10:21.540]   sort of thing. So it's 10 metrics. It was just too many. I mean, I've been busy. I had a busy calendar
[00:10:21.540 --> 00:10:26.380]   and I was like, I can't make progress on 10 things. In fact, I could do maybe one or two of these things
[00:10:26.380 --> 00:10:32.080]   maybe. And I was super stressed having so many things I wasn't writing down because what I had
[00:10:32.080 --> 00:10:36.860]   really done was inventory to everything that was important to me, as opposed to saying, here is a
[00:10:36.860 --> 00:10:41.820]   reasonable mix of things I could make progress on on most days that would be important to me.
[00:10:42.040 --> 00:10:44.580]   So that's probably the number one problem. It was my problem as well.
