
[00:00:00.000 --> 00:00:06.080]   Welcome back everyone.
[00:00:06.080 --> 00:00:08.880]   This is part three in our series on in-context learning.
[00:00:08.880 --> 00:00:10.720]   I've called this part the current moment.
[00:00:10.720 --> 00:00:13.760]   That is either foolish or foolhardy or both.
[00:00:13.760 --> 00:00:17.840]   The current moment is surely going to change very fast as the field changes.
[00:00:17.840 --> 00:00:20.480]   I think I can say that the lessons here will be
[00:00:20.480 --> 00:00:23.720]   useful no matter what direction the field takes next.
[00:00:23.720 --> 00:00:26.360]   As always, I want to start with data.
[00:00:26.360 --> 00:00:28.000]   Data used for self-supervision.
[00:00:28.000 --> 00:00:30.480]   This is an incredibly important ingredient when it comes to
[00:00:30.480 --> 00:00:34.520]   understanding the behaviors of our large language models.
[00:00:34.520 --> 00:00:37.200]   This is a slide that I used in a previous screencast,
[00:00:37.200 --> 00:00:41.240]   but I augmented it with the colossal clean crawled corpus C4.
[00:00:41.240 --> 00:00:45.400]   This is a dataset that was created as part of the T5 modeling effort,
[00:00:45.400 --> 00:00:49.120]   and it is audited by Dodge et al 2021.
[00:00:49.120 --> 00:00:51.060]   Interesting side note,
[00:00:51.060 --> 00:00:52.880]   the Washington Post did an article that is
[00:00:52.880 --> 00:00:56.680]   essentially about the dataset and the auditing work that Dodge et al did.
[00:00:56.680 --> 00:00:59.320]   They called that article inside the secret list of
[00:00:59.320 --> 00:01:02.920]   websites that make AI like chat GPT sound smart.
[00:01:02.920 --> 00:01:05.920]   I'm not sure secret is appropriate here because it seems like
[00:01:05.920 --> 00:01:09.040]   everyone is being pretty open about what is in C4.
[00:01:09.040 --> 00:01:12.640]   But nonetheless, the article is very useful in terms of helping you,
[00:01:12.640 --> 00:01:16.520]   people like us, audit what was in datasets like that.
[00:01:16.520 --> 00:01:20.040]   Undoubtedly, the data that are used for
[00:01:20.040 --> 00:01:23.760]   unsupervised pre-training are an incredibly important ingredient when it comes to
[00:01:23.760 --> 00:01:27.760]   understanding what our models can do and where they're limited.
