
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:08.980]   - So we're on to our last module of the day
[00:00:08.980 --> 00:00:10.760]   before the Q&A session.
[00:00:10.760 --> 00:00:12.840]   Mike Piper earlier covered
[00:00:12.840 --> 00:00:16.060]   investing in tax-advantaged accounts.
[00:00:16.060 --> 00:00:17.540]   In this session, he'll talk about
[00:00:17.540 --> 00:00:19.680]   how to invest tax efficiently
[00:00:19.680 --> 00:00:22.180]   in non-tax-advantaged accounts,
[00:00:22.180 --> 00:00:24.200]   like taxable brokerage accounts.
[00:00:24.200 --> 00:00:25.240]   We'll bring Mike up here,
[00:00:25.240 --> 00:00:27.040]   and then we'll do a Q&A after that.
[00:00:27.040 --> 00:00:29.160]   If you do have a question you'd like to submit,
[00:00:29.160 --> 00:00:30.800]   it looks like we've been getting a ton.
[00:00:30.800 --> 00:00:32.400]   Gauri is collecting them,
[00:00:32.400 --> 00:00:35.040]   and you can just drop off your question with him.
[00:00:35.040 --> 00:00:36.580]   Thank you.
[00:00:36.580 --> 00:00:39.400]   - All right, so last time we talked about
[00:00:39.400 --> 00:00:41.360]   the different types of tax-advantaged accounts,
[00:00:41.360 --> 00:00:43.520]   and Alan and Rick both talked with you
[00:00:43.520 --> 00:00:46.920]   about minimizing your investment costs.
[00:00:46.920 --> 00:00:48.480]   And in that case, they were talking about
[00:00:48.480 --> 00:00:51.480]   the expense ratios that you pay on your mutual funds.
[00:00:51.480 --> 00:00:55.160]   But one of the biggest expenses that most investors pay
[00:00:55.160 --> 00:00:57.720]   on their investments are the taxes.
[00:00:57.720 --> 00:00:58.960]   So what we're going to talk about here
[00:00:58.960 --> 00:01:00.640]   are the three most impactful things
[00:01:00.640 --> 00:01:03.560]   that you can do to minimize that investment cost,
[00:01:03.560 --> 00:01:05.320]   to minimize the investment taxes
[00:01:05.320 --> 00:01:07.400]   that you're going to be paying.
[00:01:07.400 --> 00:01:09.560]   The first one is pretty straightforward.
[00:01:09.560 --> 00:01:10.800]   Max out your retirement accounts
[00:01:10.800 --> 00:01:13.480]   if you have enough cash flow to do that.
[00:01:13.480 --> 00:01:15.680]   Second one is fill your Roth accounts
[00:01:15.680 --> 00:01:19.000]   with the assets that have the highest expected returns.
[00:01:19.000 --> 00:01:22.200]   And finally, when you're investing in taxable accounts,
[00:01:22.200 --> 00:01:24.560]   try to fill them with things that are tax-efficient.
[00:01:24.560 --> 00:01:26.640]   So let's go through these one by one.
[00:01:26.640 --> 00:01:28.320]   Max out your retirement accounts.
[00:01:28.320 --> 00:01:31.520]   The idea here, generally speaking,
[00:01:31.520 --> 00:01:33.200]   is to make the maximum contribution every year
[00:01:33.200 --> 00:01:36.200]   to a Roth IRA, or if your income is too high,
