
[00:00:00.880 --> 00:00:01.720]   - Hey, everyone.
[00:00:01.720 --> 00:00:03.520]   Welcome to the Latent Space Podcast.
[00:00:03.520 --> 00:00:05.460]   This is Alessio, partner and CTO
[00:00:05.460 --> 00:00:07.040]   on Resident and Decibel Partners.
[00:00:07.040 --> 00:00:09.960]   And I'm joined by my co-host Swiggs, founder of Small.ai.
[00:00:09.960 --> 00:00:12.320]   - Hey, and today in the studio we have Soheil Doshi.
[00:00:12.320 --> 00:00:13.140]   Welcome.
[00:00:13.140 --> 00:00:14.320]   - Yeah, thanks for having me.
[00:00:14.320 --> 00:00:15.960]   - Among many things, you're a CEO and co-founder
[00:00:15.960 --> 00:00:16.800]   of Mixpanel.
[00:00:16.800 --> 00:00:17.620]   - Yep.
[00:00:17.620 --> 00:00:19.800]   - And I think about three years ago,
[00:00:19.800 --> 00:00:21.400]   you left to start Mighty.
[00:00:21.400 --> 00:00:22.640]   - Mm-hmm.
[00:00:22.640 --> 00:00:25.920]   - And more recently, I think about a year ago,
[00:00:25.920 --> 00:00:27.680]   transitioned into Playground.
[00:00:27.680 --> 00:00:31.160]   And you've just announced your new round.
[00:00:31.160 --> 00:00:33.120]   I'd just like to start, touch on Mixpanel a little bit,
[00:00:33.120 --> 00:00:35.200]   'cause it's obviously one of the more
[00:00:35.200 --> 00:00:37.920]   sort of successful analytics companies
[00:00:37.920 --> 00:00:40.640]   we previously had amplitude on.
[00:00:40.640 --> 00:00:43.800]   And I'm curious if you had any sort of reflections
[00:00:43.800 --> 00:00:46.480]   on just that overall,
[00:00:46.480 --> 00:00:49.880]   the interaction of that amount of data
[00:00:49.880 --> 00:00:52.120]   that people would want to use for AI.
[00:00:52.120 --> 00:00:54.760]   Like, I don't know if there's still a part of you
[00:00:54.760 --> 00:00:56.320]   that stays in touch with that world.
[00:00:56.320 --> 00:00:58.560]   - Yeah, I mean, it's, I mean, you know,
[00:00:58.560 --> 00:01:03.560]   the short version is that maybe back in like 2015 or '16,
[00:01:03.560 --> 00:01:05.800]   I don't really remember exactly,
[00:01:05.800 --> 00:01:08.900]   'cause it was a while ago, we had an ML team at Mixpanel.
[00:01:08.900 --> 00:01:13.060]   And I think this is like when maybe deep learning
[00:01:13.060 --> 00:01:14.680]   or something like really just started
[00:01:14.680 --> 00:01:16.160]   getting kind of exciting.
[00:01:16.160 --> 00:01:17.800]   And we were thinking that maybe we,
[00:01:17.800 --> 00:01:20.200]   given that we had such vast amounts of data,
[00:01:20.200 --> 00:01:22.460]   perhaps we could predict things.
[00:01:22.460 --> 00:01:24.480]   So we built, you know, two or three different features.
[00:01:24.480 --> 00:01:26.960]   I think we built a feature where we could predict
[00:01:26.960 --> 00:01:30.200]   whether users would churn from your product.
[00:01:30.200 --> 00:01:32.040]   We made a feature that could predict
[00:01:32.040 --> 00:01:33.840]   whether users would convert.
[00:01:33.840 --> 00:01:35.320]   We tried to be built a feature
[00:01:35.320 --> 00:01:36.840]   that could do anomaly detection.
[00:01:36.840 --> 00:01:40.080]   Like if something occurred in your product,
[00:01:40.080 --> 00:01:41.160]   that was just very surprising,
[00:01:41.160 --> 00:01:43.840]   maybe a spike in traffic in a particular region.
[00:01:43.840 --> 00:01:45.040]   Could we tell you in advance?
[00:01:45.040 --> 00:01:46.360]   Could we tell you that that happened?
[00:01:46.360 --> 00:01:47.880]   'Cause it's really hard to like know everything
[00:01:47.880 --> 00:01:49.080]   that's going on with your data.
[00:01:49.080 --> 00:01:51.580]   Could we tell you something surprising about your data?
[00:01:51.580 --> 00:01:53.700]   And we tried all of these various features.
[00:01:53.700 --> 00:01:55.440]   Most of it boiled down to just like, you know,
[00:01:55.440 --> 00:01:58.480]   using logistic regression.
[00:01:58.480 --> 00:02:03.280]   And it never quite seemed very groundbreaking in the end.
[00:02:03.280 --> 00:02:07.240]   And so I think, you know, we had a four or five person ML team
[00:02:07.240 --> 00:02:10.220]   and I think we never expanded it from there.
[00:02:10.220 --> 00:02:12.060]   And I did all these fast AI courses
[00:02:12.060 --> 00:02:13.280]   trying to learn about ML.
[00:02:13.280 --> 00:02:15.200]   And that was the, that's the--
[00:02:15.200 --> 00:02:16.640]   - That's the first time you did fast AI.
[00:02:16.640 --> 00:02:18.320]   - Yeah, that was the first time I did fast AI.
[00:02:18.320 --> 00:02:20.400]   Yeah, I think I've done it now three times maybe.
[00:02:20.400 --> 00:02:21.240]   - Oh, okay.
[00:02:21.240 --> 00:02:22.060]   I didn't know it was a third.
[00:02:22.060 --> 00:02:23.160]   Okay.
[00:02:23.160 --> 00:02:25.440]   - No, no, just me reviewing it is maybe three times,
[00:02:25.440 --> 00:02:26.280]   but yeah.
[00:02:26.280 --> 00:02:27.120]   - Yeah, yeah, yeah.
[00:02:27.120 --> 00:02:29.160]   I mean, I think you mentioned prediction,
[00:02:29.160 --> 00:02:31.760]   but honestly like it's also just about the feedback, right?
[00:02:31.760 --> 00:02:34.900]   The quality of feedback from users,
[00:02:34.900 --> 00:02:38.400]   I think it's useful for anyone building AI applications.
[00:02:38.400 --> 00:02:39.320]   - Yeah.
[00:02:39.320 --> 00:02:40.560]   - Yeah, self-evident.
[00:02:40.560 --> 00:02:42.760]   - Yeah, I think I haven't spent a lot of time
[00:02:42.760 --> 00:02:44.440]   thinking about Mixpanel 'cause it's been a long time,
[00:02:44.440 --> 00:02:47.680]   but yeah, I wonder now, given everything that's happened,
[00:02:47.680 --> 00:02:50.400]   like, you know, sometimes I'm like,
[00:02:50.400 --> 00:02:51.920]   oh, I wonder what we could do now.
[00:02:51.920 --> 00:02:54.360]   And then I kind of like move on to whatever I'm working on,
[00:02:54.360 --> 00:02:56.720]   but things have changed significantly since.
[00:02:56.720 --> 00:02:57.880]   So yeah.
[00:02:57.880 --> 00:02:58.720]   - Yeah.
[00:02:58.720 --> 00:02:59.560]   Awesome.
[00:02:59.560 --> 00:03:01.660]   And then maybe we'll touch on Mighty a little bit.
[00:03:01.660 --> 00:03:03.400]   Mighty was very, very bold.
[00:03:03.400 --> 00:03:06.440]   It was basically, well, my framing of it was,
[00:03:06.440 --> 00:03:07.920]   you will run our browsers for us
[00:03:07.920 --> 00:03:10.820]   because everyone has too many tabs open.
[00:03:10.820 --> 00:03:12.680]   I have too many tabs open and slowing down your machines
[00:03:12.680 --> 00:03:14.160]   that you can do it better for us
[00:03:14.160 --> 00:03:15.480]   in a centralized data center.
[00:03:15.480 --> 00:03:17.960]   - Yeah, we were first trying to make a browser
[00:03:17.960 --> 00:03:21.120]   that we would stream from a data center to your computer
[00:03:21.120 --> 00:03:22.680]   at extremely low latency.
[00:03:22.680 --> 00:03:27.080]   But the real objective wasn't trying to make a browser
[00:03:27.080 --> 00:03:27.920]   or anything like that.
[00:03:27.920 --> 00:03:29.080]   The real objective was to try to make
[00:03:29.080 --> 00:03:30.760]   a new kind of computer.
[00:03:30.760 --> 00:03:32.720]   And the thought was just that, like, you know,
[00:03:32.720 --> 00:03:35.080]   we have these computers in front of us today
[00:03:35.080 --> 00:03:37.840]   and we upgrade them or they run out of RAM
[00:03:37.840 --> 00:03:39.640]   or they don't have enough RAM or not enough disk,
[00:03:39.640 --> 00:03:43.240]   or, you know, there's some limitation with our computers,
[00:03:43.240 --> 00:03:46.360]   perhaps like data locality is a problem.
[00:03:46.360 --> 00:03:48.880]   Could we, you know, why do I need to think about
[00:03:48.880 --> 00:03:50.760]   upgrading my computer ever?
[00:03:50.760 --> 00:03:52.800]   And so, you know, we just had to kind of observe that,
[00:03:52.800 --> 00:03:55.920]   like, well, actually, it seems like a lot of applications
[00:03:55.920 --> 00:03:57.600]   are just now in the browser.
[00:03:57.600 --> 00:04:00.800]   You know, it's like how many real desktop applications
[00:04:00.800 --> 00:04:02.960]   do we use relative to the number of applications
[00:04:02.960 --> 00:04:03.800]   we use in the browser?
[00:04:03.800 --> 00:04:05.920]   So it was just this realization that actually, like,
[00:04:05.920 --> 00:04:08.280]   you know, the browser was effectively becoming
[00:04:08.280 --> 00:04:10.840]   more or less our operating system over time.
[00:04:10.840 --> 00:04:13.120]   And so then that's why we kind of decided to go,
[00:04:13.120 --> 00:04:14.680]   hmm, maybe we can stream the browser.
[00:04:14.680 --> 00:04:15.760]   Fortunately, the idea did not work
[00:04:15.760 --> 00:04:18.040]   for a couple of different reasons,
[00:04:18.040 --> 00:04:21.200]   but the objective is to try to make a true new computer.
[00:04:21.200 --> 00:04:22.480]   - Yeah, very bold, very bold.
[00:04:22.480 --> 00:04:25.200]   - Yeah, and I was there at YC Demo Day
[00:04:25.200 --> 00:04:26.040]   when you first announced it.
[00:04:26.040 --> 00:04:26.960]   - Oh, okay.
[00:04:26.960 --> 00:04:29.880]   - I think the last, or one of the last in-person ones,
[00:04:29.880 --> 00:04:32.120]   or like the PR 34 in Mission Bay.
[00:04:32.120 --> 00:04:34.280]   - Yeah, before COVID.
[00:04:34.280 --> 00:04:36.080]   - How do you think about that now
[00:04:36.080 --> 00:04:38.240]   when everybody wants to put some of these models
[00:04:38.240 --> 00:04:39.760]   in people's machines and some of them
[00:04:39.760 --> 00:04:40.960]   want to stream them in?
[00:04:40.960 --> 00:04:44.320]   Do you think there's maybe another wave of the same problem
[00:04:44.320 --> 00:04:46.200]   before it was like browser apps too slow,
[00:04:46.200 --> 00:04:49.000]   and now it's like models too slow to run on device?
[00:04:49.000 --> 00:04:51.000]   - Yeah, I think, you know,
[00:04:51.000 --> 00:04:52.520]   we obviously pivoted away from Mighty,
[00:04:52.520 --> 00:04:57.040]   but a lot of what I somewhat believed at Mighty
[00:04:57.040 --> 00:04:58.760]   is like somewhat very true.
[00:04:58.760 --> 00:05:02.000]   Maybe why I'm so excited about AI and what's happening.
[00:05:02.000 --> 00:05:03.440]   A lot of what Mighty was about
[00:05:03.440 --> 00:05:06.800]   was like moving compute somewhere else, right?
[00:05:06.800 --> 00:05:07.920]   Right now applications,
[00:05:07.920 --> 00:05:12.280]   they get limited quantities of memory, disk, networking,
[00:05:12.280 --> 00:05:14.920]   whatever your home network has, et cetera.
[00:05:14.920 --> 00:05:17.280]   You know, what if these applications could somehow,
[00:05:17.280 --> 00:05:18.440]   if we could shift compute,
[00:05:18.440 --> 00:05:20.560]   and then these applications have vastly more compute
[00:05:20.560 --> 00:05:22.120]   than they do today.
[00:05:22.120 --> 00:05:24.920]   Right now it's just like client backend services,
[00:05:24.920 --> 00:05:27.280]   but you know, what if we could change the shape
[00:05:27.280 --> 00:05:31.040]   of how applications could interact with things?
[00:05:31.040 --> 00:05:33.400]   And it's changed my thinking.
[00:05:33.400 --> 00:05:36.680]   In some ways, AI has like a bit of a continuation
[00:05:36.680 --> 00:05:38.120]   of my belief that like,
[00:05:38.120 --> 00:05:41.560]   perhaps we can really shift compute somewhere else.
[00:05:41.560 --> 00:05:43.120]   One of the problems with Mighty
[00:05:43.120 --> 00:05:47.720]   was that JavaScript is single-threaded in the browser.
[00:05:47.720 --> 00:05:49.280]   And what we learned, you know,
[00:05:49.280 --> 00:05:51.240]   the reason why we kind of abandoned Mighty
[00:05:51.240 --> 00:05:52.520]   was because I didn't believe
[00:05:52.520 --> 00:05:53.760]   we could make a new kind of computer.
[00:05:53.760 --> 00:05:56.080]   We could have made some kind of enterprise business,
[00:05:56.080 --> 00:05:59.000]   probably could have made maybe a lot of money,
[00:05:59.000 --> 00:06:01.520]   but it wasn't going to be what I hoped it was going to be.
[00:06:01.520 --> 00:06:05.440]   And so once I realized that most of a web app
[00:06:05.440 --> 00:06:07.240]   is just going to be single-threaded JavaScript,
[00:06:07.240 --> 00:06:10.160]   then the only thing you could do largely
[00:06:10.160 --> 00:06:11.480]   withstanding changing JavaScript,
[00:06:11.480 --> 00:06:14.560]   which is a fool's errand most likely,
[00:06:14.560 --> 00:06:18.080]   is make a better CPU, right?
[00:06:18.080 --> 00:06:20.480]   And there's like three CPU manufacturers,
[00:06:20.480 --> 00:06:23.120]   two of which sell, you know, big ones, you know,
[00:06:23.120 --> 00:06:26.440]   AMD, Intel, and then of course, like Apple made the M1.
[00:06:26.440 --> 00:06:30.240]   And it's not like single-threaded CPU core performance.
[00:06:30.240 --> 00:06:33.240]   Single core performance was like increasing very fast.
[00:06:33.240 --> 00:06:35.080]   It's plateauing rapidly.
[00:06:35.080 --> 00:06:36.800]   And even these different like companies
[00:06:36.800 --> 00:06:38.560]   were not doing as good of a job, you know,
[00:06:38.560 --> 00:06:40.640]   sort of with the continuation of Moore's law.
[00:06:40.640 --> 00:06:43.480]   But what happened in AI was that you got like,
[00:06:43.480 --> 00:06:46.920]   like if you think of the AI model as like a computer program
[00:06:46.920 --> 00:06:48.560]   which is like a compiled computer program,
[00:06:48.560 --> 00:06:50.120]   it is literally built and designed
[00:06:50.120 --> 00:06:53.360]   to do massive parallel computations.
[00:06:53.360 --> 00:06:55.120]   And so if you could take like
[00:06:55.120 --> 00:06:56.520]   the universal approximation theorem
[00:06:56.520 --> 00:07:00.280]   to its like kind of logical complete point,
[00:07:00.280 --> 00:07:01.120]   you know, you're like, wow,
[00:07:01.120 --> 00:07:04.360]   I can get make computation happen really rapidly
[00:07:04.360 --> 00:07:06.040]   and parallel somewhere else.
[00:07:06.040 --> 00:07:09.200]   You know, so you end up with these like
[00:07:09.200 --> 00:07:11.920]   really amazing models that can like do anything.
[00:07:11.920 --> 00:07:14.080]   It just turned out like perhaps,
[00:07:14.080 --> 00:07:16.320]   perhaps the new kind of computer
[00:07:16.320 --> 00:07:19.000]   would just simply be shifted, you know,
[00:07:19.000 --> 00:07:22.600]   into these like really amazing AI models in reality.
[00:07:22.600 --> 00:07:23.440]   - Yeah.
[00:07:23.440 --> 00:07:25.760]   Like I think Andrej Karpathy has always been,
[00:07:25.760 --> 00:07:28.640]   has been making a lot of analogies with the LLMOS.
[00:07:28.640 --> 00:07:30.480]   - Yeah, I saw his, yeah, I saw his video
[00:07:30.480 --> 00:07:31.880]   and I watched that, you know,
[00:07:31.880 --> 00:07:33.320]   maybe two weeks ago or something like that.
[00:07:33.320 --> 00:07:35.000]   And I was like, oh man, this,
[00:07:35.000 --> 00:07:37.000]   I very much resonate with this like idea.
[00:07:37.000 --> 00:07:38.680]   - Why didn't I see this three years ago?
[00:07:38.680 --> 00:07:40.760]   - Yeah, I think, I think there still will be,
[00:07:40.760 --> 00:07:42.240]   you know, local models
[00:07:42.240 --> 00:07:43.760]   and then there'll be these very large models
[00:07:43.760 --> 00:07:45.760]   that have to be run in data centers.
[00:07:45.760 --> 00:07:47.320]   Yeah, I think it just depends on kind of like
[00:07:47.320 --> 00:07:48.440]   the right tool for the job,
[00:07:48.440 --> 00:07:52.000]   like any, like any engineer would probably care about.
[00:07:52.000 --> 00:07:54.400]   But I think that, you know, by and large,
[00:07:54.400 --> 00:07:57.520]   like if the models continue to kind of keep getting bigger,
[00:07:57.520 --> 00:07:58.720]   you know, it's gonna, it's,
[00:07:58.720 --> 00:07:59.760]   you're always going to be wondering
[00:07:59.760 --> 00:08:01.880]   whether you should use the big thing or the small,
[00:08:01.880 --> 00:08:03.880]   you know, the tiny little model.
[00:08:03.880 --> 00:08:05.800]   And it might just depend on like, you know,
[00:08:05.800 --> 00:08:08.320]   do you need 30 FPS or 60 FPS?
[00:08:08.320 --> 00:08:12.240]   Maybe that would be hard to do, you know, over a network.
[00:08:12.240 --> 00:08:16.520]   - Yeah, you tackle the much harder problem latency-wise,
[00:08:16.520 --> 00:08:19.080]   you know, than the AI models actually require.
[00:08:19.080 --> 00:08:20.880]   - Yeah, yeah, you can do quite well.
[00:08:20.880 --> 00:08:22.360]   You can do quite well.
[00:08:22.360 --> 00:08:26.320]   You know, you definitely did 30 FPS video streaming,
[00:08:26.320 --> 00:08:28.440]   did very crazy things to make that work.
[00:08:28.440 --> 00:08:30.720]   So I'm actually quite bullish
[00:08:30.720 --> 00:08:33.120]   on the kinds of things you can do with networking.
[00:08:33.120 --> 00:08:33.960]   - Yeah, right.
[00:08:33.960 --> 00:08:37.520]   Maybe someday you'll come back to that at some point.
[00:08:37.520 --> 00:08:39.360]   - But so for those that don't know,
[00:08:39.360 --> 00:08:41.200]   you're very transparent on Twitter.
[00:08:41.200 --> 00:08:43.840]   Very good to follow you just to learn your insights.
[00:08:43.840 --> 00:08:45.800]   And you actually published a postmortem on Mighty
[00:08:45.800 --> 00:08:48.400]   that people can read up on if they're willing to.
[00:08:48.400 --> 00:08:50.760]   And so there was a bit of an overlap.
[00:08:50.760 --> 00:08:56.560]   You started exploring the AI stuff in June, 2022,
[00:08:56.560 --> 00:08:57.600]   which is when you started saying like,
[00:08:57.600 --> 00:08:59.480]   "I'm taking Fast.ai again."
[00:08:59.480 --> 00:09:02.440]   Maybe, was there more context around that?
[00:09:02.440 --> 00:09:05.480]   - Yeah, I think I was kind of like waiting
[00:09:05.480 --> 00:09:08.640]   for the team at Mighty to finish up something.
[00:09:08.640 --> 00:09:11.240]   And I was like, "Okay, well, what can I do?
[00:09:11.240 --> 00:09:15.240]   "I guess I will make some kind of like address bar predictor
[00:09:15.240 --> 00:09:16.080]   "in the browser."
[00:09:16.080 --> 00:09:18.560]   So we had forked Chrome and Chromium.
[00:09:18.560 --> 00:09:22.420]   And I was like, "You know, one thing that's kind of lame
[00:09:22.420 --> 00:09:24.600]   "is that like this browser should be like a lot better
[00:09:24.600 --> 00:09:28.480]   "at predicting what I might do, where I might wanna go."
[00:09:28.480 --> 00:09:30.160]   You know, it struck me as really odd
