
[00:00:00.000 --> 00:00:06.200]   Welcome back everyone.
[00:00:06.200 --> 00:00:09.920]   This is part three in our series on analysis methods for NLP.
[00:00:09.920 --> 00:00:13.260]   We're going to be focused on feature attribution methods.
[00:00:13.260 --> 00:00:16.400]   I should say at the start that to keep things manageable,
[00:00:16.400 --> 00:00:18.080]   we're going to mainly focus on
[00:00:18.080 --> 00:00:21.600]   integrated gradients from Sundararajan et al 2017.
[00:00:21.600 --> 00:00:23.240]   This is a shining,
[00:00:23.240 --> 00:00:25.360]   powerful, inspiring example of
[00:00:25.360 --> 00:00:28.340]   an attribution method for reasons I will discuss.
[00:00:28.340 --> 00:00:31.680]   But it's by no means the only method in this space.
[00:00:31.680 --> 00:00:34.120]   For one-stop shopping on these methods,
[00:00:34.120 --> 00:00:36.680]   I recommend the captum.ai library.
[00:00:36.680 --> 00:00:41.280]   It will give you access to lots of gradient-based methods like IG,
[00:00:41.280 --> 00:00:42.740]   as well as many others,
[00:00:42.740 --> 00:00:44.900]   including more traditional methods like
[00:00:44.900 --> 00:00:47.920]   feature ablation and feature permutation.
[00:00:47.920 --> 00:00:49.660]   Check out captum.ai.
[00:00:49.660 --> 00:00:52.460]   In addition, if you would like a deeper dive on
[00:00:52.460 --> 00:00:55.960]   the calculations and examples that I use in this screencast,
[00:00:55.960 --> 00:00:58.340]   I recommend the notebook feature attribution,
[00:00:58.340 --> 00:01:01.900]   which is part of the course code repository.
[00:01:01.900 --> 00:01:06.140]   Now, I love the integrated gradients paper,
[00:01:06.140 --> 00:01:08.220]   Sundararajan et al 2017,
[00:01:08.220 --> 00:01:09.620]   because of its method,
[00:01:09.620 --> 00:01:11.580]   but also because it offers
[00:01:11.580 --> 00:01:15.820]   a really nice framework for thinking about attribution in general,
[00:01:15.820 --> 00:01:18.460]   and they do that in the form of three axioms.
[00:01:18.460 --> 00:01:20.340]   I'm going to talk about two of them.
[00:01:20.340 --> 00:01:23.660]   Of the two, the most important one is sensitivity.
[00:01:23.660 --> 00:01:25.420]   This is very intuitive.
[00:01:25.420 --> 00:01:28.680]   The axiom of sensitivity for attribution methods says,
[00:01:28.680 --> 00:01:32.980]   if two inputs, x and x prime differ only at dimension i,
[00:01:32.980 --> 00:01:35.500]   and lead to different predictions,
[00:01:35.500 --> 00:01:41.380]   then the feature associated with dimension i has non-zero attribution.
