
[00:00:00.000 --> 00:00:04.000]   (music)
[00:00:04.000 --> 00:00:07.000]   Jesus was sinless.
[00:00:07.000 --> 00:00:12.000]   He committed no sin, neither was deceit found in his mouth, says Peter.
[00:00:12.000 --> 00:00:18.000]   And he remains sinless even to this day. In him there is no sin, says John.
[00:00:18.000 --> 00:00:25.000]   This glorious truth forms the basis of his substitutionary atoning work for sinners like you and me.
[00:00:25.000 --> 00:00:31.000]   But his sinlessness also forms the basis of why he is qualified to sympathize with us, his sinners.
[00:00:31.000 --> 00:00:35.000]   And on that point comes a controversy.
[00:00:35.000 --> 00:00:40.000]   If Jesus is sinless, doesn't that mean he never really tasted the power of temptation?
[00:00:40.000 --> 00:00:46.000]   How can a perfect man who never sinned, a man who never struggled to get free from a sin habit,
[00:00:46.000 --> 00:00:50.000]   how can he truly feel the power of temptation?
[00:00:50.000 --> 00:00:55.000]   But this line of thinking is quite wrong. It's wrong because you're not struggling with sin
[00:00:55.000 --> 00:00:58.000]   if you're continually giving into sin.
[00:00:58.000 --> 00:01:06.000]   In other words, the pressure of temptation is felt most strongly by those who most earnestly resist giving into the sin.
[00:01:06.000 --> 00:01:09.000]   And if that point sounds familiar, it should.
[00:01:09.000 --> 00:01:14.000]   We've covered that theme several times on the podcast already, particularly in episodes on lust,
[00:01:14.000 --> 00:01:20.000]   like APJ episodes 291, 804, and 963 come to mind.
[00:01:20.000 --> 00:01:27.000]   The pressure of temptation is felt most strongly by those who most earnestly resist giving into the sin.
[00:01:27.000 --> 00:01:32.000]   Pastor John explains in this clip from a 1996 sermon.
[00:01:32.000 --> 00:01:36.000]   I apologize for about a minute of static in the middle of it, but the clip is just too good
[00:01:36.000 --> 00:01:38.000]   and the point is too important not to share here on the podcast.
[00:01:38.000 --> 00:01:42.000]   Here's Pastor John, 25 years ago, preaching on Hebrews chapter 4, verse 15,
[00:01:42.000 --> 00:01:48.000]   a text that tells us our high priest can sympathize with our weakness because he never sinned.
[00:01:48.000 --> 00:01:53.000]   With the Father, it was the Son who entered in as high priest.
[00:01:53.000 --> 00:01:55.000]   Now look at verse 15.
[00:01:55.000 --> 00:02:02.000]   In spite of the fact that verse 14 presents a magnificent and lofty great high priest,
[00:02:02.000 --> 00:02:08.000]   verse 14, I mean 15, describes him in another way.
[00:02:08.000 --> 00:02:13.000]   We do not have a high priest who cannot sympathize with our weaknesses,
[00:02:13.000 --> 00:02:20.000]   but one who has been tempted in all things as we are, yet without sin.
[00:02:20.000 --> 00:02:22.000]   Notice three things.
[00:02:22.000 --> 00:02:24.000]   One, he was tempted like you are.
[00:02:24.000 --> 00:02:27.000]   Two, he never gave in to temptation, never sinned.
[00:02:27.000 --> 00:02:33.000]   And three, he is very sympathetic with us in our weaknesses.
[00:02:33.000 --> 00:02:46.000]   Fifty years ago, C.S. Lewis was pondering this text and he heard an objection raised by a scoffer.
[00:02:46.000 --> 00:02:54.000]   And the objection went like this, "If Jesus never sinned, he can't know what real temptation is like.
[00:02:54.000 --> 00:03:02.000]   He can't sympathize, he can't empathize with me because he's never tasted the full force of temptation."
[00:03:02.000 --> 00:03:06.000]   And this is what C.S. Lewis wrote in response.
[00:03:06.000 --> 00:03:14.000]   "A silly idea is current that good people do not know what temptation means.
[00:03:14.000 --> 00:03:16.000]   This is an obvious lie.
[00:03:16.000 --> 00:03:21.000]   Only those who try to resist temptation know how strong it is.
