
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:05.120]   We are gonna close out the week
[00:00:05.120 --> 00:00:07.240]   looking at an intimate question,
[00:00:07.240 --> 00:00:09.480]   a dark and mysterious question
[00:00:09.480 --> 00:00:11.280]   that we all face in this life.
[00:00:11.280 --> 00:00:15.080]   It's inevitable, the moment of our personal passing.
[00:00:15.080 --> 00:00:19.520]   A podcast listener named Jim writes in to simply ask this,
[00:00:19.520 --> 00:00:23.120]   does God determine when we each die?
[00:00:23.120 --> 00:00:24.820]   And was this determination made
[00:00:24.820 --> 00:00:27.720]   from even before we were born?
[00:00:27.720 --> 00:00:29.600]   Pastor John, what would you say to Jim?
[00:00:30.160 --> 00:00:33.120]   Yes and yes.
[00:00:33.120 --> 00:00:38.560]   He does, God does determine when everybody dies
[00:00:38.560 --> 00:00:41.600]   and he did decide that in eternity.
[00:00:41.600 --> 00:00:42.840]   So those are my answers.
[00:00:42.840 --> 00:00:47.840]   The first thing to say is that God governs
[00:00:47.840 --> 00:00:50.400]   with infinite wisdom and power
[00:00:50.400 --> 00:00:53.800]   everything that takes place.
[00:00:53.800 --> 00:00:58.800]   Ephesians 1, 11, God works all things
[00:00:59.000 --> 00:01:03.280]   according to the counsel of his will.
[00:01:03.280 --> 00:01:06.320]   There is no reason contextually or biblically
[00:01:06.320 --> 00:01:09.840]   or theologically to limit that all things.
[00:01:09.840 --> 00:01:13.140]   So God governs all things.
[00:01:13.140 --> 00:01:15.880]   That applies to the giving of life
[00:01:15.880 --> 00:01:20.320]   and the sustaining of life and the taking of life.
[00:01:20.320 --> 00:01:23.920]   He works everything, including when we are born
[00:01:23.920 --> 00:01:28.200]   and when we die, according to the counsel of his will.
[00:01:28.200 --> 00:01:31.920]   For example, in Acts 17, 25,
[00:01:31.920 --> 00:01:36.000]   he is not served by human hands as though he needed anything
[00:01:36.000 --> 00:01:39.600]   since he himself gives to all mankind
[00:01:39.600 --> 00:01:44.040]   life and breath and everything.
[00:01:44.040 --> 00:01:46.820]   Or again, 1 Timothy 6, 13,
[00:01:46.820 --> 00:01:49.060]   I charge you in the presence of God
[00:01:49.060 --> 00:01:53.280]   who gives life to all things
[00:01:53.280 --> 00:01:55.360]   and of Jesus Christ, et cetera.
[00:01:55.840 --> 00:01:57.360]   Here's more specifically,
[00:01:57.360 --> 00:02:02.020]   James applies this sovereignty precisely
[00:02:02.020 --> 00:02:05.460]   to whether and when we die.
[00:02:05.460 --> 00:02:09.920]   He says that instead of saying,
[00:02:09.920 --> 00:02:12.080]   we're going up to such and such a town
[00:02:12.080 --> 00:02:15.080]   to do some business there and get a profit,
[00:02:15.080 --> 00:02:18.800]   quote, "You ought to say," this is James 4, 15,
[00:02:18.800 --> 00:02:23.800]   "You ought to say, if the Lord wills, we will live."
[00:02:24.280 --> 00:02:28.160]   Now that just settles it for me.
[00:02:28.160 --> 00:02:30.240]   And do this or that.
[00:02:30.240 --> 00:02:35.240]   And then James adds, "As it is, you boast in your arrogance."
[00:02:35.240 --> 00:02:38.300]   Meaning he thinks it's arrogant to presume
[00:02:38.300 --> 00:02:42.720]   we live one second longer than God wills for us to live.
[00:02:42.720 --> 00:02:45.080]   All such boasting is evil.
[00:02:45.080 --> 00:02:47.160]   That's James 4, 15 to 16.
[00:02:47.160 --> 00:02:52.160]   The point is only if God wills do I live another minute.
[00:02:53.740 --> 00:02:57.100]   Therefore, the Lord decides when I die.
[00:02:57.100 --> 00:02:59.860]   Jesus put it this way.
[00:02:59.860 --> 00:03:03.320]   Are not two sparrows sold for a penny?
[00:03:03.320 --> 00:03:08.060]   And not one of them will fall to the ground,
[00:03:08.060 --> 00:03:11.540]   meaning die, apart from your father.
[00:03:11.540 --> 00:03:15.500]   Even the hairs of your head are all numbered.
[00:03:15.500 --> 00:03:17.840]   Fear not, therefore, a cure of much more value
[00:03:17.840 --> 00:03:19.900]   than the sparrows.
[00:03:19.900 --> 00:03:21.360]   Now what's the point?
[00:03:21.360 --> 00:03:26.360]   The point is if the time for the death of a tiny bird
[00:03:26.360 --> 00:03:30.980]   in a remote forest is of a concern to God
[00:03:30.980 --> 00:03:32.580]   and determined by God,
[00:03:32.580 --> 00:03:36.740]   how much more will our days be numbered
[00:03:36.740 --> 00:03:41.740]   and determined by God with great care and wisdom?
[00:03:41.740 --> 00:03:44.320]   In fact, the psalmist says,
[00:03:44.320 --> 00:03:50.340]   "Your eyes, O God, saw my unformed substance in your book
[00:03:51.180 --> 00:03:53.820]   were written every one of them,
