
[00:00:00.040 --> 00:00:09.600]   Mona
[00:00:09.600 --> 00:00:10.420]   but le
[00:00:10.420 --> 00:00:11.600]   FROM
[00:00:11.600 --> 00:00:13.360]   con just," but, is a, that is, them,則,
[00:00:13.360 --> 00:00:17.620]   study
[00:00:17.620 --> 00:00:24.900]  br,
[00:01:20.020 --> 00:01:21.920]  …
[00:01:21.920 --> 00:01:30.960]   dough. Cloud perd the is
[00:01:46.400 --> 00:02:12.780]   is within your skill and within your ability. These are skills and abilities that you can learn. This is not something where you have to go and earn $10 million in order to be financially free. That may be possible for you, and if so, you should pursue it. That may not be possible for you. But it is possible for every person to learn to live on lentils, so you'll not have to be subservient to the king.
[00:02:12.780 --> 00:02:39.180]  , and over your lifetime, continually keep yourself free of entangling alliances, you'll be able to be far more impactful in the world. If you are a teacher, and you possess the skill of living on lentils, you'll be able to teach as you believe you should.
[00:02:39.220 --> 00:02:49.440]  實
[00:02:49.440 --> 00:02:49.620]   in the,,, Wha
[00:02:49.620 --> 00:03:04.360]  respond ni
[00:03:08.060 --> 00:03:18.880]   all
[00:03:18.880 --> 00:03:20.980]  兩 for, but,
[00:03:20.980 --> 00:03:35.600]   di porbound�" recycling . onto the popularity in the hard to the pre if you are a coraçãoør, you're, you're, you're, and, was, I, on, I, I, I, I, I, Is, coordinates, It, He,ocy., Or, способ. I, Bol. all of the Low. ringing. changing theFA.稱 because they're. count the 100.動 wave. big of the preacher. Axe. xu Το b Wahr espa成. offers a陳. bell. gardell. nessa rest. in theiga. Inn+all.支持 the PREC. keen.à. Muni. susceptible. give lot.New. прош. STACK.強. 들. eat the prepare. de, Q:, neck. excellent. Lo,icians. cauliflower. dough.,
[00:03:35.600 --> 00:03:36.300]   define.,
[00:03:36.300 --> 00:03:37.960]  ,
[00:03:38.100 --> 00:03:44.920]   coffin
[00:03:44.920 --> 00:03:49.000]   in the no in the
[00:03:49.000 --> 00:03:56.840]   Filip
[00:03:57.680 --> 00:04:01.720]   or a father
[00:04:01.720 --> 00:04:03.720]   if you learn to live on lentil
[00:04:03.720 --> 00:04:06.720]   you be able to devote yourself to
[00:04:06.720 --> 00:04:09.720]   living in a straightforward clear manner
[00:04:09.720 --> 00:04:12.720]   as an example to your children instructing them
[00:04:12.720 --> 00:04:14.720]   in the way they should go
[00:04:14.720 --> 00:04:16.720]   without
[00:04:16.720 --> 00:04:16.720]   equivocating
[00:04:16.720 --> 00:04:18.720]   without equivocating
[00:04:18.720 --> 00:04:19.720]   without equivocating
[00:04:19.720 --> 00:04:20.720]   without equivocating
[00:04:20.780 --> 00:04:47.780]  , and not by saying
[00:04:47.780 --> 00:04:48.780]   without equivocating
[00:04:48.780 --> 00:04:49.780]   and not by saying
[00:04:49.780 --> 00:04:50.760]   with a lot of effort
[00:04:50.800 --> 00:05:00.300]  **
[00:05:00.300 --> 00:05:18.600]   in the "aría
[00:05:19.220 --> 00:05:29.060]   web

