
[00:00:00.040 --> 00:00:09.440]   refin
[00:00:09.440 --> 00:00:28.260]   there. I,
[00:00:28.800 --> 00:00:40.320]   and
[00:00:40.320 --> 00:00:56.600]   across the. The,,,, "
[00:01:26.440 --> 00:01:36.820]   lie
[00:01:36.820 --> 00:01:55.340]  評 which this con
[00:04:15.080 --> 00:04:22.740]  試
[00:04:22.740 --> 00:04:25.520]   hear, the's,
[00:04:44.140 --> 00:04:52.180]   be
[00:04:52.180 --> 00:04:55.740]   like a
[00:05:14.140 --> 00:05:44.140]  ,
[00:05:44.140 --> 00:05:44.140]   I
[00:05:44.140 --> 00:05:44.140]   I
[00:05:44.140 --> 00:05:44.140]   I
[00:05:44.140 --> 00:05:44.140]   I
[00:05:44.140 --> 00:05:44.140]   I
[00:05:44.140 --> 00:05:44.140]   I
[00:05:44.140 --> 00:05:44.140]   I
[00:05:44.140 --> 00:05:44.140]   I
[00:05:44.140 --> 00:05:44.140]   I
[00:05:44.140 --> 00:05:44.140]   I
[00:05:44.140 --> 00:05:44.140]   I'm going to be a little bit more specific here.
[00:05:44.140 --> 00:05:44.140]   I'm going to be a little bit more specific here.
[00:05:44.140 --> 00:05:44.140]   I'm going to be a little bit more specific here.
[00:05:44.140 --> 00:05:44.140]   I'm going to be a little bit more specific here.
[00:05:44.140 --> 00:05:44.140]   I'm going to be a little bit more specific here.
[00:05:44.140 --> 00:05:44.140]   I'm going to be a little bit more specific here.
[00:05:44.140 --> 00:05:44.140]   I'm going to be a little bit more specific here.
[00:05:44.140 --> 00:05:44.140]   I'm going to be a little bit more specific here.
[00:05:44.140 --> 00:05:44.140]   I'm going to be a little bit more specific here.
[00:05:44.140 --> 00:05:44.140]   I'm going to be a little bit more specific here.
[00:05:44.140 --> 00:05:44.140]   I'm going to be a little bit more specific here.
[00:05:44.140 --> 00:05:44.140]   I'm going to be a little bit more specific here.
[00:05:44.140 --> 00:05:44.140]   I'm going to be a little bit more specific here.
[00:05:44.140 --> 00:06:14.160]   I'm going to be a little bit more specific here.
[00:06:14.160 --> 00:06:14.160]   I'm going to be a little bit more specific here.
[00:06:14.160 --> 00:06:14.160]   I'm going to be a little bit more specific here.
[00:06:14.160 --> 00:06:14.160]   I'm going to be a little bit more specific here.
[00:06:14.160 --> 00:06:14.160]   I'm going to be a little bit more specific here.
[00:06:14.160 --> 00:06:14.160]   I'm going to be a little bit more specific here.
[00:06:14.160 --> 00:06:14.160]   I'm going to be a little bit more specific here.
[00:06:14.160 --> 00:06:14.160]   I'm going to be a little bit more specific here.
[00:06:14.180 --> 00:06:44.180]   I'm going to be a little bit more specific here.
[00:06:44.180 --> 00:06:44.180]   I'm going to be a little bit more specific here.
[00:06:44.180 --> 00:06:44.180]   I'm going to be a little bit more specific here.
[00:06:44.180 --> 00:06:44.180]   I'm going to be a little bit more specific here.
[00:06:44.180 --> 00:06:44.180]   I'm going to be a little bit more specific here.
[00:06:44.180 --> 00:06:44.180]   If you want out of the high US taxes, you can leave.
[00:06:44.180 --> 00:06:44.180]   If you want out of the high US taxes, you can leave.
[00:06:44.180 --> 00:06:44.180]   If you want out of the high US taxes, you can leave.
[00:06:44.180 --> 00:06:44.180]   If you want out of the high US taxes, you can leave.
[00:06:44.180 --> 00:06:44.180]   If you want out of the high US taxes, you can leave.
[00:06:44.180 --> 00:06:44.180]   If you want out of the high US taxes, you can leave.
[00:06:44.180 --> 00:06:44.180]   If you want out of the high US taxes, you can leave.
[00:06:44.180 --> 00:06:44.180]   If you want out of the high US taxes, you can leave.
[00:06:44.180 --> 00:06:44.180]   If you want out of the high US taxes, you can leave.
[00:06:44.180 --> 00:07:14.200]   If you want out of the high US taxes, you can leave.
[00:07:14.200 --> 00:07:14.200]   If you want out of the high US taxes, you can leave.
[00:07:14.200 --> 00:07:14.200]   If you want out of the high US taxes, you can leave.
[00:07:14.200 --> 00:07:14.200]   If you want out of the high US taxes, you can leave.
[00:07:14.200 --> 00:07:14.200]   If you want out of the high US taxes, you can leave.
[00:07:14.200 --> 00:07:14.200]   If you want out of the high US taxes, you can leave.
[00:07:14.200 --> 00:07:14.200]   If you want out of the high US taxes, you can leave.
[00:07:14.200 --> 00:07:14.200]   If you want out of the high US taxes, you can leave.
[00:07:14.200 --> 00:07:14.200]   If you want out of the high US taxes, you can leave.
[00:07:14.220 --> 00:07:44.220]   If you want out of the high US taxes, you can leave.
[00:07:44.220 --> 00:07:44.220]   If you want out of the high US taxes, you can leave.
[00:07:44.220 --> 00:07:44.220]   If you want out of the high US taxes, you can leave.
[00:07:44.220 --> 00:07:44.220]   If you want out of the high US taxes, you can leave.
[00:07:44.220 --> 00:07:44.220]   If you want out of the high US taxes, you can leave.
[00:07:44.220 --> 00:07:44.220]   If you want out of the high US taxes, you can leave.
[00:07:44.220 --> 00:07:44.220]   If you want out of the high US taxes, you can leave.
[00:07:44.220 --> 00:07:44.220]   If you want out of the high US taxes, you can leave.
[00:07:44.220 --> 00:07:44.220]   If you want out of the high US taxes, you can leave.
[00:07:44.220 --> 00:07:44.220]   If you want out of the high US taxes, you can leave.
[00:07:44.220 --> 00:07:44.220]   If you want out of the high US taxes, you can leave.
[00:07:44.220 --> 00:07:44.220]   If you want out of the high US taxes, you can leave.
[00:07:44.220 --> 00:07:44.220]   If you want out of the high US taxes, you can leave.
[00:07:44.220 --> 00:08:14.240]   If you want out of the high US taxes, you can leave.
[00:08:14.240 --> 00:08:14.240]   If you want out of the high US taxes, you can leave.
[00:08:14.240 --> 00:08:14.240]   If you want out of the high US taxes, you can leave.
[00:08:14.240 --> 00:08:14.240]   If you want out of the high US taxes, you can leave.
[00:08:14.240 --> 00:08:14.240]   If you want out of the high US taxes, you can leave.
[00:08:14.240 --> 00:08:14.240]   If you want out of the high US taxes, you can leave.
[00:08:14.280 --> 00:08:44.260]   ado.
[00:08:44.260 --> 00:08:44.260]   There are a couple wrinkles that are unique about the US system of citizenship and taxation versus other countries of the world. There are four major systems of income taxation that exist in the world. They are, of course, citizenship-based taxation, which means that if you are a citizen of the country, you pay taxes based upon that citizenship. There are two countries in the world, to my knowledge, that currently have this system, the United States of America and Eritrea. There are countries in the world that have in the past had a system like this, but now they have a system like this.
[00:08:44.260 --> 00:08:44.260]   There are countries in the world that have in the past had a system like this, but now they have a system like this.
[00:08:44.260 --> 00:08:44.260]   There are countries in the world that have in the past had a system like this, but now they have a system like this.
[00:08:44.260 --> 00:08:44.260]   There are countries in the world that have in the past had a system like this, but now they have a system like this.
[00:08:44.260 --> 00:09:14.280]  , and they have all gotten rid of those systems in favor of system number two, which is a residency-based taxation.
[00:09:14.280 --> 00:09:14.280]   The majority of the large jurisdictions of the world outside of the United States are residency-based taxation systems.
[00:09:14.280 --> 00:09:14.280]   Canada, Australia, Mexico, Germany, France, UK, etc. If you are a resident of those places, then you pay taxes based upon your residency, and you pay taxes on your worldwide income. US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:09:14.280 --> 00:09:14.280]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:09:14.300 --> 00:09:44.300]   Canada, Australia, Mexico, UK, etc. If you are a resident of those places, then you pay taxes on your worldwide income.
[00:09:44.300 --> 00:09:44.300]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:09:44.300 --> 00:09:44.300]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:09:44.300 --> 00:09:44.300]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:09:44.300 --> 00:09:44.300]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:09:44.300 --> 00:09:44.300]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:09:44.300 --> 00:09:44.300]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:09:44.300 --> 00:09:44.300]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:09:44.300 --> 00:09:44.300]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:09:44.320 --> 00:10:14.320]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:10:14.320 --> 00:10:14.320]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:10:14.320 --> 00:10:14.320]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:10:14.320 --> 00:10:14.320]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:10:14.320 --> 00:10:14.320]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:10:14.320 --> 00:10:14.320]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:10:14.320 --> 00:10:14.320]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:10:14.320 --> 00:10:14.320]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:10:14.320 --> 00:10:14.320]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:10:14.320 --> 00:10:44.340]  , the US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:10:44.340 --> 00:10:44.340]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:10:44.340 --> 00:10:44.340]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:10:44.340 --> 00:10:44.340]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:10:44.340 --> 00:10:44.340]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:10:44.340 --> 00:10:44.340]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:10:44.340 --> 00:10:44.340]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:10:44.360 --> 00:11:14.360]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:11:14.360 --> 00:11:14.360]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:11:14.360 --> 00:11:14.360]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:11:14.360 --> 00:11:14.360]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:11:14.360 --> 00:11:14.360]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:11:14.360 --> 00:11:14.360]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:11:14.360 --> 00:11:14.360]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:11:14.360 --> 00:11:14.360]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:11:14.360 --> 00:11:14.360]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:11:14.400 --> 00:11:44.380]  , and cut off your taxation ties to your country of origin.
[00:11:44.380 --> 00:11:44.380]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:11:44.380 --> 00:11:44.380]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:11:44.380 --> 00:11:44.380]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:11:44.380 --> 00:11:44.380]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:11:44.380 --> 00:11:44.380]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:11:44.380 --> 00:11:44.380]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:11:44.400 --> 00:12:14.400]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:12:14.400 --> 00:12:14.400]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:12:14.400 --> 00:12:14.400]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:12:14.400 --> 00:12:14.400]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:12:14.400 --> 00:12:14.400]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:12:14.400 --> 00:12:14.400]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:12:14.400 --> 00:12:14.400]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:12:14.400 --> 00:12:14.400]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:12:14.400 --> 00:12:14.400]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:12:14.440 --> 00:12:44.420]  , the US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:12:44.420 --> 00:12:44.420]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:12:44.420 --> 00:12:44.420]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:12:44.420 --> 00:12:44.420]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:12:44.420 --> 00:12:44.420]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:12:44.420 --> 00:12:44.420]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:12:44.420 --> 00:12:44.420]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:12:44.420 --> 00:12:44.420]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:12:44.440 --> 00:13:14.440]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:13:14.440 --> 00:13:14.440]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:13:14.440 --> 00:13:14.440]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:13:14.440 --> 00:13:14.440]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:13:14.440 --> 00:13:14.440]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:13:14.440 --> 00:13:14.440]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:13:14.440 --> 00:13:14.440]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:13:14.440 --> 00:13:14.440]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:13:14.440 --> 00:13:14.440]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:13:14.480 --> 00:13:44.460]   the US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:13:44.460 --> 00:13:44.460]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:13:44.460 --> 00:13:44.460]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:13:44.460 --> 00:13:44.460]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:13:44.460 --> 00:13:44.460]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:13:44.460 --> 00:13:44.460]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:13:44.460 --> 00:13:44.460]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:13:44.480 --> 00:14:14.480]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:14:14.480 --> 00:14:14.480]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
[00:14:14.480 --> 00:14:14.480]   The US citizens, no matter where they live in the world, pay taxes on your worldwide income.
