
[00:00:00.000 --> 00:00:05.240]   Sam Ortman announced in the last couple of hours that ChatGPT will start trying to assess whether
[00:00:05.240 --> 00:00:12.140]   you are a child and in some circumstances can flag conversations for review by parents and
[00:00:12.140 --> 00:00:17.200]   the authorities. For those of us who aren't children, ChatGPT will also sometimes begin
[00:00:17.200 --> 00:00:23.080]   flirting. This video then will give you the five minute TLDR on this announcement, which is not
[00:00:23.080 --> 00:00:29.800]   unique to ChatGPT by the way, as well as some other things Sam Ortman said this week that 99%
[00:00:29.800 --> 00:00:35.280]   of people may have missed, but a good chunk of those should hear. First, the classic corporation
[00:00:35.280 --> 00:00:42.340]   speak, which is that OpenAI are building toward a long-term system to understand whether someone
[00:00:42.340 --> 00:00:47.820]   is over or under 18. Unless I missed it, I can't find anywhere where they announced when this would
[00:00:47.820 --> 00:00:54.220]   occur or whether it starts as of today. One thing to immediately flag is that as of July, YouTube
[00:00:54.220 --> 00:00:59.600]   already does this based on the type of videos that you watch. Okay, but what will ChatGPT
[00:00:59.600 --> 00:01:04.600]   do if it assesses that you're a teen? Well, first of all, it won't flirt with you ever. And second of
[00:01:04.600 --> 00:01:10.120]   all, in extreme circumstances, depending on the discussion, it may contact law enforcement. You
[00:01:10.120 --> 00:01:16.000]   may of course have seen some recent very sad headlines about why they may have felt they needed
[00:01:16.000 --> 00:01:21.040]   to take this step. Like many of you, I think the goal is admirable. The question is, they better
[00:01:21.040 --> 00:01:26.520]   be really confident they're flagging the right conversations. Then comes a really key sentence.
[00:01:26.520 --> 00:01:31.520]   If we are not confident about someone's age or have incomplete information, we'll take
[00:01:31.520 --> 00:01:38.440]   the safer route and default to the under 18 experience and give adults ways to prove their age to unlock
[00:01:38.440 --> 00:01:44.520]   adult capabilities. In the next two weeks, we do know that there will be parental controls enabling
[00:01:44.520 --> 00:01:51.520]   parents to, for example, for teens, set blackout hours when a teen cannot use ChatGPT. Then, as
[00:01:51.520 --> 00:01:57.520]   before, if the system detects their teen is in a moment of acute distress, it will flag to the parent first
[00:01:57.520 --> 00:02:02.520]   and foremost, and then only afterwards to law enforcement. Again, I totally understand the
[00:02:02.520 --> 00:02:09.520]   motivation. I guess one thing I'd flag to OpenAI is, what happens if, like Twitter, a foreign country with
[00:02:09.520 --> 00:02:16.520]   different standards asks them and says, according to our law, you have to notify us when X occurs, when a user says Y
[00:02:16.520 --> 00:02:22.520]   about the government or does Z. Some tech companies cave into that, others don't, so only time will tell.
[00:02:22.520 --> 00:02:28.520]   The next two announcements, which came just an hour ago as our filming, might have been missed. OpenAI say that
[00:02:28.520 --> 00:02:34.520]   they want to give the same level of protection to your conversations with AI as you might have with your
[00:02:34.520 --> 00:02:40.520]   conversations to a doctor or to a lawyer. They say that people are increasingly turning to AI for sensitive
[00:02:40.520 --> 00:02:46.520]   questions and about their private concerns. Interestingly, we learned today exactly what percentage of people
[00:02:46.520 --> 00:02:52.520]   are turning to ChatGPT for, for different reasons. I spent about half an hour analyzing this image earlier, and
[00:02:52.520 --> 00:03:00.520]   it's pretty fascinating to see how people use ChatGPT. According to this, for the web version at least, only 4.2% are
[00:03:00.520 --> 00:03:08.520]   using it for coding. That compares to 10% to be tutored or taught something, and even 5.7% for fitness, beauty,
[00:03:08.520 --> 00:03:16.520]   self-care, or health advice. I was also kind of shocked how creating an image was a less used capability
[00:03:16.520 --> 00:03:22.520]   than translation. You may also notice that 0.4% of people just spend their time asking about the model.
[00:03:22.520 --> 00:03:28.520]   How are you? Are you conscious? That kind of thing. Back to the announcement though, so what could be the
[00:03:28.520 --> 00:03:34.520]   concerns about this greater level of privilege and privacy, it seems, for adults? My concerns are for
[00:03:34.520 --> 00:03:42.520]   startups, because OpenAI say we are advocating for this protection with policy makers. That is of course, therefore,
[00:03:42.520 --> 00:03:50.520]   the Trump administration. My concern is that if OpenAI gets a law passed, that any Chat with an AI system has to be
[00:03:50.520 --> 00:03:58.520]   protected by numerous layers of privilege and privacy and protection. While that sounds good initially, like needing to
[00:03:58.520 --> 00:04:04.520]   pass the bar to become a lawyer, it raises the bar literally for all startups and open source initiatives.
[00:04:04.520 --> 00:04:08.520]   Or at least it could force them to go through all sorts of hurdles. That's my concern.
[00:04:08.520 --> 00:04:14.520]   Yes, I know, OpenAI will claim that this is just about stopping the New York Times forcing them to retain
[00:04:14.520 --> 00:04:20.520]   user data indefinitely. I guess I'm just a tad skeptical about the possibility for regulatory capture.
[00:04:20.520 --> 00:04:26.520]   Another theory, by the way, is it could have been in response to the FDC launching an inquiry in America
[00:04:26.520 --> 00:04:32.520]   to quote "understand what steps, if any, companies have taken to evaluate the safety of their chatbots
[00:04:32.520 --> 00:04:38.520]   when acting as companions." Last announcement from this afternoon before I get to the quote from Sam Altman
[00:04:38.520 --> 00:04:42.520]   that many people will have missed. I think practically everyone, actually. This is regarding the question
[00:04:42.520 --> 00:04:50.520]   of when ChatGPT will flirt with you. And the answer is simple. If you ask for it, they should get it.
[00:04:50.520 --> 00:04:56.520]   I personally have never asked ChatGPT to flirt, but presumably some of you have and have seen the model refuse.
[00:04:56.520 --> 00:05:02.520]   Well, apparently it won't do so anymore. If the system then believes you're an adult, or you have been forced
[00:05:02.520 --> 00:05:08.520]   to provide ideas showing you're an adult, it will now also help you write a fictional story that involves,
[00:05:08.520 --> 00:05:15.520]   presumably, let's say extreme flirtation and a self-caused tragedy. I guess you could summarize all of these
[00:05:15.520 --> 00:05:22.520]   announcements is that they're great if we could perfectly trust OpenAI to implement them correctly.
[00:05:22.520 --> 00:05:28.520]   If those were the announcements, what was the quote that almost everyone missed? Well, first, for some context,
[00:05:28.520 --> 00:05:35.520]   here's what Sam Altman was telling lawmakers in the US in private in 2024.
[00:05:35.520 --> 00:05:40.520]   I want to talk a little bit about the workforce, but Mr. Altman, when we met last year in my office
[00:05:40.520 --> 00:05:48.520]   and had a great conversation, you said that upwards of 70% of jobs could be eliminated by AI,
