
[00:00:00.000 --> 00:00:06.000]   [Intro]
[00:00:06.000 --> 00:00:08.840]   Today is absolutely epic, Pastor John.
[00:00:08.840 --> 00:00:13.280]   This is episode number 300 in the Ask Pastor John podcast series.
[00:00:13.280 --> 00:00:16.760]   Episode 100, if I remember correctly, was a little less epic.
[00:00:16.760 --> 00:00:18.720]   Episode 200, I think, was pretty epic.
[00:00:18.720 --> 00:00:25.440]   But this is episode 300, and it is truly epic because today is the first round of March
[00:00:25.440 --> 00:00:28.240]   Madness, which begins in Dayton, Ohio.
[00:00:28.240 --> 00:00:33.400]   And Pastor John, here is the question that millions and millions of people around the
[00:00:33.400 --> 00:00:35.920]   world want to ask you right now.
[00:00:35.920 --> 00:00:40.520]   Why, Pastor John, why do we love watching March Madness basketball?
[00:00:40.520 --> 00:00:45.760]   Okay, I'm the least likely person to say anything about college basketball.
[00:00:45.760 --> 00:00:46.760]   But here goes.
[00:00:46.760 --> 00:00:49.120]   I enjoy watching college basketball.
[00:00:49.120 --> 00:00:51.000]   Yes, I do.
[00:00:51.000 --> 00:00:55.840]   More than football because there are no breaks between the plays.
[00:00:55.840 --> 00:01:01.080]   The action is fast-paced, more than professional basketball because their hearts seem to be
[00:01:01.080 --> 00:01:03.000]   in it more, and more than baseball.
[00:01:03.000 --> 00:01:04.880]   I don't want to offend you, Tony.
[00:01:04.880 --> 00:01:10.120]   I know you're a big baseball guy, but to me, that sport is just painfully slow.
[00:01:10.120 --> 00:01:17.280]   And I have to admit, it's evidently the intelligent man's sport, but I'm not intelligent enough
[00:01:17.280 --> 00:01:23.040]   to be thinking deep thoughts about what might be coming with this pitch and what has happened.
[00:01:23.040 --> 00:01:26.160]   I'm saying, come on, come on, come on, get on with it.
[00:01:26.160 --> 00:01:29.400]   So anyway, I enjoy college basketball.
[00:01:29.400 --> 00:01:30.640]   Why?
[00:01:30.640 --> 00:01:34.680]   And I think I'm probably typical in enjoying it.
[00:01:34.680 --> 00:01:39.360]   I'm going to download probably the NAAC, that's not right.
[00:01:39.360 --> 00:01:42.160]   That's the African American group, right?
[00:01:42.160 --> 00:01:43.160]   NCAA.
[00:01:43.160 --> 00:01:44.420]   NCAA, yeah, sorry.
[00:01:44.420 --> 00:01:48.120]   So anyway, I'm going to download their app because last year I knew they had an app and
[00:01:48.120 --> 00:01:52.000]   you could listen to every one of them free, unlike these crazy Olympic apps that don't
[00:01:52.000 --> 00:01:53.000]   let you watch anything.
[00:01:53.000 --> 00:01:58.040]   So I don't have a television and I want to watch, so there's the app that'll let me peek
[00:01:58.040 --> 00:01:59.040]   in.
[00:01:59.040 --> 00:02:03.080]   Why do we like to watch this sport?
[00:02:03.080 --> 00:02:08.040]   Number one, we, I want to say we, love to see great skill.
[00:02:08.040 --> 00:02:10.440]   It's a form of beauty.
[00:02:10.440 --> 00:02:12.840]   We're wired to enjoy beauty.
[00:02:12.840 --> 00:02:15.640]   That's the way God made us.
[00:02:15.640 --> 00:02:22.080]   Mainly so we can enjoy his beauty and all of its refractions in creation.
[00:02:22.080 --> 00:02:27.680]   And there are refractions of his created beauty in college basketball.
[00:02:27.680 --> 00:02:32.840]   There is individual artistry and beauty, the dribbling, the shooting.
[00:02:32.840 --> 00:02:38.260]   We love to watch the phenomenal dribbling around, around the opposition that drives
[00:02:38.260 --> 00:02:40.600]   and finishes smooth two points.
[00:02:40.600 --> 00:02:44.040]   And by the way, I don't value dunking.
[00:02:44.040 --> 00:02:46.760]   I don't like to watch dunking to me.
[00:02:46.760 --> 00:02:48.600]   Dunking is not very artistic.
[00:02:48.600 --> 00:02:52.600]   It seems to be like it's mainly height and Hulk.
[00:02:52.600 --> 00:03:00.480]   Whereas an artistic smooth layup in an old traditional way, that's a lot more art about
[00:03:00.480 --> 00:03:05.440]   it than the smoshing dunks from halfway down the court.
[00:03:05.440 --> 00:03:08.520]   It is pretty amazing, but it's just not as artistic.
[00:03:08.520 --> 00:03:12.480]   Second, there's team beauty, not just individual, but team beauty.
[00:03:12.480 --> 00:03:19.400]   When a defense is simply impregnable or an offense maneuvers so beautifully successfully,
[00:03:19.400 --> 00:03:22.880]   it looks like one single organism.
[00:03:22.880 --> 00:03:29.840]   And the best of all is when the individual and the team combine so that the players shine
[00:03:29.840 --> 00:03:36.640]   at their peak performances, but they're actually serving the coordinated effort of the team.
[00:03:36.640 --> 00:03:44.120]   So all of that beauty falls under what I would say that the reason we like that sort of thing
[00:03:44.120 --> 00:03:48.360]   is the beauty of art, the artistic skill of players and teams.
[00:03:48.360 --> 00:03:56.800]   This is a God given ability, and it points the way to the way God is in his abilities.
[00:03:56.800 --> 00:04:01.960]   He's beautiful in his skill, in his skill giving wisdom.
[00:04:01.960 --> 00:04:07.640]   Here's a second one I enjoy, I admire endurance.
[00:04:07.640 --> 00:04:13.440]   I love to watch sports that require enormous endurance.
[00:04:13.440 --> 00:04:17.560]   I love perseverance in real life.
[00:04:17.560 --> 00:04:22.360]   People that do something through thick and thin for decades and accomplish much by little
[00:04:22.360 --> 00:04:28.960]   steps, you know, like chopping down a huge thousand year old tree with a little teeny
[00:04:28.960 --> 00:04:33.040]   axe because you've hacked at it every day for 50 years.
[00:04:33.040 --> 00:04:35.440]   That's a glorious thing for me.
[00:04:35.440 --> 00:04:44.000]   So I love endurance and I love sports that keep men running or working like the Tour
[00:04:44.000 --> 00:04:51.040]   de France or soccer or basketball that just keeps they run and they run and they run till
[00:04:51.040 --> 00:04:52.040]   they drop.
[00:04:52.040 --> 00:04:57.360]   I mean, I've played enough basketball and enough soccer to know this is incredible or
[00:04:57.360 --> 00:05:00.720]   biking for two weeks at hundreds of miles a day.
