
[00:00:00.000 --> 00:00:03.040]   Yes, so I'm Stacey.
[00:00:03.040 --> 00:00:06.480]   I'm a deep learning engineer here at Weights and Biases.
[00:00:06.480 --> 00:00:08.760]   And I'm here to talk about how to tune your deep learning
[00:00:08.760 --> 00:00:10.260]   models faster.
[00:00:10.260 --> 00:00:12.640]   I won't get into much theory or math
[00:00:12.640 --> 00:00:16.400]   behind different algorithms for hyperparameter optimization,
[00:00:16.400 --> 00:00:18.640]   like what's guaranteed to converge faster,
[00:00:18.640 --> 00:00:21.340]   what kind of model-based optimization you should use.
[00:00:21.340 --> 00:00:23.720]   And I'm not going to tell you the best type of parameters
[00:00:23.720 --> 00:00:26.280]   to pick for a given problem, because the space just
[00:00:26.280 --> 00:00:27.640]   varies so much.
[00:00:27.640 --> 00:00:29.040]   Instead, I'm going to focus on what
[00:00:29.040 --> 00:00:31.880]   I've learned from reproducing and fine-tuning
[00:00:31.880 --> 00:00:34.800]   a bunch of different models over the last two years.
[00:00:34.800 --> 00:00:36.800]   In my setup, I'm often forking some code
[00:00:36.800 --> 00:00:39.040]   for an existing model from GitHub,
[00:00:39.040 --> 00:00:42.120]   instrumenting it with logging and visualizations,
[00:00:42.120 --> 00:00:44.520]   and then trying to improve the performance,
[00:00:44.520 --> 00:00:46.760]   or at least report some interesting analysis of what
[00:00:46.760 --> 00:00:49.360]   I learned, generally as fast as I can.
[00:00:49.360 --> 00:00:52.220]   And I do that so I can showcase more examples of machine
[00:00:52.220 --> 00:00:55.200]   learning on our platform, but also
[00:00:55.200 --> 00:00:57.600]   be able to say something interesting and helpful
[00:00:57.600 --> 00:01:00.120]   each time.
[00:01:00.120 --> 00:01:02.000]   And in that process, I've learned a lot
[00:01:02.000 --> 00:01:04.840]   about the explore-exploit trade-off, which
[00:01:04.840 --> 00:01:06.760]   interestingly came up in the previous talk.
[00:01:06.760 --> 00:01:08.480]   That was cool.
[00:01:08.480 --> 00:01:10.060]   Yeah, and I'll show lots of screenshots
[00:01:10.060 --> 00:01:11.960]   from weights and biases, because that's where
[00:01:11.960 --> 00:01:13.600]   I track all my experiments.
[00:01:13.600 --> 00:01:15.040]   But the general approach and tips
[00:01:15.040 --> 00:01:17.080]   should work in any developer environment,
[00:01:17.080 --> 00:01:18.640]   and hopefully with any framework.
[00:01:18.640 --> 00:01:21.280]   I'm also giving this talk tomorrow,
[00:01:21.280 --> 00:01:23.120]   and it's supposed to not be a product pitch.
[00:01:23.120 --> 00:01:24.960]   So I really appreciate any feedback,
[00:01:24.960 --> 00:01:30.080]   and generally aiming to have it be not too weights and biases
[00:01:30.080 --> 00:01:31.960]   specific, even though obviously I'm very
[00:01:31.960 --> 00:01:35.520]   excited about weights and biases.
[00:01:35.520 --> 00:01:37.840]   If you haven't heard about the explore-exploit trade-off
[00:01:37.840 --> 00:01:41.880]   before, it's a useful handle for many life situations.
[00:01:41.880 --> 00:01:44.120]   It comes from the multi-armed bandit problem,
[00:01:44.120 --> 00:01:47.520]   where classically you're in a casino,
[00:01:47.520 --> 00:01:53.080]   and all the slot machines have a different unknown
[00:01:53.080 --> 00:01:55.480]   and probably really tiny probability of paying out
[00:01:55.480 --> 00:01:56.200]   money.
[00:01:56.200 --> 00:01:58.360]   So how do you maximize your winnings?
[00:01:58.360 --> 00:02:00.640]   You can go try a bunch of machines
[00:02:00.640 --> 00:02:03.400]   in this explore strategy, or you could pick one
[00:02:03.400 --> 00:02:05.600]   and play it over and over and hope
[00:02:05.600 --> 00:02:07.520]   that you picked a really good one.
[00:02:07.520 --> 00:02:08.840]   That's the exploit strategy.
[00:02:08.840 --> 00:02:13.520]   I'm not super into the casino metaphor,
[00:02:13.520 --> 00:02:18.280]   but I think it does bring out a darker side of the process
[00:02:18.280 --> 00:02:24.120]   that's similar across both of these things, which
[00:02:24.120 --> 00:02:28.480]   is that it's hard to stop.
[00:02:28.480 --> 00:02:29.080]   That's it.
[00:02:29.080 --> 00:02:31.160]   I can't lose any more money, or this
[00:02:31.160 --> 00:02:32.440]   is as good as this model gets.
[00:02:32.440 --> 00:02:37.040]   I don't know about that last 0.05%.
[00:02:37.040 --> 00:02:40.280]   It's hard to tell what's really happening
[00:02:40.280 --> 00:02:42.520]   versus how you're feeling about it, the story you're
[00:02:42.520 --> 00:02:43.800]   telling yourself.
[00:02:43.800 --> 00:02:47.840]   So for example, I might have just lost 20 times in a row,
[00:02:47.840 --> 00:02:49.080]   but I might be thinking I'm doing great.
[00:02:49.080 --> 00:02:50.320]   I'm having a lot of fun.
[00:02:50.320 --> 00:02:51.200]   This is awesome.
[00:02:51.200 --> 00:02:53.760]   Or I might be thinking, oh, this is awful.
[00:02:53.760 --> 00:02:54.480]   This is the worst.
[00:02:54.480 --> 00:02:58.440]   This accuracy is never going to get above 70%.
[00:02:58.440 --> 00:03:00.480]   I give up.
[00:03:00.480 --> 00:03:03.400]   As often happens, I think the story and what you experience
[00:03:03.400 --> 00:03:04.440]   is more important.
[00:03:04.440 --> 00:03:07.200]   What are you getting out of the process?
[00:03:07.200 --> 00:03:09.200]   What can you do better next time?
[00:03:09.200 --> 00:03:11.840]   And so I'm going to tell a few stories of how
[00:03:11.840 --> 00:03:14.280]   I've encountered this, and they definitely won't point you
[00:03:14.280 --> 00:03:16.840]   to the best hyperparameter slot machine.
[00:03:16.840 --> 00:03:19.880]   But hopefully, you'll be able to tune your models faster
[00:03:19.880 --> 00:03:22.720]   next time, or at least avoid repeating my mistakes
[00:03:22.720 --> 00:03:24.800]   by thinking about the constraints
