
[00:00:00.000 --> 00:00:09.160]   (beeping)
[00:00:09.160 --> 00:00:15.960]   (music)
[00:00:15.960 --> 00:00:18.160]   Welcome back to Ask the Compound, live from New York.
[00:00:18.160 --> 00:00:20.160]   I'm in the same room for the first time in a while.
[00:00:20.160 --> 00:00:24.760]   We've got 40 other people going through our Google Docs this week.
[00:00:24.760 --> 00:00:25.760]   A lot of good questions.
[00:00:25.760 --> 00:00:27.760]   I'm appreciative of the thought and effort that goes into these.
[00:00:27.760 --> 00:00:30.000]   I feel like a lot of the questions are similar in nature,
[00:00:30.000 --> 00:00:32.000]   but they're always different from the unique circumstances.
[00:00:32.000 --> 00:00:33.000]   So we really appreciate it.
[00:00:33.000 --> 00:00:36.000]   Keep them coming at thecompoundshow@gmail.com.
[00:00:36.000 --> 00:00:37.500]   Today's show is sponsored by Bird Dogs.
[00:00:37.500 --> 00:00:39.760]   I finally got the Bird Dog Polo.
[00:00:39.760 --> 00:00:43.500]   And it is muggy as all getup in Manhattan right now.
[00:00:43.500 --> 00:00:48.260]   We just walked from lunch and just sweating and hot.
[00:00:48.260 --> 00:00:50.660]   And this shirt is comfy.
[00:00:50.660 --> 00:00:51.660]   It's breathable.
[00:00:51.660 --> 00:00:52.660]   It's active.
[00:00:52.660 --> 00:00:54.660]   It's got the stretch material just like the shorts.
[00:00:54.660 --> 00:00:55.660]   It's stylish.
[00:00:55.660 --> 00:00:57.660]   I'd say good for golf, but I don't golf.
[00:00:57.660 --> 00:00:59.660]   It's an active -- maybe a dinner date if you want to wear a
[00:00:59.660 --> 00:01:00.660]   collar in the summer.
[00:01:00.660 --> 00:01:03.660]   And if you go to birddogs.com/atc,
[00:01:03.660 --> 00:01:05.660]   you get a free white tech hat.
[00:01:05.660 --> 00:01:07.660]   I don't have one because I was wearing it all weekend last week.
[00:01:07.660 --> 00:01:08.660]   I'm not a big hat guy.
[00:01:08.660 --> 00:01:10.660]   I used to wear more hats in college,
[00:01:10.660 --> 00:01:12.660]   but it was like backwards frat bro hats.
[00:01:12.660 --> 00:01:13.660]   Nice.
[00:01:13.660 --> 00:01:16.660]   And then I become a dad, and the rule is you cannot wear your hat
[00:01:16.660 --> 00:01:17.660]   backwards if you're a dad.
[00:01:17.660 --> 00:01:18.660]   Is that a rule?
[00:01:18.660 --> 00:01:19.660]   I don't know.
[00:01:19.660 --> 00:01:20.660]   I don't make them.
[00:01:20.660 --> 00:01:21.660]   That's the rules.
[00:01:21.660 --> 00:01:22.660]   So I'm not a big hat guy.
[00:01:22.660 --> 00:01:23.660]   You got to have a little more fun.
[00:01:23.660 --> 00:01:24.660]   You got to wear a hat backwards.
[00:01:24.660 --> 00:01:25.660]   You got to play golf.
[00:01:25.660 --> 00:01:26.660]   And you got to drink coffee.
[00:01:26.660 --> 00:01:28.660]   You could do it when you're doing a good shot, Duncan,
[00:01:28.660 --> 00:01:29.660]   like you turn the hat backwards.
[00:01:29.660 --> 00:01:30.660]   Sure.
[00:01:30.660 --> 00:01:32.660]   So that's just alone and over the top.
[00:01:32.660 --> 00:01:35.660]   Birddogs.com/atc, and you get a free tech hat.
[00:01:35.660 --> 00:01:36.660]   Check out the new polos.
[00:01:36.660 --> 00:01:37.660]   They've got a bunch of different colors.
[00:01:37.660 --> 00:01:39.660]   And, of course, the shorts, as always.
[00:01:39.660 --> 00:01:40.660]   Before we get into the questions,
[00:01:40.660 --> 00:01:42.660]   got a feedback from last week.
[00:01:42.660 --> 00:01:45.660]   Someone was wondering why do target date funds not have --
[00:01:45.660 --> 00:01:48.660]   how can you not get a 100% equity target date fund?
[00:01:48.660 --> 00:01:51.660]   Jeff says, "The likely reason target date funds for most people
[00:01:51.660 --> 00:01:54.660]   "retiring more than 40 years from now still maintain a small bond
[00:01:54.660 --> 00:01:58.660]   "position is because a fund with 100% equity position would not
[00:01:58.660 --> 00:02:02.660]   "qualify as a QDIA default fund in a retirement plan."
[00:02:02.660 --> 00:02:03.660]   I didn't know that.
[00:02:03.660 --> 00:02:04.660]   Sounds right.
[00:02:04.660 --> 00:02:05.660]   All right.
[00:02:05.660 --> 00:02:06.660]   I'll take him for his word.
[00:02:06.660 --> 00:02:07.660]   All right.
[00:02:07.660 --> 00:02:08.660]   First question.
[00:02:08.660 --> 00:02:09.660]   Okay.
[00:02:09.660 --> 00:02:10.660]   Also, I'm sorry.
[00:02:10.660 --> 00:02:11.660]   I told you I was going to cue you when we were live.
[00:02:11.660 --> 00:02:12.660]   I didn't.
[00:02:12.660 --> 00:02:13.660]   So everyone watched you for a couple of seconds.
[00:02:13.660 --> 00:02:14.660]   Sorry about that.
[00:02:14.660 --> 00:02:15.660]   But, yeah, we're doing this live.
[00:02:15.660 --> 00:02:16.660]   Okay.
[00:02:16.660 --> 00:02:18.660]   Up first today, we have a question from Matt.
[00:02:18.660 --> 00:02:20.660]   "I'm 38, and for most of my adult life,
[00:02:20.660 --> 00:02:23.660]   "I made just enough to survive with nothing left to invest.
[00:02:23.660 --> 00:02:25.660]   "Everything changed a few years ago.
[00:02:25.660 --> 00:02:29.660]   "My salary increased from $35,000 to $140,000 over four years.
[00:02:29.660 --> 00:02:31.660]   "At first, I spent everything.
[00:02:31.660 --> 00:02:33.660]   "For the last two years, I've done the opposite.
[00:02:33.660 --> 00:02:35.660]   "I save everything.
[00:02:35.660 --> 00:02:38.660]   "My monthly expenses, including mortgage, are less than $1,000,
[00:02:38.660 --> 00:02:41.660]   "and my after-tax savings rate is 80% to 90%.
[00:02:41.660 --> 00:02:45.660]   "In the last two years, I've saved about $150,000,
[00:02:45.660 --> 00:02:48.660]   "not including maxing my 401(k) and Roth.
[00:02:48.660 --> 00:02:51.660]   "My job isn't going anywhere, but I have a constant fear that
[00:02:51.660 --> 00:02:54.660]   "something is going to happen and everything will be ripped away.
[00:02:54.660 --> 00:02:57.660]   "The key thing is that I have no real skills,
[00:02:57.660 --> 00:03:00.660]   "but I hit the lottery at a company that has rewarded me
[00:03:00.660 --> 00:03:02.660]   "for a decade of hard work.
[00:03:02.660 --> 00:03:04.660]   "Most financial experts would probably say I'm saving too much,
[00:03:04.660 --> 00:03:07.660]   "but what do you think my situation justifies
[00:03:07.660 --> 00:03:09.660]   "regarding savings rate?"
[00:03:09.660 --> 00:03:10.660]   Not hyperbole here.
[00:03:10.660 --> 00:03:13.660]   I think this is one of the favorite questions that we've ever gotten.
[00:03:13.660 --> 00:03:15.660]   Because we've got this question before about,
[00:03:15.660 --> 00:03:17.660]   "Hey, I save too much, what do I do?"
[00:03:17.660 --> 00:03:19.660]   But this question just shows how it's way more about mind
[00:03:19.660 --> 00:03:20.660]   than money for a lot of people.
[00:03:20.660 --> 00:03:22.660]   And also, I'm very glad I'm wearing the bird dog shirt,
