
[00:00:00.000 --> 00:00:03.440]   [MUSIC PLAYING]
[00:00:03.440 --> 00:00:08.520]   We got one here from Peyton.
[00:00:08.520 --> 00:00:13.000]   Peyton says, do you have suggestions for high schoolers?
[00:00:13.000 --> 00:00:15.840]   At my school, we have to check our email daily
[00:00:15.840 --> 00:00:17.400]   to receive updates from our teachers,
[00:00:17.400 --> 00:00:20.080]   and we rely heavily on our computers.
[00:00:20.080 --> 00:00:22.640]   Are there tips you would have for students like me?
[00:00:22.640 --> 00:00:24.280]   I do have tips for students.
[00:00:24.280 --> 00:00:26.440]   The idea that you have to check your email once a day
[00:00:26.440 --> 00:00:28.680]   for updates from your teachers is not your problem.
[00:00:28.680 --> 00:00:30.520]   The fact that, yes, there's work you
[00:00:30.520 --> 00:00:33.640]   do during the school day on your Chromebook is not your problem.
[00:00:33.640 --> 00:00:36.000]   Here's the things that I'm going to tell you matter.
[00:00:36.000 --> 00:00:40.160]   And it's what you were doing voluntarily with your time
[00:00:40.160 --> 00:00:44.760]   and how you were voluntarily engaging with the digital world
[00:00:44.760 --> 00:00:45.560]   that matters.
[00:00:45.560 --> 00:00:47.360]   So here are the rules.
[00:00:47.360 --> 00:00:48.280]   And I say rules.
[00:00:48.280 --> 00:00:49.720]   I mean, you can listen to them or you not.
[00:00:49.720 --> 00:00:51.440]   But I'm saying this is what I would suggest.
[00:00:51.440 --> 00:00:53.200]   If I was a high schooler and I'm thinking,
[00:00:53.200 --> 00:00:54.600]   I want a deeper life, I don't want
[00:00:54.600 --> 00:00:57.800]   to just be anxious and lost in my screen all the time.
[00:00:57.800 --> 00:01:02.160]   Number one, don't play online video games.
[00:01:02.160 --> 00:01:05.840]   I'm not against video games in general as a distraction.
[00:01:05.840 --> 00:01:07.600]   But the ones where you're online and there's
[00:01:07.600 --> 00:01:09.400]   lots of other people on them--
[00:01:09.400 --> 00:01:12.160]   in Roblox, I'm looking at you.
[00:01:12.160 --> 00:01:13.480]   The-- I don't know these things.
[00:01:13.480 --> 00:01:15.560]   Fortnite, I'm looking at you.
[00:01:15.560 --> 00:01:17.200]   World of Warcraft, is that still a thing?
[00:01:17.200 --> 00:01:17.920]   Look, I don't know games.
[00:01:17.920 --> 00:01:19.320]   But the ones in which there's lots
[00:01:19.320 --> 00:01:21.520]   of people who are online on a shared server
[00:01:21.520 --> 00:01:24.720]   are some of the most addictive technologies ever created
[00:01:24.720 --> 00:01:26.160]   by man.
[00:01:26.160 --> 00:01:30.240]   If you study digital addiction, these can be the worst.
[00:01:30.240 --> 00:01:31.440]   These are the worst.
[00:01:31.440 --> 00:01:34.160]   It's not social media.
[00:01:34.160 --> 00:01:35.920]   It's not I'm on YouTube too much.
[00:01:35.920 --> 00:01:39.840]   The thing that can cause I have to go to a rehab center
[00:01:39.840 --> 00:01:43.560]   level of addiction is actually these massive multiple online
[00:01:43.560 --> 00:01:44.280]   games.
[00:01:44.280 --> 00:01:45.560]   It's going to eat up your life.
[00:01:45.560 --> 00:01:48.320]   There's better things you can be doing with that time.
[00:01:48.320 --> 00:01:52.520]   You get very little return in the sense of connection,
[00:01:52.520 --> 00:01:55.240]   growth, resilience, character, skills.
[00:01:55.240 --> 00:01:58.160]   You get nothing out of the time you spend when
[00:01:58.160 --> 00:02:00.760]   you're five hours in Fortnite.
[00:02:00.760 --> 00:02:02.520]   Don't do online video games.
[00:02:02.520 --> 00:02:05.440]   Second, don't do social media.
[00:02:05.440 --> 00:02:07.720]   You can use your phone to communicate with your friends.
[00:02:07.720 --> 00:02:08.880]   And this is the good news.
[00:02:08.880 --> 00:02:10.280]   And this is a change that has happened
[00:02:10.280 --> 00:02:11.880]   since when I first started researching
[00:02:11.880 --> 00:02:13.280]   my book, Digital Minimalism.
[00:02:13.280 --> 00:02:17.120]   And today, back then, social media platforms
[00:02:17.120 --> 00:02:19.680]   were critical to teen socialization.
