
[00:00:00.000 --> 00:00:03.000]   Ilya, unbelievable.
[00:00:03.000 --> 00:00:06.000]   Today is the day after GPT-4.
[00:00:06.000 --> 00:00:07.300]   (laughs)
[00:00:07.300 --> 00:00:09.300]   It's great to have you here.
[00:00:09.300 --> 00:00:10.680]   I'm delighted to have you.
[00:00:10.680 --> 00:00:12.180]   I've known you a long time.
[00:00:12.180 --> 00:00:14.840]   The journey and just my mental hit,
[00:00:14.840 --> 00:00:19.520]   my mental memory of the time that I've known you
[00:00:19.520 --> 00:00:22.680]   and the seminal work that you have done
[00:00:22.680 --> 00:00:26.060]   starting in University of Toronto,
[00:00:26.060 --> 00:00:32.760]   the co-invention of AlexNet with Alex and Jeb Hinton
[00:00:32.760 --> 00:00:38.360]   that led to the big bang of modern artificial intelligence,
[00:00:38.360 --> 00:00:41.600]   your career that took you out here to the Bay Area,
[00:00:41.600 --> 00:00:46.400]   the founding of OpenAI, GPT-123,
[00:00:46.400 --> 00:00:49.280]   and then, of course, ChatGPT,
[00:00:49.280 --> 00:00:52.320]   the AI heard around the world.
[00:00:52.320 --> 00:00:57.580]   This is the incredible resume of a young computer scientist,
[00:00:57.580 --> 00:01:00.160]   you know, an entire community and industry
[00:01:00.160 --> 00:01:02.460]   at all with your achievements.
[00:01:02.460 --> 00:01:05.580]   I guess I just want to go back to the beginning
[00:01:05.580 --> 00:01:08.920]   and ask you, deep learning,
[00:01:08.920 --> 00:01:11.420]   what was your intuition around deep learning?
[00:01:11.420 --> 00:01:13.920]   Why did you know that it was going to work?
[00:01:13.920 --> 00:01:14.920]   Did you have any intuition
[00:01:14.920 --> 00:01:17.420]   that it was going to lead to this kind of success?
[00:01:17.420 --> 00:01:19.840]   Okay, well, first of all,
[00:01:19.840 --> 00:01:24.520]   thank you so much for the quote, for all the kind words.
[00:01:24.520 --> 00:01:26.180]   A lot has changed
[00:01:26.180 --> 00:01:31.220]   thanks to the incredible power of deep learning.
[00:01:31.220 --> 00:01:34.840]   Like, I think my personal starting point,
[00:01:34.840 --> 00:01:36.600]   I was interested in artificial intelligence
[00:01:36.600 --> 00:01:39.760]   for a whole variety of reasons,
[00:01:39.760 --> 00:01:43.060]   starting from an intuitive understanding
[00:01:43.060 --> 00:01:46.060]   of appreciation of its impact,
[00:01:46.060 --> 00:01:47.720]   and also I had a lot of curiosity
[00:01:47.720 --> 00:01:49.720]   about what is consciousness,
[00:01:49.720 --> 00:01:51.940]   what is the human experience,
[00:01:51.940 --> 00:01:54.820]   and it felt like progress in artificial intelligence
[00:01:54.820 --> 00:01:57.240]   will help with that.
[00:01:57.240 --> 00:01:58.740]   The next step was,
[00:01:58.740 --> 00:02:03.000]   well, back then, I was starting in 2002, 2003,
[00:02:03.000 --> 00:02:05.040]   and it seemed like learning is the thing
[00:02:05.040 --> 00:02:08.340]   that humans can do, that people can do,
[00:02:08.340 --> 00:02:11.460]   that computers can't do at all.
[00:02:11.460 --> 00:02:14.460]   In 2003, 2002,
[00:02:14.460 --> 00:02:17.520]   computers could not learn anything,
[00:02:17.520 --> 00:02:21.520]   and it wasn't even clear that it was possible in theory.
[00:02:21.520 --> 00:02:27.360]   And so I thought that making progress in learning,
[00:02:27.360 --> 00:02:30.060]   in artificial learning, in machine learning,
[00:02:30.060 --> 00:02:33.400]   that would lead to the greatest progress in AI.
[00:02:33.400 --> 00:02:37.200]   And then I started to look around for what was out there,
[00:02:37.200 --> 00:02:39.800]   and nothing seemed too promising.
[00:02:39.800 --> 00:02:42.040]   But to my great luck,
[00:02:42.040 --> 00:02:45.280]   Jeff Hinton was a professor at my university,
[00:02:45.280 --> 00:02:47.240]   and I was able to find him,
[00:02:47.240 --> 00:02:48.780]   and he was working in neural networks,
[00:02:48.780 --> 00:02:50.780]   and it immediately made sense,
[00:02:50.780 --> 00:02:54.160]   because neural networks had the property
[00:02:54.160 --> 00:02:55.900]   that we are learning,
[00:02:55.900 --> 00:03:00.040]   we are automatically programming parallel computers.
[00:03:00.040 --> 00:03:02.700]   Back then, the parallel computers were small,
[00:03:02.700 --> 00:03:05.360]   but the promise was, if you could somehow figure out
[00:03:05.360 --> 00:03:07.900]   how learning in neural networks work,
[00:03:07.900 --> 00:03:11.280]   then you can program small parallel computers from data.
[00:03:11.280 --> 00:03:13.360]   And it was also similar enough to the brain,
[00:03:13.360 --> 00:03:14.520]   and the brain works,
[00:03:14.520 --> 00:03:17.640]   because it's like you had these several factors going for it.
[00:03:17.640 --> 00:03:21.840]   Now, it wasn't clear how to get it to work,
[00:03:21.840 --> 00:03:24.800]   but of all the things that existed,
[00:03:24.800 --> 00:03:28.760]   that seemed like it had by far the greatest long-term promise.
[00:03:28.760 --> 00:03:29.760]   Even though, you know—
[00:03:29.760 --> 00:03:31.260]   At the time that you first started,
[00:03:31.260 --> 00:03:32.520]   at the time that you first started working
[00:03:32.520 --> 00:03:35.300]   with deep learning and neural networks,
[00:03:35.300 --> 00:03:37.300]   what was the scale of the network?
[00:03:37.300 --> 00:03:39.600]   What was the scale of computing at that moment in time?
[00:03:39.600 --> 00:03:40.760]   What was it like?
[00:03:40.760 --> 00:03:42.400]   An interesting thing to note
[00:03:42.400 --> 00:03:45.980]   was that the importance of scale wasn't realized back then.
[00:03:45.980 --> 00:03:47.440]   So people would just train, you know,
[00:03:47.440 --> 00:03:50.640]   neural networks with like 50 neurons, 100 neurons,
[00:03:50.640 --> 00:03:53.020]   several hundred neurons that would be like
[00:03:53.020 --> 00:03:55.140]   a big neural network.
[00:03:55.140 --> 00:03:58.360]   A million parameters would be considered very large.
