
[00:00:00.000 --> 00:00:06.260]   was the love at first sight no because all i ever saw was a line of pastors and a line of elders
[00:00:06.260 --> 00:00:09.800]   fist fighting each other and the police had to come and break it up and i'm like drinking my
[00:00:09.800 --> 00:00:15.120]   soup and i was like this is the church this summer we decided to shift our sunday service to the
[00:00:15.120 --> 00:00:26.860]   downtown area welcome to the official unofficial acts to network podcast we are launching lifelong
[00:00:27.500 --> 00:00:32.880]   kingdom workers from every college campus my name is stephen my name is isaiah and today we have dp
[00:00:32.880 --> 00:00:39.000]   and kata on our show i'm glad to have you guys thanks for coming on guys um so dp that's not his
[00:00:39.000 --> 00:00:45.020]   real name uh why don't you guys introduce yourselves actually yeah i'm uh dp i actually i'm i'm david
[00:00:45.020 --> 00:00:50.160]   but everyone calls me dp yeah so david park so that's what dp yeah and you guys based in chicago
[00:00:50.160 --> 00:00:54.900]   we're based in chicago i'm katarina no one calls me that either everyone calls me kata
[00:00:54.900 --> 00:01:02.280]   but you don't like kata right that's you know i didn't at the beginning but i was really shy and
[00:01:02.280 --> 00:01:07.760]   one of my peers was like really extroverted so she just introduced me to everyone as kata and then
[00:01:07.760 --> 00:01:11.900]   it's stuck and now i'm fine with it oh you're fine with it now so we actually both have nicknames that
[00:01:11.900 --> 00:01:19.120]   we did not choose our names were given to us wow it's very biblical yeah okay all right why didn't you
[00:01:19.120 --> 00:01:26.960]   like it i'm just because it's not my name kind of oh because um every time someone said hannah or
[00:01:26.960 --> 00:01:33.500]   anna i would turn around and then anytime someone said catalog i would turn around and then recently
[00:01:33.500 --> 00:01:42.540]   catapult okay got it nice all right cool well um we wanted to talk about um a few things um and we
[00:01:42.540 --> 00:01:45.840]   know that this past fall has been pretty some exciting things have been happening in chicago but
[00:01:45.840 --> 00:01:51.380]   before we jump into that let's just get to know you guys a little bit and um actually dp and i were
[00:01:51.380 --> 00:01:59.300]   roommates so i know dp fairly well from that um our relationship was kind of like uh like up like
[00:01:59.300 --> 00:02:04.780]   like russell and mr frederickson a little bit yeah yeah just our entire like peer class our
[00:02:04.780 --> 00:02:10.440]   yeah our friends were like mr frederickson so like i just just to get just so that people can
[00:02:10.440 --> 00:02:17.500]   know what you're like that there was uh our very first night like you know hanging out and then
[00:02:17.500 --> 00:02:21.880]   like we went to you know we're on the bunk we're in the bunk bed yeah we're in the bunk bed and i was
[00:02:21.880 --> 00:02:25.720]   just trying to get to know you trying to be relational asking questions talking but it was mostly me
[00:02:25.720 --> 00:02:30.240]   talking and then i asked like oh man entirely you talking it was entirely you were talking but it was
[00:02:30.240 --> 00:02:34.780]   actually you were yeah and i asked like in the middle of it i was like oh man am i am i talking
[00:02:34.780 --> 00:02:39.840]   too much so i asked you am i talking too much and you said i said uh no as long as you don't expect
[00:02:39.840 --> 00:02:46.640]   me to respond it's okay we got off to a great start it's a great start that's when i that's what i that's
[00:02:46.640 --> 00:02:50.400]   when i thought like oh was it a mistake that i moved into this house with these guys like oh man
[00:02:50.400 --> 00:02:55.280]   yeah yeah we had good times all right um but why don't we just like yeah how did you guys start
[00:02:55.280 --> 00:02:58.720]   coming out to our church how'd you become christian did you become christian at our church or was it
[00:02:58.720 --> 00:03:05.160]   before yeah yeah uh well i yes i grew up going to church um so the way i describe it is like i
[00:03:05.160 --> 00:03:09.940]   i started going to church around like second grade because my parents started going but
[00:03:09.940 --> 00:03:14.740]   because they were not believers yet i grew up in a kind of a non-christian household while
[00:03:14.740 --> 00:03:19.740]   attending church on sunday so i didn't grow up like with a lot of christian values in the home
[00:03:19.740 --> 00:03:24.860]   um but i did get the benefit of like hearing a lot of teaching on sunday so um i made some like you
[00:03:24.860 --> 00:03:29.640]   know significant realizations over the years especially regards to like you know just like
[00:03:29.640 --> 00:03:33.400]   seeing myself as a sinner and things like that but then it wasn't really until i came to our church
[00:03:33.400 --> 00:03:41.880]   in college that like it became real for me i so um i started you know so how i came to our church was
[00:03:41.880 --> 00:03:46.680]   through a family friend actually so i came to our church a couple years older and then um she
[00:03:46.680 --> 00:03:54.300]   invited me to use to welcome night so saw uh came and heard a pastor speak and uh i remember just
[00:03:54.300 --> 00:03:58.940]   hearing him say if you grew up in church and you have questions about the faith it's uh it's really up
[00:03:58.940 --> 00:04:03.320]   to you to get those things answered because there's a lot of answers out there and he named off a couple
[00:04:03.320 --> 00:04:08.260]   authors and so i started reading those authors and that began my journey and it was a few years a few
[00:04:08.260 --> 00:04:13.180]   months after that where i became a christian at the winter retreat yeah so that was freshman year
[00:04:13.180 --> 00:04:17.460]   freshman year yeah so how did you start coming out to church like as a second grader if your parents
[00:04:17.460 --> 00:04:22.320]   didn't go oh they started going to church so like some uh you know the korean immigrant church kind of
[00:04:22.320 --> 00:04:28.120]   network they i think they met some people within a church and then they started going to church as a
[00:04:28.120 --> 00:04:33.420]   result of that my dad had some catholic background they went occasionally i think when he was younger but
[00:04:33.420 --> 00:04:39.280]   they didn't identify as christian at all so um so it was it was really that like immigrant network and
[00:04:39.280 --> 00:04:44.080]   it was i think for them it was like just a way to get to know people and i think years after that they
[00:04:44.080 --> 00:04:52.060]   became christians yeah okay yeah yeah um so i was one of those like kind of de-churched disillusioned
[00:04:52.060 --> 00:04:56.940]   kids that came into college so i went to church pretty much all my life because my mom grew up
[00:04:56.940 --> 00:05:02.620]   um her dad was a pastor in korea so just through that lineage we kind of started going to church when
[00:05:02.620 --> 00:05:09.580]   we got to america and then in high school i think i went through a lot of church splits and um the most
[00:05:09.580 --> 00:05:16.140]   core memory i have of church growing up was me eating like um miyokgook or something in the cafeteria
[00:05:16.140 --> 00:05:23.980]   after sunday school korean soup seaweed soup and i see police coming in and it's a line of pastors and a line of elders
[00:05:23.980 --> 00:05:29.020]   fist fighting each other and the police had to come break it up and i'm like drinking my soup and i was like this is the church
[00:05:29.020 --> 00:05:37.420]   oh so after that i think i just attended church because i was curious about god but i kind of knew
[00:05:37.420 --> 00:05:42.700]   like man this is such a failed institution i don't really know what i'm doing here so my senior year i
[00:05:42.700 --> 00:05:48.620]   had completely left church and i said forget it and i'm not going back everyone's a hypocrite i'm a hypocrite
[00:05:48.620 --> 00:05:54.620]   and then um my sister who's two years older came out to our church as a freshman at berkeley and she
[00:05:54.620 --> 00:06:00.060]   changed so much um when she came back from a mission trip in cambodia and i was like what is wrong with
[00:06:00.060 --> 00:06:06.620]   you and she said i think i found this very biblical church and i distinctly remember my response was
[00:06:06.620 --> 00:06:11.100]   come on you and i both know those don't exist i'm like what did i know as like a 17 year old but
[00:06:11.100 --> 00:06:15.820]   that was my response and she goes no i know i know you know i understand why you think that but i
[00:06:15.820 --> 00:06:21.180]   really think this church is more biblical than anything i've seen so then i started hoping like that it
[00:06:21.180 --> 00:06:26.300]   was true but then i actually thought like i need to rescue her from these people i don't know what's
[00:06:26.300 --> 00:06:31.660]   going on but she's so different um so when i got into berkeley my internal response was oh good i
[00:06:31.660 --> 00:06:37.340]   can go check out her church because i really really want it to be true so then i was guarded but i came
[00:06:37.340 --> 00:06:43.260]   in as a freshman and then um i was kind of freaked out by all the lights and the fog fog machine at the
[00:06:43.260 --> 00:06:49.740]   welcome night i was like this is too well done like they're a little bit too like excellent i'm not sure
[00:06:49.740 --> 00:06:54.780]   are they biblical like i had no it can't be bivocally and excellent
[00:06:54.780 --> 00:07:03.340]   but then but then i heard pastor i'd preach and that was the first time like the bible actually made
[00:07:03.340 --> 00:07:09.100]   sense to me and i was like oh i just want more of this and then um a lot of people because my sister
[00:07:09.100 --> 00:07:14.300]   and i look so similar everyone came up to me as a freshman they're like you must be lois's sister
[00:07:14.300 --> 00:07:20.380]   we've been praying for you i was so freaked out but then yeah so despite that i actually
[00:07:20.380 --> 00:07:26.220]   stayed and then um i wasn't really looking for friends i was kind of you know uh introverted
[00:07:26.220 --> 00:07:31.820]   anti-social but then i did find a group of friends very quickly at our church um and they're all my
[00:07:31.820 --> 00:07:38.700]   friends today still yeah and then i think at the winter retreat freshman year same yeah same winter
[00:07:38.700 --> 00:07:44.460]   retreat when i understood like i never understood sin and i never understood the gospel before then
[00:07:44.460 --> 00:07:50.060]   it was very clear i've never been a christian i've never made that decision myself and then like two
[00:07:50.060 --> 00:07:54.540]   minutes later i was like wait a second i can make that decision now so it was a very clear decision for
[00:07:54.540 --> 00:08:01.900]   me and um it wasn't that dramatic i just repented of my sins and um confessed and yeah after that like
[00:08:01.900 --> 00:08:07.660]   i think i just had so much freedom because so much of my sin was about deception and then after that
[00:08:07.660 --> 00:08:12.700]   like after everything yeah came out then i was kind of free to like live life for the first time so
[00:08:12.700 --> 00:08:17.420]   yeah i think i actually really became christian in college maybe for the benefit of those who don't
