
[00:00:00.000 --> 00:00:02.080]   Go first, then.
[00:00:02.080 --> 00:00:03.860]   Nope.
[00:00:03.860 --> 00:00:09.000]   All right, so I've been thinking a lot about Q&A evals,
[00:00:09.000 --> 00:00:11.620]   questions I'm answering, especially for long context.
[00:00:11.620 --> 00:00:15.320]   So I've gone through maybe about 12, 18 papers.
[00:00:15.320 --> 00:00:19.080]   I wanted to share with you what I thought
[00:00:19.080 --> 00:00:21.240]   was really good from these papers as well as some
[00:00:21.240 --> 00:00:23.620]   of the key highlights and how I thought about it.
[00:00:23.620 --> 00:00:26.500]   I think first we'll start with narrative Q&A.
[00:00:26.500 --> 00:00:27.920]   And don't worry, I will actually try
[00:00:27.920 --> 00:00:30.920]   to extract all the links for these five papers
[00:00:30.920 --> 00:00:32.020]   and I'll share it.
[00:00:32.020 --> 00:00:34.040]   So don't try to look for it, just focus
[00:00:34.040 --> 00:00:37.460]   on what was important in here.
[00:00:37.460 --> 00:00:40.400]   And I can't monitor the chat, so yeah.
[00:00:40.400 --> 00:00:41.780]   Just stop me anytime.
[00:00:41.780 --> 00:00:43.400]   So this is the first paper.
[00:00:43.400 --> 00:00:47.720]   So you might think, Eugene, it's from 2017.
[00:00:47.720 --> 00:00:48.980]   Is it still relevant?
[00:00:48.980 --> 00:00:52.060]   I personally think this is the OG.
[00:00:52.060 --> 00:00:56.900]   This is a really, really good paper from DeepMind.
[00:00:56.900 --> 00:00:57.960]   So let's go through it.
[00:00:57.960 --> 00:01:03.020]   For each paper, we'll talk about the data set, the methodology, and then how it helps.
[00:01:03.020 --> 00:01:06.140]   So this data set consists of stories, right?
[00:01:06.140 --> 00:01:08.860]   So it's both books and movie scripts.
[00:01:08.860 --> 00:01:14.680]   And it's with human written questions based on human abstractive summaries.
[00:01:14.680 --> 00:01:16.420]   So what does this mean?
[00:01:16.420 --> 00:01:20.800]   Essentially, from the book and from the movie, we'll generate an abstract summary.
[00:01:20.800 --> 00:01:25.740]   Then, based on the summary, solely on the summary, we try to generate a question.
[00:01:25.740 --> 00:01:37.900]   What this means is that we do not deliberately generate questions that are just extractive from the text, whereby you just answer solely based on the text.
[00:01:37.900 --> 00:01:46.400]   It requires further thinking because it's based on the abstract and therefore requires evidence across the entire book.
[00:01:47.140 --> 00:01:49.100]   So, for example, here's a question, right?
[00:01:49.100 --> 00:01:51.420]   How is Oscar related to Dana?
[00:01:51.420 --> 00:01:53.260]   The answer is that it's her son.
[00:01:53.260 --> 00:01:54.480]   So here's the summary snippet.
[00:01:54.480 --> 00:01:56.380]   Peter's former girlfriend had a son, Dana.
[00:01:56.380 --> 00:02:00.200]   And then, you know, throughout the book, this is the movie.
[00:02:00.200 --> 00:02:01.520]   That's a good looking kid you got there.
[00:02:01.520 --> 00:02:04.920]   Like, based on this, you have to make the inference that this is the son.
[00:02:04.920 --> 00:02:11.640]   And, you know, they were already thinking about this in 2017, before HIVT could do even anything like this.
[00:02:11.640 --> 00:02:22.500]   So the data set 150, I mean, 1,500 stories from Project Gutenberg and movie scripts, script from the web.
[00:02:24.860 --> 00:02:35.920]   So they ask annotators to provide them with the summaries, essentially what I just mentioned, so that they don't just pick localized questions that can be identified from the local question itself.
[00:02:35.920 --> 00:02:39.660]   There are a few things here that we don't really like, but couldn't, can't be helped.
[00:02:39.660 --> 00:02:41.620]   This was probably stay out of the eye at that point in time.
[00:02:41.620 --> 00:02:43.460]   They use blue, meaty, and rouge metric.
[00:02:43.460 --> 00:02:47.300]   And they provide two golden references for each of these.
[00:02:47.300 --> 00:02:53.320]   We'll see that this actually doesn't work very well in the future papers we go through.
[00:02:53.320 --> 00:02:57.180]   Yeah, so that's the, oh, go, go for it.
[00:02:57.180 --> 00:03:00.120]   Why we don't like these metrics, blue and rouge and stuff?
[00:03:00.120 --> 00:03:01.480]   That's a good question.
[00:03:01.480 --> 00:03:10.060]   What we found is that they don't really correlate well with human judgments of whether an answer is good or not.
[00:03:10.060 --> 00:03:12.800]   Because it's purely engram based.
[00:03:14.080 --> 00:03:14.840]   I see.
[00:03:14.840 --> 00:03:18.680]   So how are you judging whether answers are good or not?
[00:03:18.680 --> 00:03:20.840]   Is it like a factual QA?
[00:03:20.840 --> 00:03:27.640]   Or is it like, you know, this is something that is like the right tone of what I would want an answer to be?
[00:03:27.640 --> 00:03:33.420]   How I think about it is mostly factual, summarization, inferential.
[00:03:33.420 --> 00:03:38.340]   We don't really go into the, I don't really think about the tone or the style.
[00:03:38.680 --> 00:03:45.160]   I think right now, what I think is probably going to be good, there's probably going to be two sets of metrics.
[00:03:45.160 --> 00:03:48.460]   There's going to be reference-free metrics and reference-based.
[00:03:48.460 --> 00:03:49.140]   What does this mean?
[00:03:49.140 --> 00:03:52.960]   Reference-based means that you have a right answer, right?
[00:03:52.960 --> 00:03:56.560]   You have the right answer, and you're just checking to see if it matches the right answer a lot.
[00:03:56.560 --> 00:03:57.820]   I think that's very straightforward.
[00:03:57.820 --> 00:04:03.580]   Reference-free metric is that there may be no right answer, but you just want to check whether it's good enough a lot.
[00:04:03.580 --> 00:04:08.560]   So an example of a reference-based metric is this, right?
[00:04:08.560 --> 00:04:10.440]   How are they related?
[00:04:10.440 --> 00:04:11.040]   It's her son.
