
[00:00:00.280 --> 00:00:13.880]   BRENT JOHNSON: All right.
[00:00:13.880 --> 00:00:15.080]   Good morning, everyone.
[00:00:15.080 --> 00:00:17.640]   I'm here to talk to you about modular and accelerating
[00:00:17.640 --> 00:00:19.880]   the pace of AI.
[00:00:19.880 --> 00:00:21.280]   You know what Gen AI is.
[00:00:21.280 --> 00:00:22.760]   I'm not going to tell you all about this.
[00:00:22.760 --> 00:00:24.200]   Let me tell you one of the things I think
[00:00:24.200 --> 00:00:26.160]   is really cool about it and very different
[00:00:26.160 --> 00:00:28.160]   than certain other technologies is
[00:00:28.160 --> 00:00:30.300]   that it's super easy to deploy.
[00:00:30.300 --> 00:00:32.120]   There's lots of great endpoints out there.
[00:00:32.120 --> 00:00:33.680]   There's a lot of good implementations,
[00:00:33.680 --> 00:00:37.000]   a lot of ways to make it super easy to build a prototype
[00:00:37.000 --> 00:00:39.640]   and get going very quickly.
[00:00:39.640 --> 00:00:43.080]   But despite all the availability of all these different endpoints,
[00:00:43.080 --> 00:00:45.320]   sometimes you do have other needs.
[00:00:45.320 --> 00:00:48.840]   Sometimes you might want to go and control your data
[00:00:48.840 --> 00:00:50.920]   instead of sending your data to somebody else.
[00:00:50.920 --> 00:00:53.980]   Sometimes you might want to integrate it into your own security
[00:00:53.980 --> 00:00:57.260]   because you've got your critical company data in your model,
[00:00:57.260 --> 00:00:59.300]   and you don't want to fine tune it somewhere else.
[00:00:59.300 --> 00:01:01.100]   Sometimes you want to customize the model.
[00:01:01.100 --> 00:01:02.780]   There's research happening all the time.
[00:01:02.780 --> 00:01:05.580]   A lot of things in building proprietary models
[00:01:05.580 --> 00:01:07.660]   that work best for your use cases
[00:01:07.660 --> 00:01:09.860]   can make your applications even better.
[00:01:09.860 --> 00:01:12.220]   Of course, the inference endpoints are expensive,
[00:01:12.220 --> 00:01:14.020]   and so sometimes you want to save money.
[00:01:14.020 --> 00:01:16.300]   Sometimes there's hardware out there that's really interesting,
[00:01:16.300 --> 00:01:19.460]   and you want to explore out from the mainstream,
[00:01:19.460 --> 00:01:21.340]   and you want to go do this.
[00:01:21.340 --> 00:01:24.280]   And if you care about any of these things, what you need to do
[00:01:24.280 --> 00:01:27.400]   is you need to go beyond the endpoint.
[00:01:27.400 --> 00:01:29.120]   And so how do you do that?
[00:01:29.120 --> 00:01:32.600]   Well, if you have-- many of you have explored this, I'm sure.
[00:01:32.600 --> 00:01:33.800]   The answers shifted.
[00:01:33.800 --> 00:01:36.240]   It used to be that we had things like PyTorch and TensorFlow
[00:01:36.240 --> 00:01:37.680]   and CAFE and things like this.
[00:01:37.680 --> 00:01:40.800]   But as inference became more important, the world shifted.
[00:01:40.800 --> 00:01:43.760]   First, we got Onyx, TensorRT, things like this.
[00:01:43.760 --> 00:01:47.600]   And today, we have an explosion of these different frameworks,
[00:01:47.600 --> 00:01:50.720]   some of which are specific to one model.
[00:01:50.720 --> 00:01:52.440]   And that's cool if you care about that one model.
[00:01:52.440 --> 00:01:54.200]   But if you have many different things you want to deploy
