
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:09.520]   - Hi, me again.
[00:00:09.520 --> 00:00:12.960]   I have some of the easiest units in the course here
[00:00:12.960 --> 00:00:14.200]   because I think these are things
[00:00:14.200 --> 00:00:16.240]   that most of us agree upon.
[00:00:16.240 --> 00:00:17.440]   But I'm gonna talk a little bit
[00:00:17.440 --> 00:00:19.760]   about the merits of diversification.
[00:00:19.760 --> 00:00:21.520]   I think most of us fully understand
[00:00:21.520 --> 00:00:24.480]   the value of asset class diversification,
[00:00:24.480 --> 00:00:26.200]   intra-asset class diversification.
[00:00:26.200 --> 00:00:28.000]   But I'm gonna dive into that a little bit.
[00:00:28.000 --> 00:00:30.560]   And I'm also gonna talk about time period diversification,
[00:00:30.560 --> 00:00:33.600]   which I touched on in my earlier comments
[00:00:33.600 --> 00:00:37.520]   about dollar cost averaging.
[00:00:37.520 --> 00:00:40.520]   So Jack Bogle, once again, said it really well
[00:00:40.520 --> 00:00:42.520]   about the merits of diversification.
[00:00:42.520 --> 00:00:44.800]   He said, "Absolutely no one knows
[00:00:44.800 --> 00:00:47.020]   "what the stock market is going to do tomorrow,
[00:00:47.020 --> 00:00:48.540]   "let alone next year,
[00:00:48.540 --> 00:00:51.680]   "nor which sector, style or region will lead
[00:00:51.680 --> 00:00:53.480]   "and which will lag behind.
[00:00:53.480 --> 00:00:55.400]   "Given this absolute uncertainty,"
[00:00:55.400 --> 00:00:57.840]   and I can just hear it in his booming voice,
[00:00:57.840 --> 00:00:59.440]   "the most logical strategy
[00:00:59.440 --> 00:01:02.060]   "is to invest as broadly as possible."
[00:01:02.060 --> 00:01:05.960]   Nobel Laureate Harry Markowitz said a version
[00:01:05.960 --> 00:01:06.960]   of the same thing.
[00:01:06.960 --> 00:01:10.640]   Markowitz, of course, was the path-breaking
[00:01:10.640 --> 00:01:14.840]   researcher in modern portfolio theory.
[00:01:14.840 --> 00:01:16.940]   He said of diversification,
[00:01:16.940 --> 00:01:19.060]   "A good portfolio is more than a long list
[00:01:19.060 --> 00:01:20.720]   "of good stocks and bonds.
[00:01:20.720 --> 00:01:23.380]   "It is a balanced whole providing the investor
[00:01:23.380 --> 00:01:25.660]   "with protections and opportunities
[00:01:25.660 --> 00:01:28.920]   "with respect to a wide range of contingencies."
[00:01:28.920 --> 00:01:32.440]   So both Bogle and Markowitz said here
[00:01:32.440 --> 00:01:35.560]   that there's so much that we don't know about the future.
[00:01:35.560 --> 00:01:38.240]   We don't know what the next catastrophe
[00:01:38.240 --> 00:01:40.840]   or wonderful thing to come along might be.
[00:01:40.840 --> 00:01:45.440]   And so the best idea is to invest with humility,
[00:01:45.440 --> 00:01:49.460]   invest with a sense that we can't predict the future,
[00:01:49.460 --> 00:01:53.240]   so the best way to go is to build a portfolio
[00:01:53.240 --> 00:01:56.860]   given our time horizon that helps set us up
[00:01:56.860 --> 00:02:01.660]   for reasonable returns regardless of what happens.
[00:02:01.660 --> 00:02:03.960]   So the key benefits of diversification
[00:02:03.960 --> 00:02:05.680]   I'll just quickly outline.
[00:02:05.680 --> 00:02:08.860]   One is that it helps ensure that any given point in time,
[00:02:08.860 --> 00:02:11.520]   something, anything in your portfolio
[00:02:11.520 --> 00:02:13.560]   is performing reasonably well.
[00:02:13.560 --> 00:02:16.780]   In 2022, unfortunately, that's a really short list
[00:02:16.780 --> 00:02:20.960]   of like cash, not great even on an inflation-adjusted basis,
