
[00:00:00.000 --> 00:00:14.080]   Thanks for me. Thanks for me, Gary. So I think most people are probably familiar with
[00:00:14.080 --> 00:00:23.360]   Repli and what they do. You guys launched V2 of Repli Agent six months ago. Two months ago.
[00:00:23.360 --> 00:00:33.280]   And I heard nothing but fantastic things about it. So if people haven't tried out Repli Agent
[00:00:33.280 --> 00:00:39.200]   in the last two months, what is that? What is different? Why did they try it out?
[00:00:39.200 --> 00:00:46.000]   I think the shortest possible summary is autonomy. The level of autonomy, which is good to be one.
[00:00:46.000 --> 00:00:53.360]   If you tried V1, it started last year. You know that it was working out on .
[00:00:53.360 --> 00:00:58.400]   And right now, it's not a common way to see that it was spent years. And what I mean, what I say,
[00:00:58.400 --> 00:01:03.520]   about running is not spinning the wheels, rather doing useful work and accomplishing what user wants.
[00:01:04.400 --> 00:01:09.760]   And it took a lot of re-adventing and also testing new models that are coming out.
[00:01:09.760 --> 00:01:14.640]   And things we learned, to be honest, like shipping things in relation to digital technology.
[00:01:14.640 --> 00:01:18.800]   I think we've got a lot of things to engage in the world value in these months.
[00:01:18.800 --> 00:01:21.360]   Are you able to share any of those pieces of this?
[00:01:21.360 --> 00:01:27.440]   Yeah. Where does it start from? I would say I usually have two pillars, which by the way
[00:01:27.440 --> 00:01:33.840]   I'm trying to reiterate what you just explained earlier. On one end, investing early in evaluations,
[00:01:33.840 --> 00:01:39.200]   is extremely important device, especially the more your agent becomes advanced, the more you
[00:01:39.200 --> 00:01:45.680]   can have an idea for introducing progressions or automated products. And the other wise observability,
[00:01:45.680 --> 00:01:51.440]   we can go deeply there. As you know, we use LikesMeet pretty thoroughly. We also use another
[00:01:51.440 --> 00:01:57.120]   set of tools. I think we're all learning as a few top loops in the V2M agents. It's not really
[00:01:57.120 --> 00:02:02.480]   safe, but I may want to talk to other people in the past, but I guess...
[00:02:02.480 --> 00:02:09.120]   One of the things that I'd love to hear more about, we did a separate fireside chat in December,
[00:02:09.120 --> 00:02:14.560]   and we talked about the human in the loop experience and how that was important at the time. Now you're
[00:02:14.560 --> 00:02:19.920]   saying these agents are more common. How do you think about that? Has that changed?
[00:02:19.920 --> 00:02:21.920]   Or is that the way?
[00:02:21.920 --> 00:02:26.160]   Yeah, you're still talking about this constant action between wanting to do the human in the loop,
[00:02:26.160 --> 00:02:31.360]   so that you can break the genetic flow and make sure that in particular sideways, the human can
[00:02:31.360 --> 00:02:37.280]   bring it back on trucks. At the same time, what we're saying from our users is that when the agent is
[00:02:37.280 --> 00:02:44.960]   actually working correctly, they don't want to be bothered, they just want to get things done. The more we
[00:02:44.960 --> 00:02:51.280]   can get done, it maybe takes a week for users to get used to that, and then they just want more. So, I think the
[00:02:51.280 --> 00:02:58.240]   strategy that we're following at the moment is, we try to move forward with other platforms, where a
[00:02:58.240 --> 00:03:04.320]   mobile app, for instance, obviously allows you to bring back the user to the connection. But at the same time,
[00:03:04.320 --> 00:03:09.360]   you know, there is always a chat, where you can ask the agent to stop, you can ask it to do a different
[00:03:09.360 --> 00:03:16.560]   work, even while it's having to work. So, it depends on the user profile. Some users have to be more
[00:03:16.560 --> 00:03:21.920]   trustworthy, and they have to deliver the agency to the agent, and some users are having more hands-on,
[00:03:21.920 --> 00:03:27.920]   and, you know, try to get a product that makes all of them active. But, I think the role we are all going
[00:03:27.920 --> 00:03:33.920]   towards, I think that would be interesting. On the, on the topic of, kind of, like, users,
[00:03:33.920 --> 00:03:40.880]   how, how are people, kind of, like, using Reply? What types of things are they building? What, like, what are their
[00:03:40.880 --> 00:03:46.960]   backgrounds? Who are the, the users that you're going to determine? Yeah, so, uh, starting from early
[00:03:46.960 --> 00:03:52.880]   February, we, I mean, over three years or so, everyone can use, you know, Reply, just spinning out of town,
[00:03:52.880 --> 00:03:57.920]   and we haven't got to think about the one-event application was per month. So, that's what I was
[00:03:57.920 --> 00:04:07.520]   here, that we should be. Um, a lot of them are, that's how the agents can do it. And, I think, the same pie that we got, you know, when we were
[00:04:07.520 --> 00:04:11.760]   younger, we brought our first piece of clothing, we actually see the money, that's what a lot of
[00:04:11.760 --> 00:04:16.640]   people are chasing the first time. Like, realizing that you can actually build software, even without
[00:04:16.640 --> 00:04:22.160]   learning and improving the ground. At the same time, some of them get hooked up, and they realize, oh,
[00:04:22.160 --> 00:04:27.440]   I can build what I need for my business, I can build something that I need at work. And, and that's when
[00:04:27.440 --> 00:04:32.000]   they start to work on much-conditioned applications. So, the, I think, one of the key
[00:04:32.000 --> 00:04:37.840]   differences of our product is the fact that it's not used mostly to create simple, like, landing pages
[00:04:37.840 --> 00:04:44.080]   or prototypes, but rather people find value on very long projects. Uh, I see people spending hundreds
[00:04:44.080 --> 00:04:49.200]   of hours on a single project in the revenue page, running, absolutely no answer to it, just making
[00:04:49.200 --> 00:04:54.640]   progress with the agent. That is, first of all, a great technical challenge, like this, because it makes
[00:04:54.640 --> 00:05:00.560]   things much harder for several different reasons. And, people are spending so much time, they are usually
[00:05:00.560 --> 00:05:06.000]   either building, uh, internal tools in companies. There's something I'm getting excited about,
[00:05:06.000 --> 00:05:12.880]   there's this concept of abandoning SaaS, the program comes about, the idea that, why would I spend
[00:05:12.880 --> 00:05:18.320]   seven figures buying an expensive SaaS when I need only two t-shirts? I'm going to rather rebuild it
