
[00:00:00.000 --> 00:00:05.480]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:00:05.480 --> 00:00:13.540]   Whether you're making a traditional roasted turkey or spicy turkey tacos, your go-to shrimp cocktail, or your first Cajun risotto,
[00:00:13.540 --> 00:00:19.760]   Ralph's has all the freshest ingredients to embrace your traditions. Ralph's fresh for everyone.
[00:00:19.760 --> 00:00:23.000]   We've locked in low prices to help you save big storewide.
[00:00:23.000 --> 00:00:29.460]   Look for the locked in low prices tags and enjoy extra savings throughout the store. Ralph's fresh for everyone.
[00:00:29.780 --> 00:00:33.240]   Today on the show, we're gonna take a history class with a teacher named Brett.
[00:00:33.240 --> 00:00:42.220]   He's gonna give us a history of schooling and the school system so that we can have some context to make
[00:00:42.220 --> 00:00:48.380]   intelligently radical, or radically intelligent decisions around education.
[00:00:48.380 --> 00:01:04.380]   [Music]
[00:01:04.380 --> 00:01:11.820]   Welcome to the Radical Personal Finance Podcast. My name is Joshua Sheets and today is Monday, October 27, 2014.
[00:01:11.820 --> 00:01:14.460]   Today we're gonna talk about education and
[00:01:15.260 --> 00:01:21.220]   specifically, I'm gonna give you some valuable context and information that you may not have ever been exposed to,
[00:01:21.220 --> 00:01:27.740]   which I think will help you and give you a higher degree of confidence to make decisions
[00:01:27.740 --> 00:01:34.560]   about the cost of education to radically improve your financial plan.
[00:01:34.560 --> 00:01:38.340]   [Music]
[00:01:38.340 --> 00:01:40.340]   Today's show is gonna be a little bit different and
[00:01:40.780 --> 00:01:47.340]   this is part of a series that I'm doing on education. And this series is probably going to be very unique in
[00:01:47.340 --> 00:01:51.340]   terms of the context of how to pay for college. That's ultimately where we're heading.
[00:01:51.340 --> 00:01:54.140]   But when I sat down to kind of create this series,
[00:01:54.140 --> 00:01:57.820]   I could have easily just sat down and said, "Let me talk to you about how a 529 plan works,
[00:01:57.820 --> 00:02:02.340]   and here's what the prepaid tuition program is, and here's what states have the lowest cost, you know,
[00:02:02.340 --> 00:02:07.580]   contribution program, blah, blah, blah, blah. Go online and Google it. You can find it." And I'll do that.
[00:02:07.580 --> 00:02:10.740]   I really will. But I
[00:02:10.740 --> 00:02:16.260]   wanted to give you a little bit of context that I think will help you to make different decisions.
[00:02:16.260 --> 00:02:19.120]   But in order to do that, I really struggled with how to do it.
