
[00:00:00.000 --> 00:00:03.080]   (projector whirring)
[00:00:03.080 --> 00:00:18.500]   (upbeat music)
[00:00:18.500 --> 00:00:22.100]   - You know it's real when you edit it.
[00:00:22.100 --> 00:00:25.160]   - We're good? - Yeah, we're good.
[00:00:25.160 --> 00:00:27.880]   - Welcome to Portfolio Rescue.
[00:00:27.880 --> 00:00:30.860]   Usually I'm 750 miles away from Duncan.
[00:00:30.860 --> 00:00:32.680]   Today I'm 75 inches away.
[00:00:32.680 --> 00:00:33.560]   We're at the headquarter,
[00:00:33.560 --> 00:00:35.600]   the Compound headquarters in Manhattan.
[00:00:35.600 --> 00:00:37.040]   Nice to be here.
[00:00:37.040 --> 00:00:38.480]   Duncan, how we feeling?
[00:00:38.480 --> 00:00:39.680]   - I'm stressed.
[00:00:39.680 --> 00:00:41.880]   I'm feeling pretty stressed today.
[00:00:41.880 --> 00:00:43.720]   - It's my tea issues, but hey, we're past that.
[00:00:43.720 --> 00:00:45.400]   We're ready to answer some questions.
[00:00:45.400 --> 00:00:48.760]   Remember, our email here, askthecompoundshow@gmail.com.
[00:00:48.760 --> 00:00:49.640]   Let's do it.
[00:00:49.640 --> 00:00:52.400]   - Okay, and in our defense, this is a tight turnaround.
[00:00:52.400 --> 00:00:55.200]   You guys saw from we were doing CNBC with Josh to this,
[00:00:55.200 --> 00:00:57.440]   so we apologize for the delay.
[00:00:57.440 --> 00:00:59.320]   But yeah, we're here now.
[00:00:59.320 --> 00:01:03.080]   So up first today, we have the following.
[00:01:03.080 --> 00:01:05.480]   I like my idea of investing every day.
[00:01:05.480 --> 00:01:07.240]   My OCD took off and I figured out
[00:01:07.240 --> 00:01:11.220]   that investing $25 a day over 260 weekdays in a year
[00:01:11.220 --> 00:01:14.640]   would roughly equal my IRA limit of 6,500.
[00:01:14.640 --> 00:01:16.480]   The investing platform I use allows me
[00:01:16.480 --> 00:01:19.240]   to automate this task over a basket of stocks and ETFs.
[00:01:19.240 --> 00:01:22.480]   My question is, some of my $25 a day investment
[00:01:22.480 --> 00:01:26.700]   equates to only a couple dollars per share/ETF.
[00:01:26.700 --> 00:01:27.840]   Does payment for order flow
[00:01:27.840 --> 00:01:29.880]   negatively impact my smaller trades
[00:01:29.880 --> 00:01:32.880]   more than if I made larger weekly or monthly trades?
[00:01:32.880 --> 00:01:34.840]   Is this impossible to quantify
[00:01:34.840 --> 00:01:36.400]   with fluctuations in the markets?
[00:01:36.400 --> 00:01:37.520]   Should I just take a deep breath
[00:01:37.520 --> 00:01:39.220]   and not be all OCD about it?
[00:01:39.220 --> 00:01:41.160]   - I like the idea here.
[00:01:41.160 --> 00:01:43.760]   So one of the biggest benefits of dollar cost averaging
[00:01:43.760 --> 00:01:45.760]   is just that you're diversifying over time, right?
[00:01:45.760 --> 00:01:47.520]   You avoid that single point of failure
[00:01:47.520 --> 00:01:50.600]   where you take the big lump sum and you put it to work
[00:01:50.600 --> 00:01:52.680]   and it happens to be at an inopportune time.
[00:01:52.680 --> 00:01:54.760]   So I do like the idea of breaking down
[00:01:54.760 --> 00:01:57.740]   the max IRA contributions into various timeframes.
[00:01:57.740 --> 00:01:59.900]   Technically, there's 252 trading days in the year
[00:01:59.900 --> 00:02:01.460]   because of holidays.
[00:02:01.460 --> 00:02:03.260]   So if we're splitting hairs here,
[00:02:03.260 --> 00:02:05.340]   we're talking about $26 a day.
[00:02:05.340 --> 00:02:07.700]   If a man really wants to max out that IRA,
[00:02:07.700 --> 00:02:10.460]   which he does, it sounds like, close enough.
[00:02:10.460 --> 00:02:15.460]   Or you could go, I figured, at $125 a week, $540 a month.
[00:02:15.460 --> 00:02:19.100]   So I think any of those times,
