
[00:00:00.040 --> 00:00:09.480]   ち
[00:00:09.480 --> 00:00:10.840]   que came,,,
[00:00:10.840 --> 00:00:13.320]   present there ir
[00:00:13.320 --> 00:00:26.420]  assen Many He H Or Not Red on 1939in, to serve my. I, I, I, I, I, I, I, I, w, of, de, voyez, property.urez. porte. .. .. way. :. .. is a .. .. ,. ., Ang. cor .. meaning . Ce機. , Gray - show the -
[00:00:26.420 --> 00:00:27.840]   thank uh.иваем a
[00:00:27.840 --> 00:00:28.580]   scap
[00:00:28.680 --> 00:00:30.700]   for
[00:00:30.700 --> 00:00:31.700]   everyone.
[00:00:31.700 --> 00:00:57.320]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in ten years or less. My name is Joshua, I am your host, and today we kick off part one of a five-part series called "You Don't Have to Be Smart to Become Financially Independent, But You Can't Be Stupid." Again, you don't have to be smart to become financially independent.
[00:00:57.320 --> 00:01:25.980]  -
[00:01:26.020 --> 00:01:27.920]   --
[00:01:27.920 --> 00:01:38.780]   أ like don
[00:01:38.780 --> 00:01:54.980]   degree,,,,,, taught temporal 오른 milliseconds pastors pass under and have the posible,s,s,S,G,S,S,S,B,S,S.S.S.S.S. Сер 서� faster vent피 Fel " splitting " her" hurting"bild " drained"acakt" " start" con " B " I'm... equal " squared" tell"'d will" is arzy" I'm at the can't "ρό " chat ' Assessment began hearing " intestines аwas heart… места need a made a that's a liquid play the這oung can't but the locked or關irailty a battles каж Torah didn He anotherounced 빠�ie theres looking wall Wid ever 노kap aDI Cowers the programming continues air WOO made austingget later欸 Markier Jo accept or nhữngacingżyć a applicants e top請 Canal53
[00:01:55.080 --> 00:02:05.260]   divide
[00:02:05.260 --> 00:02:06.160]   in aат
[00:02:06.160 --> 00:02:16.120]   Кар Z F G and one that the and it is a
[00:02:23.300 --> 00:02:31.120]   den
[00:02:31.120 --> 00:02:33.300]   le just
[00:02:33.300 --> 00:02:38.100]  elet # Knowing, I have a fight. And, play. And, dran. unreince,结, remembers,ーン, thing, hut, occupy, skate,,
