
[00:00:00.040 --> 00:00:10.540]   kill
[00:00:57.440 --> 00:00:58.740]   and I'll see you next time.
[00:00:58.740 --> 00:00:58.740]   The show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for a financial free market.
[00:00:58.740 --> 00:00:58.740]   The show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for a financial free market.
[00:00:58.740 --> 00:00:58.740]   The show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for a financial free market.
[00:00:58.740 --> 00:00:58.740]   The show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for a financial free market.
[00:00:58.740 --> 00:00:58.740]   The show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for a financial free market.
[00:01:28.760 --> 00:01:28.760]   I'm not sure if you know what I'm talking about.
[00:01:28.760 --> 00:01:28.760]   My name is Joshua. I am your host and today it's a live Q&A show. These shows have been AWOL for about a month and a half as I have been dealing with a colicky baby and helping my wife and traveling quite a bit and kind of all over the place. But I'm excited to bring them back and hopefully they'll be back for good. My best of intentions are that each Friday I do a live Q&A. If you're new to the show, I limit these shows to old patrons as well.
[00:01:28.760 --> 00:01:58.780]  , and I'm excited to bring them back and hopefully they'll be back for good.
[00:01:58.780 --> 00:01:58.780]   I'm excited to bring them back and hopefully they'll be back for good.
[00:01:58.780 --> 00:01:58.780]   I'm excited to bring them back and hopefully they'll be back for good.
[00:01:58.780 --> 00:01:58.780]   I'm excited to bring them back and hopefully they'll be back for good.
[00:01:58.780 --> 00:01:58.780]   I'm excited to bring them back and hopefully they'll be back for good.
[00:01:58.780 --> 00:01:58.780]   I'm excited to bring them back and hopefully they'll be back for good.
[00:01:58.780 --> 00:01:58.780]   I'm excited to bring them back and hopefully they'll be back for good.
[00:01:58.800 --> 00:02:28.800]   I'm excited to bring them back and hopefully they'll be back for good.
[00:02:28.800 --> 00:02:28.800]   I'm excited to bring them back and hopefully they'll be back for good.
[00:02:28.800 --> 00:02:28.800]   I'm excited to bring them back and hopefully they'll be back for good.
[00:02:28.800 --> 00:02:28.800]   I'm excited to bring them back and hopefully they'll be back for good.
[00:02:28.800 --> 00:02:28.800]   I'm excited to bring them back and hopefully they'll be back for good.
[00:02:28.800 --> 00:02:28.800]   I'm excited to bring them back and hopefully they'll be back for good.
[00:02:28.800 --> 00:02:28.800]   I'm excited to bring them back and hopefully they'll be back for good.
[00:02:28.800 --> 00:02:28.800]   I'm excited to bring them back and hopefully they'll be back for good.
[00:02:28.800 --> 00:02:28.800]   I'm excited to bring them back and hopefully they'll be back for good.
[00:02:28.800 --> 00:02:28.800]   I'm excited to bring them back and hopefully they'll be back for good.
[00:02:28.800 --> 00:02:28.800]   I'm excited to bring them back and hopefully they'll be back for good.
[00:02:28.800 --> 00:02:28.800]   I'm excited to bring them back and hopefully they'll be back for good.
[00:02:28.840 --> 00:02:58.820]  ,
[00:02:58.820 --> 00:02:58.820]   I'm excited to bring them back and hopefully they'll be back for good.
[00:02:58.820 --> 00:02:58.820]   I'm excited to bring them back and hopefully they'll be back for good.
[00:02:58.820 --> 00:02:58.820]   I'm excited to bring them back and hopefully they'll be back for good.
[00:02:58.820 --> 00:02:58.820]   I'm excited to bring them back and hopefully they'll be back for good.
[00:02:58.820 --> 00:02:58.820]   I'm excited to bring them back and hopefully they'll be back for good.
[00:02:58.820 --> 00:02:58.820]   I'm excited to bring them back and hopefully they'll be back for good.
[00:02:58.820 --> 00:02:58.820]   I'm excited to bring them back and hopefully they'll be back for good.
[00:02:58.820 --> 00:02:58.820]   I'm excited to bring them back and hopefully they'll be back for good.
[00:02:58.820 --> 00:02:58.820]   I'm excited to bring them back and hopefully they'll be back for good.
[00:02:58.840 --> 00:03:28.840]   I'm excited to bring them back and hopefully they'll be back for good.
[00:03:28.840 --> 00:03:28.840]   I'm excited to bring them back and hopefully they'll be back for good.
[00:03:28.840 --> 00:03:28.840]   I'm excited to bring them back and hopefully they'll be back for good.
[00:03:28.840 --> 00:03:28.840]   I'm excited to bring them back and hopefully they'll be back for good.
[00:03:28.840 --> 00:03:28.840]   I'm excited to bring them back and hopefully they'll be back for good.
[00:03:28.840 --> 00:03:28.840]   I'm excited to bring them back and hopefully they'll be back for good.
[00:03:28.840 --> 00:03:28.840]   I'm excited to bring them back and hopefully they'll be back for good.
[00:03:28.840 --> 00:03:28.840]   I'm excited to bring them back and hopefully they'll be back for good.
[00:03:28.840 --> 00:03:28.840]   I'm excited to bring them back and hopefully they'll be back for good.
[00:03:28.840 --> 00:03:28.840]   I'm excited to bring them back and hopefully they'll be back for good.
[00:03:28.840 --> 00:03:28.840]   I'm excited to bring them back and hopefully they'll be back for good.
[00:03:28.840 --> 00:03:28.840]   I'm excited to bring them back and hopefully they'll be back for good.
[00:03:28.860 --> 00:03:58.860]  ,
[00:03:58.860 --> 00:03:58.860]   I'm excited to bring them back and hopefully they'll be back for good.
[00:03:58.860 --> 00:03:58.860]   I'm excited to bring them back and hopefully they'll be back for good.
[00:03:58.860 --> 00:03:58.860]   I'm excited to bring them back and hopefully they'll be back for good.
[00:03:58.860 --> 00:03:58.860]   I'm excited to bring them back and hopefully they'll be back for good.
[00:03:58.860 --> 00:03:58.860]   I'm excited to bring them back and hopefully they'll be back for good.
[00:03:58.860 --> 00:03:58.860]   I'm excited to bring them back and hopefully they'll be back for good.
[00:03:58.860 --> 00:03:58.860]   I'm excited to bring them back and hopefully they'll be back for good.
[00:03:58.860 --> 00:04:28.880]  ,
