
[00:00:00.000 --> 00:00:18.320]   Hello, everyone. Welcome to our talk. My name is Atita, and I work as a solution architect
[00:00:18.320 --> 00:00:24.540]   at Quadrant, and together with me, I have Deanna. I'm Deanna Emery, and I'm a founding
[00:00:24.540 --> 00:00:29.160]   AI researcher at Quotient AI. Cool. So we would be talking about navigating
[00:00:29.160 --> 00:00:35.020]   RAG optimization with an evaluation-driven compass. So I think the track is about RAG,
[00:00:35.020 --> 00:00:39.980]   so let's talk and extend what we already know and what we've already seen so far.
[00:00:39.980 --> 00:00:44.420]   So in this talk today, we will be discussing some of the key essential topics for anyone
[00:00:44.420 --> 00:00:50.160]   interested in building or productionizing the most popular implementation of GenerateAVI,
[00:00:50.160 --> 00:00:55.460]   that is RAG, Retrieval Augmented Generation. In simple terms, RAG combines the capabilities
[00:00:55.460 --> 00:01:01.320]   of searching and retrieving through the vast amount of information stored in knowledge
[00:01:01.320 --> 00:01:07.700]   source, usually a vector database. And then we use this information to generate relevant
[00:01:07.700 --> 00:01:13.680]   and coherent responses, leveraging the capabilities of a large language model. We will be talking
[00:01:13.680 --> 00:01:20.280]   through the known challenges of this approach and how can you combat them by adopting an evaluation-based
[00:01:20.280 --> 00:01:27.140]   optimization techniques to get the desired results. So without further ado, let's get started.
[00:01:27.140 --> 00:01:32.960]   So yeah, as simple as it's defined, RAG can be implemented in many different ways, as we
[00:01:32.960 --> 00:01:39.140]   can see on the slide. Apologies for the busy slide, as I wanted to cover all the aspects of how
[00:01:39.140 --> 00:01:45.000]   RAG can be implemented. And we will be starting with the simplest one, the naive RAG. This involves
[00:01:45.000 --> 00:01:51.860]   three key steps. First, we split the documents using the specific chunking strategy. Next, we process
[00:01:51.860 --> 00:01:57.860]   the document embedding and store them into a vector database. For each user query, we then retrieve
[00:01:57.860 --> 00:02:03.640]   the most relevant document chunks based on our retrieval strategy. Finally, we add these retrieved
[00:02:03.640 --> 00:02:10.180]   three chunks to our prompt to generate an answer using a chosen LLM. Advanced versions involve
[00:02:10.180 --> 00:02:17.180]   enhancement to user queries, such as query expansion or rewriting, and post-retrieval treatments like
[00:02:17.180 --> 00:02:27.380]   result re-ranking or fusion. The further advanced version of RAG includes query routing to task-based agents,
[00:02:27.380 --> 00:02:33.240]   and self-improvement modules like TSPI. However, there's one tool that is common in all these
[00:02:33.240 --> 00:02:40.240]   implementations if you notice, no matter if you want to build a naive or agentic RAG, and that is a vector database.
[00:02:40.240 --> 00:02:47.080]   One of the most common use cases for building RAG is for knowledge management. There are aspects like retrieval performance,
[00:02:47.080 --> 00:02:52.240]   scalability to support large data volume, and resource optimization are paramount.
[00:02:52.240 --> 00:03:02.500]   Speaking of vector database, Quadrant is open source vector search database built on Rust, and is purpose-built to support your
[00:03:02.500 --> 00:03:10.740]   Generative AI applications built on large scale of data. If you haven't already checked out, please do check out.
[00:03:10.740 --> 00:03:17.100]   So coming back to our topic, it is worth to understand and acknowledge the challenges that come along with all the goodness of RAG.
[00:03:17.100 --> 00:03:27.360]   I'm repurposing our naive RAG architecture to highlight common possible issues on each level. After all, the first step to solving any problem is to recognize there is one.
[00:03:27.360 --> 00:03:38.360]   To begin with, during the data processing stage, we could have issues with information missing from our data set, or information that fails to get extracted from our source of information.
[00:03:38.360 --> 00:03:46.620]   This would result in incorrect and incomplete responses. On data ingestion, there is a constant battle to determine the optimum chunking
[00:03:46.620 --> 00:03:55.120]   strategy, along with determining a suitable embedding model that basically understands the specificity and jargons used in your data set.
[00:03:55.120 --> 00:04:04.620]   Information retrieval itself is quite interesting and an ever-evolving field. Having spent 17 years in the space myself, I can probably say that
