
[00:00:00.000 --> 00:00:02.520]   [Silence]
[00:00:02.520 --> 00:00:05.080]   When people drink, no matter who you are,
[00:00:05.080 --> 00:00:06.480]   initially there's that shutting down
[00:00:06.480 --> 00:00:08.500]   of those prefrontal cortical circuits.
[00:00:08.500 --> 00:00:10.280]   There's a gradual shutting down of the circuits
[00:00:10.280 --> 00:00:11.540]   that control memory,
[00:00:11.540 --> 00:00:13.940]   but then people divide into these two bins.
[00:00:13.940 --> 00:00:16.280]   And these two bins are the people who,
[00:00:16.280 --> 00:00:20.160]   after more than a couple of drinks, start to feel sedated.
[00:00:20.160 --> 00:00:22.300]   And the people who, after more than a few drinks,
[00:00:22.300 --> 00:00:24.600]   do not start to feel sedated.
[00:00:24.600 --> 00:00:27.020]   Now, of course, there's going to be differences
[00:00:27.020 --> 00:00:29.340]   created by how quickly people are drinking,
[00:00:29.340 --> 00:00:32.200]   whether or not they're combining different types of alcohol,
[00:00:32.200 --> 00:00:34.120]   the types of alcohol, et cetera.
[00:00:34.120 --> 00:00:36.320]   But in general, that can predict whether or not
[00:00:36.320 --> 00:00:37.680]   you're somebody who has a predisposition
[00:00:37.680 --> 00:00:39.340]   for alcoholism or not.
[00:00:39.340 --> 00:00:42.680]   One also very interesting finding
[00:00:42.680 --> 00:00:45.920]   is that alcohol changes the relationship
[00:00:45.920 --> 00:00:48.360]   between what's called the hypothalamus
[00:00:48.360 --> 00:00:50.980]   and the pituitary gland and the adrenals.
[00:00:50.980 --> 00:00:53.220]   Now, the hypothalamus is a small collection of neurons
[00:00:53.220 --> 00:00:54.800]   about the size of a large gumball
[00:00:54.800 --> 00:00:56.200]   that sits above the roof of your mouth.
[00:00:56.200 --> 00:00:58.020]   And it houses neurons that are responsible
[00:00:58.020 --> 00:01:02.200]   for some incredible aspects of our behavior and our mindset.
[00:01:02.200 --> 00:01:05.440]   Things like rage, things like sex drive,
[00:01:05.440 --> 00:01:07.080]   things like temperature regulation,
[00:01:07.080 --> 00:01:09.120]   very primitive functions,
[00:01:09.120 --> 00:01:11.640]   including appetite, thirst, et cetera.
[00:01:11.640 --> 00:01:13.920]   Alcohol, because it can go anywhere in the brain,
[00:01:13.920 --> 00:01:16.160]   remember, it's water and fat soluble,
[00:01:16.160 --> 00:01:18.360]   has effects on the hypothalamus.
