
[00:00:00.000 --> 00:00:21.000]   I have all.
[00:00:21.000 --> 00:00:29.000]   Yeah, I said now I understand why you're looking up like this.
[00:00:29.000 --> 00:00:37.000]   I will move you down to my level. There we go.
[00:00:37.000 --> 00:00:39.000]   Alrighty Hello everybody.
[00:00:39.000 --> 00:00:45.000]   Hi Wayne, how are you doing good. How are you doing, I feel a little better today.
[00:00:45.000 --> 00:00:58.000]   Yeah, the fever has gone away, I hardly ever get home here anymore because we filled our house with air purifiers, which do a great job but something got past them yesterday and I just.
[00:00:58.000 --> 00:01:13.000]   So now I feel like a bit flat after a day of feeling bad you know the next day you kind of like, yeah, you know, apl will cheer me up in the company of you folks.
[00:01:13.000 --> 00:01:26.000]   Do you have any recommendations on air purifiers I know there's like the Dyson formaldehyde ones and molecule and all this kind of stuff but I haven't seen any do I of course I do.
[00:01:26.000 --> 00:01:29.000]   I'm all about air quality.
[00:01:29.000 --> 00:01:43.000]   So, there's a basically if you Google for like, let me try to think.
[00:01:43.000 --> 00:01:57.000]   That tells you the clean air delivery rate that you'll need basically to get a certain number of air changes per hour, which is a CH.
[00:01:57.000 --> 00:02:16.000]   And like if you aim for, I don't know like five to eight air changes per hour is being pretty good, then you just type in your room size into one of those online CDR calculators clean air delivery rate calculators and it'll tell you what's the idea you need.
[00:02:16.000 --> 00:02:25.000]   I think it's just a case of buying air purifier that has that CIDR and and a HIPAA HP a filter.
[00:02:25.000 --> 00:02:35.000]   It's like, it couldn't be less high tech. It's literally like a piece of woven cloth, which with a fan that blows air through it.
[00:02:35.000 --> 00:02:38.000]   That's what an air purifier is.
[00:02:38.000 --> 00:02:48.000]   So, I got this thing called the, the you it's like a sense like I was interested to know air quality and I discovered the CO2 was way too high just because closed windows and things.
[00:02:48.000 --> 00:03:05.000]   And so, definitely that's easy right you have to ventilate there's no solution, other than scrubbing. Yes, you need it, you need. Yeah, so I, I had, I went through that last year, or the year before with the wildfires in California.
[00:03:05.000 --> 00:03:21.000]   It was up all the windows and everything and, you know, the process I was worried about like oh is that going to be bad and I bought a CO2 monitor and I discovered our CO2 was like 1800, you know when the maximum recommended.
