
[00:00:00.000 --> 00:00:03.080]   (slow hip hop music)
[00:00:03.080 --> 00:00:11.760]   - Man, welcome to another episode of Curious Mike.
[00:00:11.760 --> 00:00:13.960]   I'm here with my guy, Bones.
[00:00:13.960 --> 00:00:14.800]   - My guy, MP STEVE.
[00:00:14.800 --> 00:00:16.920]   - Appreciate you on the podcast, my boy.
[00:00:16.920 --> 00:00:18.400]   - Yo.
[00:00:18.400 --> 00:00:20.520]   - Man, so I remember when you got drafted,
[00:00:20.520 --> 00:00:24.880]   you came in the locker room, said what's up to everybody,
[00:00:24.880 --> 00:00:26.760]   and we clicked, I think.
[00:00:26.760 --> 00:00:29.000]   I really appreciated your authenticity,
[00:00:29.000 --> 00:00:32.080]   and I noticed that just from the jump when we first met.
[00:00:32.080 --> 00:00:33.600]   - Yeah.
[00:00:33.600 --> 00:00:34.880]   - And then you just proved it over and over,
[00:00:34.880 --> 00:00:36.600]   like no matter what's going on,
[00:00:36.600 --> 00:00:38.320]   you're always gonna be Bones.
[00:00:38.320 --> 00:00:40.380]   When you're in the game, it don't matter who's in the game,
[00:00:40.380 --> 00:00:41.480]   you're gonna be Bones.
[00:00:41.480 --> 00:00:43.880]   And I just feel like we clicked,
[00:00:43.880 --> 00:00:46.360]   so I appreciate you hopping on the podcast, my brother.
[00:00:46.360 --> 00:00:47.680]   - Yeah, for sure.
[00:00:47.680 --> 00:00:49.720]   You know, definitely, being drafted by the Nuggets,
[00:00:49.720 --> 00:00:51.800]   it was definitely huge for me, you know.
[00:00:51.800 --> 00:00:54.200]   It was a blessing, you know,
[00:00:54.200 --> 00:00:57.480]   just overcoming what I overcame, you know, in my life.
[00:00:57.480 --> 00:00:59.720]   And then being drafted, 26th pick by the Nuggets,
[00:00:59.720 --> 00:01:01.960]   it was big for me, man, it was everything.
[00:01:01.960 --> 00:01:03.840]   I didn't really know what to expect, you know,
[00:01:03.840 --> 00:01:05.040]   coming to Denver.
[00:01:05.040 --> 00:01:08.400]   I thought it was really cold, but I got on the plane,
[00:01:08.400 --> 00:01:10.280]   and it seemed like the sun was out.
[00:01:10.280 --> 00:01:11.760]   I'm like, damn, this is different.
[00:01:11.760 --> 00:01:13.800]   It seemed like it's hot out.
[00:01:13.800 --> 00:01:14.640]   - Yeah.
[00:01:14.640 --> 00:01:16.880]   - But, you know, the first time I came to the arena,
[00:01:16.880 --> 00:01:18.200]   I think the first person I saw was you
[00:01:18.200 --> 00:01:21.000]   when I walked into the pool room,
[00:01:21.000 --> 00:01:22.280]   and I'm like, what's up, NP?
[00:01:22.280 --> 00:01:24.080]   But we definitely just clicked from there.
[00:01:24.080 --> 00:01:26.320]   You know, Genuine Vibes and Genuine Souls always,
[00:01:26.320 --> 00:01:27.600]   you know, connect with Genuine Souls,
[00:01:27.600 --> 00:01:29.440]   and ever since then, it's just been like a lock, for sure.
[00:01:29.440 --> 00:01:30.280]   - No, for sure.
[00:01:30.280 --> 00:01:32.800]   I remember, bro, like, I realized you were a killer,
[00:01:32.800 --> 00:01:35.040]   and like, it was your rookie season, right?
[00:01:35.040 --> 00:01:36.920]   And I think we were in training camp in San Diego,
[00:01:36.920 --> 00:01:38.680]   and I'll never forget this.
[00:01:38.680 --> 00:01:41.280]   I think I came down and like, hit like a heasy pull-up,
[00:01:41.280 --> 00:01:42.440]   but I think you were on the side,
[00:01:42.440 --> 00:01:44.120]   like, waiting for me to pass it,
[00:01:44.120 --> 00:01:45.280]   and you was like, I hit the shot,
[00:01:45.280 --> 00:01:47.320]   but you were like, Mike, like, I can do that, too.
[00:01:47.320 --> 00:01:50.240]   You can pass the pass, like, okay, like, he's cold.
[00:01:50.240 --> 00:01:53.320]   Like, and this is your rookie season, like,
[00:01:53.320 --> 00:01:55.000]   and you just were so confident, bro.
[00:01:55.000 --> 00:02:00.000]   So, it was like, it was a joy to watch you play,
[00:02:00.000 --> 00:02:01.720]   and like, be your teammate, you know?
[00:02:01.720 --> 00:02:04.200]   And then, so, I think I kind of was hurt
[00:02:04.200 --> 00:02:06.880]   during the time when you,
[00:02:06.880 --> 00:02:08.520]   when they were talking about the trade rumors,
[00:02:08.520 --> 00:02:12.680]   and when you, that's cool, that's his phone?
[00:02:12.680 --> 00:02:15.120]   Yeah, I think I was hurt during the time
[00:02:15.120 --> 00:02:16.280]   the trade rumors came around,
[00:02:16.280 --> 00:02:18.840]   so I really didn't know what happened,
[00:02:18.840 --> 00:02:22.200]   but man, now you're, you end up going to LA,
[00:02:22.200 --> 00:02:23.400]   and I've been tuned in, obviously,
[00:02:23.400 --> 00:02:24.960]   but how has everything been for you over there?
[00:02:24.960 --> 00:02:25.800]   Are you enjoying it?
[00:02:25.800 --> 00:02:26.800]   - Yeah, yeah, it's been lovely, man.
[00:02:26.800 --> 00:02:29.360]   It's been dope, obviously, coming from Denver,
[00:02:29.360 --> 00:02:32.520]   a situation where I thrived in, you know?
[00:02:32.520 --> 00:02:34.560]   I was having fun playing over there, stuff like that,
[00:02:34.560 --> 00:02:37.520]   but I just felt like it just needed a change for me,
[00:02:37.520 --> 00:02:40.320]   needed different scenery, and obviously,
[00:02:40.320 --> 00:02:44.360]   over here in LA, I think it's a beautiful thing for me.
[00:02:44.360 --> 00:02:47.040]   I'm learning under four future Hall of Famers,
[00:02:47.040 --> 00:02:49.840]   just staying ready, staying patient.
[00:02:49.840 --> 00:02:53.020]   Obviously, last year, I came around February time.
[00:02:54.200 --> 00:02:57.000]   You know, it was kind of hard just to learn, you know,
[00:02:57.000 --> 00:03:01.320]   it wasn't hard learning the plays or learning, you know,
[00:03:01.320 --> 00:03:02.760]   I mean, obviously, if you're a Hooper,
[00:03:02.760 --> 00:03:05.240]   you know you're gonna fit in with whatever,
[00:03:05.240 --> 00:03:08.480]   but just having to move from one state to another,
[00:03:08.480 --> 00:03:09.840]   one team to another, you know,
[00:03:09.840 --> 00:03:14.320]   having to learn the new staff, new players,
[00:03:14.320 --> 00:03:17.400]   everybody names, the play calls, it's tough, you know?
[00:03:17.400 --> 00:03:18.760]   And obviously, on top of that,
[00:03:18.760 --> 00:03:20.040]   you're still trying to perform,
[00:03:20.040 --> 00:03:21.880]   and you know, still trying to, you know,
[00:03:21.880 --> 00:03:23.880]   earn that roster spot as well, too,
[00:03:23.880 --> 00:03:24.840]   coming in from another team,
[00:03:24.840 --> 00:03:27.040]   but I feel like I did that,
[00:03:27.040 --> 00:03:28.760]   and obviously, this year, you know,
[00:03:28.760 --> 00:03:30.240]   just playing well off the bat,
[00:03:30.240 --> 00:03:32.280]   and then, you know, a trade happened,
[00:03:32.280 --> 00:03:34.160]   and you know, you just get bumped down
[00:03:34.160 --> 00:03:35.400]   and out of the rotation,
[00:03:35.400 --> 00:03:37.040]   but I feel like it's, you know,
[00:03:37.040 --> 00:03:39.840]   even though it may not look like it's a good thing for me,
[00:03:39.840 --> 00:03:41.080]   I still look at it as a good thing,
[00:03:41.080 --> 00:03:43.680]   'cause I'm still learning under four future Hall of Famers,
[00:03:43.680 --> 00:03:44.840]   and I know my time will come,
[00:03:44.840 --> 00:03:47.360]   so I'm really not, you know, too down on it.
[00:03:47.360 --> 00:03:49.200]   Obviously, I wanna play, but I ain't too down, though.
[00:03:49.200 --> 00:03:50.680]   - Yeah, no, you always smiling,
[00:03:50.680 --> 00:03:52.960]   you always have had a good attitude about everything,
[00:03:52.960 --> 00:03:55.120]   even, you know, when things,
[00:03:55.120 --> 00:03:58.240]   like in Denver, you know, you know how the NBA is.
[00:03:58.240 --> 00:03:59.560]   Even in Denver, when things weren't going good,
[00:03:59.560 --> 00:04:01.360]   you always maintained a smile,
[00:04:01.360 --> 00:04:03.000]   and so I've been checking up on you, even in L.A.,
[00:04:03.000 --> 00:04:05.480]   just because even times last year,
[00:04:05.480 --> 00:04:06.960]   you weren't playing as much as you were supposed to,
[00:04:06.960 --> 00:04:09.200]   or whatever, and now,
[00:04:09.200 --> 00:04:10.600]   but you have always just maintained, like,
[00:04:10.600 --> 00:04:11.800]   the attitude, the good attitude,
[00:04:11.800 --> 00:04:13.560]   and you're young, bro, you're gonna end up,
[00:04:13.560 --> 00:04:14.720]   you're gonna end up doing your thing,
[00:04:14.720 --> 00:04:17.800]   but that leads me to a question, like,
[00:04:17.800 --> 00:04:19.480]   you played so well, you know,
[00:04:19.480 --> 00:04:21.320]   obviously, in the off-season,
[00:04:21.320 --> 00:04:24.280]   you be killing every run, you know,
[00:04:24.280 --> 00:04:26.080]   and you just go, and, you know,
[00:04:26.080 --> 00:04:27.480]   you're like the highlight of the summer,
[00:04:27.480 --> 00:04:29.520]   everybody be looking at the Bones Highlands,
[00:04:29.520 --> 00:04:31.640]   Pro-Am videos, or whatever.
[00:04:31.640 --> 00:04:33.240]   How do you maintain, like,
[00:04:33.240 --> 00:04:35.880]   is the NBA, for people that don't know the NBA,
[00:04:35.880 --> 00:04:38.120]   is it as fun as the summer,
[00:04:38.120 --> 00:04:41.320]   like, is basketball as fun to you in the NBA,
[00:04:41.320 --> 00:04:42.160]   when you're playing, or not?
[00:04:42.160 --> 00:04:43.840]   Like, is it as fun as when you're doing your thing,
[00:04:43.840 --> 00:04:44.800]   in the summertime? - Yeah, I see what you're saying.
[00:04:44.800 --> 00:04:46.800]   That's a great question.
[00:04:46.800 --> 00:04:49.880]   I would say it's kinda different.
[00:04:49.880 --> 00:04:51.960]   You know, by the same time,
[00:04:51.960 --> 00:04:53.880]   I feel like if I had, you know,
[00:04:53.880 --> 00:04:55.920]   the keys, or if I had to, you know,
[00:04:55.920 --> 00:04:57.400]   just go out there and just be yourself,
[00:04:57.400 --> 00:04:59.680]   and, you know, with no leash on you,
[00:04:59.680 --> 00:05:02.560]   no minute thing going on,
[00:05:02.560 --> 00:05:03.800]   I feel like it'd be the same thing
[00:05:03.800 --> 00:05:05.120]   that's going on in the summertime,
[00:05:05.120 --> 00:05:06.960]   but the summertime, you just playing,
[00:05:06.960 --> 00:05:08.240]   you just playing, I feel like
[00:05:08.240 --> 00:05:09.840]   everybody's so in tune with me,
[00:05:09.840 --> 00:05:11.520]   you know, they love seeing me play,
[00:05:11.520 --> 00:05:13.000]   and just be free, and you know,
[00:05:13.000 --> 00:05:14.880]   they be like, man, if he just had, you know,
[00:05:14.880 --> 00:05:16.360]   the leash off of him, if he just go,
[00:05:16.360 --> 00:05:17.200]   he'd be-- - Everybody knows.
[00:05:17.200 --> 00:05:18.360]   - Yeah, everybody know, you know,
[00:05:18.360 --> 00:05:19.800]   but, you know, at the same time,
[00:05:19.800 --> 00:05:21.240]   I'm just waiting my turn, waiting patiently,
[00:05:21.240 --> 00:05:23.800]   but, man, the summertime, you know,
[00:05:23.800 --> 00:05:25.280]   who's be so fun, 'cause I could just really
[00:05:25.280 --> 00:05:28.120]   just go out there and just be me, you know?
[00:05:28.120 --> 00:05:29.560]   Even though I'd be me in the league, too,
[00:05:29.560 --> 00:05:31.880]   but it's more in spurt, like,
[00:05:31.880 --> 00:05:33.720]   it's like the whole time, the whole game,
[00:05:33.720 --> 00:05:34.880]   I'm just wilding. - Oh, yeah, you born
[00:05:34.880 --> 00:05:36.120]   in somebody's head.
[00:05:36.120 --> 00:05:37.800]   - I'm just wilding.
[00:05:37.800 --> 00:05:40.400]   - Did you always, like, okay, so,
[00:05:40.400 --> 00:05:42.640]   obviously, nowadays, a lot of people
[00:05:42.640 --> 00:05:44.960]   grow up with trainers, and they grow up with,
[00:05:44.960 --> 00:05:46.440]   you know, they go through drills.
[00:05:46.440 --> 00:05:50.200]   Your game is so unique, because the way you grew up,
[00:05:50.200 --> 00:05:52.600]   where you grew up, hooping, you know, on a park.
[00:05:52.600 --> 00:05:56.000]   How did that, because most, like,
[00:05:56.000 --> 00:05:58.000]   hoopers that grow up that way don't make it to the NBA.
[00:05:58.000 --> 00:06:00.360]   They don't know how to defend to structure and all that.
[00:06:00.360 --> 00:06:02.360]   How did you kind of grow up, and how did your game,
[00:06:02.360 --> 00:06:04.240]   like, how is it the way it is?
[00:06:04.240 --> 00:06:06.160]   Because the way you handle the ball is so unique,
[00:06:06.160 --> 00:06:08.600]   the way you, you know, the showtime,
