
[00:00:00.040 --> 00:00:10.680]   test
[00:02:52.680 --> 00:02:53.920]   Frugality is not optional. You must be frugal in order to become wealthy. Let me explain why. No matter how much you earn, if you are not frugal, you won't have any money left.
[00:03:53.980 --> 00:04:23.980]   not frugal purchase even though it doesn't look objectively like an inexpensive frugal home in my experience it's not uncommon to find young working couples that have a household income of perhaps seventy five eighty hundred thousand dollars it's not uncommon to find young couples like this spending two hundred two hundred and fifty to three hundred thousand dollars purchasing a home at least where I'm from here in South Florida it is not unusual this is not uncommon and
[00:04:23.980 --> 00:04:23.980]   it is not uncommon to find young couples like this spending two hundred two hundred and fifty to three hundred thousand dollars purchasing a home at least where I'm from here in South Florida it is not unusual this is not uncommon and
[00:04:23.980 --> 00:04:23.980]   it is not uncommon to find young couples like this spending two hundred two hundred and fifty to three hundred thousand dollars purchasing a home at least where I'm from here in South Florida it is not unusual this is not uncommon and
[00:04:23.980 --> 00:04:54.000]   a four or one k plan at work and have ten or fifteen thousand dollars they may have saved up a
[00:04:54.000 --> 00:04:54.000]   four or one k plan at work and have ten or fifteen thousand dollars they may have saved up a
[00:04:54.000 --> 00:04:54.000]   four or one k plan at work and have ten or fifteen thousand dollars they may have saved up a
[00:04:54.000 --> 00:04:54.000]   four or one k plan at work and have ten or fifteen thousand dollars they may have saved up a
[00:04:54.000 --> 00:04:54.000]   four or one k plan at work and have ten or fifteen thousand dollars they may have saved up a
[00:04:54.000 --> 00:04:54.000]   four or one k plan at work and have ten or fifteen thousand dollars they may have saved up a
[00:04:54.020 --> 00:05:24.020]   four or one k plan at work and have ten or fifteen thousand dollars they may have saved up a
[00:05:24.020 --> 00:05:24.020]   and have ten or fifteen thousand dollars they may have saved up a
[00:05:24.020 --> 00:05:24.020]   I'm not sure if this is a good thing to do
[00:05:24.020 --> 00:05:24.020]   I'm not sure if this is a good thing to do
[00:05:24.020 --> 00:05:24.020]   I'm not sure if this is a good thing to do
[00:05:24.020 --> 00:05:24.020]   I'm not sure if this is a good thing to do
[00:05:24.020 --> 00:05:24.020]   I'm not sure if this is a good thing to do
