
[00:00:00.000 --> 00:00:20.400]   really excited to be moderating this panel between two of my favorite people working in ai
[00:00:20.400 --> 00:00:26.160]   i'm britney i'm a principal at crv which is an early stage venture capital firm
[00:00:26.160 --> 00:00:31.120]   investing primarily in seed and series a startups chris why don't you give us a little bit about
[00:00:31.120 --> 00:00:36.160]   yourself my name is chris i'm currently the cto of prefect we're a workflow orchestration company
[00:00:36.160 --> 00:00:41.920]   we build a workflow orchestration dev tool and cell and orchestration remote orchestration as a
[00:00:41.920 --> 00:00:48.400]   service a little background so i started kind of my journey into startup land and eventually ai and
[00:00:48.400 --> 00:00:53.920]   data got a phd in math focused on non-convex optimization which i'm sure a lot of people here
[00:00:54.640 --> 00:01:00.960]   into um and then eventually you know data science and then into the kind of dev tool space which is
[00:01:00.960 --> 00:01:08.320]   where i'm at now awesome then brian fill us in on your side i'm brian i lead ai at hex hex is a data
[00:01:08.320 --> 00:01:14.400]   science notebook platform um sort of like the best place to do data science workflows um i was gonna
[00:01:14.400 --> 00:01:19.600]   say i started my journey by getting a math phd but he kind of already took that one um it's kind of
[00:01:19.600 --> 00:01:23.920]   awkward um yeah i've been doing data science and machine learning for about a decade and
[00:01:23.920 --> 00:01:31.760]   yeah currently find myself doing ai as they call it these days awesome so both of you are at relatively
[00:01:31.760 --> 00:01:37.600]   early stage startups and as we all know early stage startups have a number of competing priorities
[00:01:37.600 --> 00:01:44.880]   everything from hiring to fundraising to building products and one might say it would be a lot to kind
[00:01:44.880 --> 00:01:50.640]   of take a moment and just say what is this ai thing what the fuck do we do with this and so i'm
[00:01:50.640 --> 00:01:56.160]   wondering how did you decide that ai was something that you really needed to invest in when you already
[00:01:56.160 --> 00:02:02.400]   had you know established business growing well lots of users lots of customers presumably placing
[00:02:02.400 --> 00:02:06.320]   a lot of demands on your time so chris i would love to hear from you on how you guys thought about
[00:02:06.320 --> 00:02:11.600]   that choice yeah so there are a couple of different dimensions to it for us so we are you know a
[00:02:11.600 --> 00:02:16.560]   workflow orchestration company and our our main user persona are data engineers and data scientists but
[00:02:16.560 --> 00:02:23.600]   there's nothing inherent about our tool that requires you to have that type of use case and so uh one
[00:02:23.600 --> 00:02:29.360]   thing one dimension for us is right we assume that a big component of ai use cases were going to be data
[00:02:29.360 --> 00:02:36.080]   driven right like semantic search or like retrieval summarization these sorts of things so just we wanted to make sure that
[00:02:36.080 --> 00:02:40.640]   you know we had to see to the table to understand how people were productionizing these things and
[00:02:40.640 --> 00:02:45.680]   like were there any new etl considerations when you're you know moving data between maybe vector databases or
[00:02:45.680 --> 00:02:52.480]   something so that was one thing uh another one that uh i think is interesting is when when i look at ai
[00:02:52.480 --> 00:02:59.840]   going into production i see basically a remote api that is expensive brittle and non-deterministic and
[00:02:59.840 --> 00:03:05.360]   that's just the data api to me and so right if we can orchestrate these workflows that are building
[00:03:05.360 --> 00:03:11.040]   applications for data engineers presumably a lot of that's going to translate over and so and i mean
[00:03:11.040 --> 00:03:15.200]   last like you know i'm sure the reason most people are here now is you know it was fun and so we just
[00:03:15.200 --> 00:03:20.960]   wanted to learn in the open so we did end up just kind of creating a new repo uh called marvin that
[00:03:20.960 --> 00:03:27.440]   i think jason mentioned in his last talk um just to kind of keep up you know be incentivized to keep up
[00:03:27.440 --> 00:03:33.120]   and brian you were literally brought on board to hex to focus on this stuff would love to hear more
[00:03:33.120 --> 00:03:39.200]   about how that decision was made and how you've spent your time on it yeah i think a couple things
[00:03:39.200 --> 00:03:46.480]   one is that data science is this unique interface between sort of like like business acumen creativity
[00:03:46.480 --> 00:03:54.080]   and like pretty like difficult sometimes programming and it turns out that like the opportunity to unlock
[00:03:54.080 --> 00:03:59.440]   more creativity and more business acumen as part of that workflow is a really unique opportunity
[00:03:59.440 --> 00:04:05.120]   i think a lot of data people um the favorite part of their job is not remembering that plot lib syntax
[00:04:05.120 --> 00:04:10.880]   and so the opportunity to sort of like take away that tedium is a really exciting place to be also
[00:04:10.880 --> 00:04:17.600]   realistically um any data platform that isn't integrating ai is almost certainly going to be
[00:04:17.600 --> 00:04:22.800]   dooming themselves to the now and sort of it'll be table stakes pretty soon and so i think missing that
[00:04:22.800 --> 00:04:28.960]   opportunity would be pretty criminal yeah i totally agree with that so you decided that
[00:04:28.960 --> 00:04:35.040]   you were going to go ahead and do this you're going to go all in on ai what criteria did you evaluate when
[00:04:35.040 --> 00:04:40.240]   you were determining how you were going to build out these features or products did you optimize for
[00:04:40.800 --> 00:04:45.280]   how quickly you could get to market how hard it would be to build ability to work within your
[00:04:45.280 --> 00:04:50.240]   existing resources what criteria did you consider when you were saying okay this is how we're actually
[00:04:50.240 --> 00:04:56.000]   going to take hold of this thing so for us i guess there's two different angles there's the kind of
[00:04:56.000 --> 00:05:01.280]   just pure open source marvin project not you know it is a product but not one that we sell just one
[00:05:01.280 --> 00:05:07.520]   that we maintain um and then we do have some ai features built into our actual core product and i think
[00:05:07.520 --> 00:05:14.880]   uh they have slightly different success criteria so for marvin it's mainly just um getting a to see
[00:05:14.880 --> 00:05:19.600]   how people are experimenting with llms and just talking to users directly right it just kind of gives us
[00:05:19.600 --> 00:05:24.800]   that avenue and that audience and so that's just been really useful and insightful for us so we just
[00:05:24.800 --> 00:05:29.600]   get on the phone i mean our head of ai gets you know talks to users at least you know a couple times a
[00:05:29.600 --> 00:05:36.640]   day um and then for our core product so one way that i i love to think about dev tools and think about
[00:05:36.640 --> 00:05:42.400]   what we build is uh failure modes so like i like to think of choosing tools for what happens when
[00:05:42.400 --> 00:05:48.480]   they fail can i quickly recover from that failure and understand it and so a lot of our features are
[00:05:48.480 --> 00:05:54.240]   geared towards that sort of kind of discoverability and so for ai it's kind of the same thing it's like
[00:05:54.240 --> 00:05:59.920]   quick error summaries uh shown on the dashboard for quick triage and then measuring success there is
[00:05:59.920 --> 00:06:05.440]   like relatively straightforward right it's like how quickly are users kind of getting to the pages they want
[00:06:05.440 --> 00:06:11.680]   and how quickly are they uh debugging their workflows so like very quantifiable yeah we'd love to hear
[00:06:11.680 --> 00:06:18.800]   from you too yeah my team's charter is relatively simple it's make hex make using hex feel magical
[00:06:18.800 --> 00:06:25.200]   and so ultimately we're constantly thinking about sort of what the user is trying to do in hex during their
[00:06:25.200 --> 00:06:30.640]   data science workflow and making that as low friction as absolutely possible and giving them more enhancement
[00:06:30.640 --> 00:06:36.240]   opportunities so a simple example is i don't know how many times you all have had a very long sql query
[00:06:36.240 --> 00:06:41.040]   that's made up of a bunch of ctes and it's a giant pain in the ass to work with so we build an explode
[00:06:41.040 --> 00:06:45.760]   feature it takes a single sql query breaks it into a bunch of different cells and they're chained together
[00:06:45.760 --> 00:06:51.440]   in our platform this is like such a trivial thing to build but it's something that i've wanted for eight
[00:06:51.440 --> 00:06:57.360]   years like i've done this so many times so annoying and so thinking like that makes it really easy to
[00:06:57.360 --> 00:07:02.480]   make trade-offs in terms of what is important and what we should focus on and so in terms of like
[00:07:02.480 --> 00:07:07.680]   how we think about um yeah like where our positioning is it's really just how do we make things feel
[00:07:07.680 --> 00:07:14.080]   magical and feel smooth and comfortable and how did you reallocate resources beyond you know they
[00:07:14.080 --> 00:07:18.960]   obviously hired you that was a great step in the right direction but what else did you do to actually
[00:07:18.960 --> 00:07:25.040]   get up and running in terms of operationalizing some of this stuff yeah i think we we kept things pretty
[00:07:25.040 --> 00:07:30.080]   slim and we continue to keep things pretty slim um we started with one hacker um he built out a very
[00:07:30.080 --> 00:07:34.720]   simple prototype that seemed like it showed promise and then we started building out the team we scaled the
[00:07:34.720 --> 00:07:39.680]   team to a couple people and we've always remained as slim as possible while building out new features
[00:07:39.680 --> 00:07:45.840]   um these days i have a roadmap long enough for 20 engineers and we continue to stay around five and
[00:07:45.840 --> 00:07:52.320]   that's not an accident basically like ruthless prioritization is definitely an advantage and chris
[00:07:52.320 --> 00:07:58.080]   you guys wound up hiring a guy as well right yeah we hired a great guy his name's adam um so he
[00:07:58.080 --> 00:08:04.000]   definitely owns most of our ai but also right like anyone at the company that wants to participate and so
[00:08:04.000 --> 00:08:09.760]   there was one engineer that got really into it and is a for you know all intents and purposes is like
[00:08:09.760 --> 00:08:15.200]   effectively switched to adam's team and is now doing ai full-time yes you guys are really dedicating
[00:08:15.200 --> 00:08:21.040]   a lot to solving this problem including the hiring of two people and then your side and one on brian's
[00:08:21.040 --> 00:08:26.480]   um so presumably you're going to be looking for a return on that investment so how do you think about
[00:08:26.480 --> 00:08:31.280]   what a successful implementation of an ai-based feature or product looks like
[00:08:32.960 --> 00:08:38.320]   for us i would say that already we've hit that success criterion so now the question is like
[00:08:38.320 --> 00:08:43.600]   further investment or just kind of keep going with the way that we're doing it but uh so big thing
[00:08:43.600 --> 00:08:49.200]   was time to value in the core product that we can just easily see has definitely happened with just
[00:08:49.200 --> 00:08:55.120]   the few sprinkles of ai that we put in so we'll just kind of keep pushing on that um and then kind
[00:08:55.120 --> 00:09:00.480]   of like i said in the beginning just getting involved in those conversations those really early conversations
[00:09:00.480 --> 00:09:06.800]   about companies looking to put ai in production and we've been having those on the regular now so i
[00:09:06.800 --> 00:09:12.560]   would say like already feels like it was well worth the investment what about you guys you obviously just
[00:09:12.560 --> 00:09:17.840]   had a big launch the other day too curious how you thought about success for that yeah once again it's
[00:09:17.840 --> 00:09:24.560]   sort of like how how frequently do our users reach for this tool um ultimately magic is a tool that
[00:09:24.560 --> 00:09:28.720]   we've given to our users to try to make them more efficient and have a better experience using hex
[00:09:28.720 --> 00:09:34.080]   and so if they're constantly interacting with magic if they're using it in every cell and every project
[00:09:34.080 --> 00:09:38.720]   and that's a good sign that we're succeeding and so to make that possible we really have to make sure
[00:09:38.720 --> 00:09:43.920]   that magic has something to help with all parts of our platform but we have a pretty complicated
[00:09:43.920 --> 00:09:51.520]   platform that can do a lot and so finding applications of ai in every single aspect of that platform has been one of our sort of like
[00:09:51.520 --> 00:09:58.560]   you know north stars and very intentionally so to make sure that we're you know making our platform
[00:09:58.560 --> 00:10:05.440]   feel smooth at all times awesome well let's let's move on to the next section we're going to talk about
[00:10:05.440 --> 00:10:10.240]   what how you guys actually built some of these features and products since we're all here at the
[00:10:10.240 --> 00:10:15.520]   ai engineer summit i assume we all have an interest in actually getting stuff done and putting it into
[00:10:15.520 --> 00:10:20.080]   prod so when you were making some of these initial determinations brian how did you guys determine
[00:10:20.080 --> 00:10:26.640]   what to build versus buy yeah so from day one i think the question one of the first questions i
[00:10:26.640 --> 00:10:30.480]   asked when i joined is what they were doing for evaluation and you might say like okay yeah we've
[00:10:30.480 --> 00:10:34.240]   heard a lot about evaluation today but i would like to remind everyone here that that was february
[00:10:35.600 --> 00:10:40.000]   and the reason that i was asking that question already in february is because i've been working
[00:10:40.000 --> 00:10:45.840]   in machine learning for a long time where evaluation sort of like gives you the opportunity to do a good
[00:10:45.840 --> 00:10:51.520]   job and if you've done a poor job of objective framing and done a poor job of evaluation you don't have
[00:10:51.520 --> 00:10:56.640]   much hope and so i think the first thing that we really looked into is evals and back then there was
[00:10:56.640 --> 00:11:04.400]   not 25 companies starting evals um there are now more than 25 but ultimately we made the call to build
[00:11:04.400 --> 00:11:10.400]   um and i'm very confident that that was the right call for a few reasons one eval should be as close
[00:11:10.400 --> 00:11:16.960]   as to production as possible is literally like using prod when possible and so to do that you have to have
[00:11:16.960 --> 00:11:21.840]   very deep hooks into your platform when you're moving at the speed that we try to move that's hard for a
[00:11:21.840 --> 00:11:29.520]   sas company to do on the flip side we chose to not build our own vector database i've been you know
[00:11:29.520 --> 00:11:36.480]   doing semantic search with vectors for six seven years now and i've used open source tools like face
[00:11:36.480 --> 00:11:43.120]   and pine cone back when it was more primitive unfortunately a lot of those tools are very
[00:11:43.120 --> 00:11:48.720]   complicated and so having set up vector databases before i didn't want to go down that journey so we
[00:11:48.720 --> 00:11:55.200]   ended up working with lance db and sort of built a very custom uh implementation of vector retrieval
[00:11:55.200 --> 00:12:02.000]   that really fits our use case that was highly nuanced and highly complicated but it's what we needed to
[00:12:02.000 --> 00:12:09.520]   make our rag pipeline really effective so we spent a lot of effort on that um so ultimately just sort of
[00:12:09.520 --> 00:12:15.200]   where is the complexity worth the the squeeze totally and chris what about you guys how did you do that
[00:12:16.000 --> 00:12:22.080]   so i have a couple of different kind of things that we decided on here and some of which are still
[00:12:22.080 --> 00:12:27.360]   in in the works um vector databases million percent agree with that like we would never build our own
[00:12:27.360 --> 00:12:35.360]   um we haven't had as much need of one i think as hex but we've done a lot with both chroma and with lance
[00:12:35.360 --> 00:12:42.960]   but neither in production yet um so none of those use cases are in prod and so the way that i've the exposure
[00:12:42.960 --> 00:12:48.560]   that i've seen about people actually integrating ai into you know their workflows and things is there's a
[00:12:48.560 --> 00:12:54.160]   lot of experimentation that happens and then you kind of want to get out of that experimental framework
[00:12:54.160 --> 00:12:59.760]   maybe by just looking at all of the prompts that you were using and then just using those directly
[00:12:59.760 --> 00:13:04.640]   yourself with no framework in the middle um and then once you're kind of in that mode like i was saying
[00:13:04.640 --> 00:13:10.560]   before like you're just at the end of the day you're interacting with with an api and there's lots of
[00:13:10.560 --> 00:13:15.920]   tooling for that and so i kind of see a lot of the decisions at least that we had to confront on build
[00:13:15.920 --> 00:13:21.840]   versus buy is like it's another just kind of tool in our stack do we already have the sufficient dev
[00:13:21.840 --> 00:13:27.040]   tooling to support it make sure it's observable monitorable and all this and and we did so we didn't
[00:13:27.600 --> 00:13:33.920]   do any buying it was all all build yeah and as and as you mentioned i think you know you talked about
[00:13:33.920 --> 00:13:39.440]   many many eval startups i think we're all familiar with the the broad landscape of vector databases as
[00:13:39.440 --> 00:13:46.400]   well um are there any pieces of your infrastructure stack that you wish people were building or you wish
[00:13:46.400 --> 00:13:51.600]   people were kind of tackling in a different way than than what you've seen out there so far either one
[00:13:51.600 --> 00:14:01.200]   of you yeah i mean i think it would have been a hard sell to to sell me on an eval platform i think
[00:14:01.200 --> 00:14:08.320]   there was some opportunity to sell me on and like an observability platform for llms um i've looked at
[00:14:08.320 --> 00:14:15.600]   quite a few and i will admit to being an alumni of weights and biases so i have some bias um but that being
[00:14:15.600 --> 00:14:23.760]   said i think there is still a golden opportunity for a really fantastic like experimentation plus
[00:14:23.760 --> 00:14:29.600]   observability platform one thing that i'm watching quite carefully is rivet by ironclad it's an open
[00:14:29.600 --> 00:14:36.560]   source library and i think the way that they have approached the experimentation and iteration is really
[00:14:36.560 --> 00:14:41.440]   fantastic and i'm really excited about that if i see something like that get laced really well into
[00:14:41.440 --> 00:14:48.000]   observability that's something that i'd be excited about anything you can add on your side i think
[00:14:48.000 --> 00:14:56.240]   like small addition to what brian said which is just more focus on kind of the machine to machine
[00:14:56.240 --> 00:15:01.920]   layer of the tooling and so i think a lot you know right at the end of the day the input is always kind
[00:15:01.920 --> 00:15:11.120]   of this natural language string and that makes a lot of sense but the output making it more of a guaranteed
[00:15:11.120 --> 00:15:17.200]   typed output like with function calling and and other things i think is one step in the journey of making
[00:15:17.200 --> 00:15:22.640]   of integrating ai actually into back-end processes and machine to machine processes and so
[00:15:23.200 --> 00:15:30.640]   any focus in that area is where you know my interest gets peaked for sure yeah totally okay so you have
[00:15:30.640 --> 00:15:36.320]   you have all your people and you have all your tools and then you're obviously completely good to go and
[00:15:36.320 --> 00:15:42.880]   fully in production jk we all know it doesn't work that way what never challenges what challenges did
[00:15:42.880 --> 00:15:46.960]   you run into along the way maybe ones that you that you didn't expect or that were larger obstacles and
[00:15:46.960 --> 00:15:53.040]   you would have thought so i don't integrating ai into our core product i would say from a tooling
[00:15:53.040 --> 00:16:00.640]   and developer perspective and you know productionizing perspective none culturally though i would say we
[00:16:00.640 --> 00:16:06.480]   definitely hit you know some challenges which is that when we first we're like all right let's start
[00:16:06.480 --> 00:16:14.640]   to incorporate some ai and do some ideation here right a lot of engineers just started to throw everything
[00:16:14.640 --> 00:16:20.480]   at it like we should it should do everything it can monitor itself for like all of this stuff and i was
[00:16:20.480 --> 00:16:25.680]   like all right all right everyone needs to kind of like backtrack and so just that internal conversation of
[00:16:25.680 --> 00:16:31.920]   like you know getting buy-in on like very specific focus areas which you know at the end of the day
