
[00:00:00.000 --> 00:00:25.680]   building agents with Amazon Nova Act and MCP I'm excited today because we're going to build
[00:00:25.680 --> 00:00:35.440]   intelligent autonomous AI systems that can help you build scale and improve your applications
[00:00:35.440 --> 00:00:54.960]   and business my name is the one Lightfoot and I'm joined by my name is the one Lightfoot and I'm
[00:00:54.960 --> 00:01:03.480]   joined by hey I'm Banjo Biyami I'm a solutions architect here at AWS now this is the AI engineer
[00:01:03.480 --> 00:01:13.560]   welfare and I've been in tech over 15 years and right now is the most exciting time for me in my
[00:01:13.560 --> 00:01:20.640]   entire career and one of the reasons for this excitement is agents how many of you right now
[00:01:20.640 --> 00:01:31.800]   are building agentic systems I love it so when we talk about agentic AI I think it's important that we
[00:01:31.800 --> 00:01:41.160]   level set from an AWS perspective there are three key terms we need to think about first the ability to
[00:01:41.160 --> 00:01:49.680]   plan agent gets a prompt it gets an objective and it determines the actions that need to be taken so
[00:01:49.680 --> 00:01:58.080]   creates the plan and then it takes actions on those actions by using things like tools now the last piece
[00:01:58.080 --> 00:02:06.600]   the third piece the third piece and probably the most interesting is the reasoning where the agent is able to evaluate
[00:02:06.600 --> 00:02:16.860]   the results and determine if it needs to update the plan and take additional actions until the objective is complete this is an agent
[00:02:16.860 --> 00:02:34.860]   now when we actually break down the architecture I think it's important to take a look at this because we have the user input we have the agentic system we have the possibility of some type of human in the loop and then we have the generator response
[00:02:34.860 --> 00:03:02.860]   response now when we dive a little deeper there are some components of this agentic system we have the LLM we have a knowledge base with external information that we may want to provide we have guardrails to say to the model don't do this or to ground the model with the truth from our knowledge base to say okay is this actually relevant information is this accurate to the information we're receiving from the knowledge base
[00:03:02.860 --> 00:03:18.860]   and then we have access to additional tools memory or we may need to talk to additional agents or LLMs like Amazon over at do something like MCP and we have the ability to design our own flows for these systems
[00:03:18.860 --> 00:03:30.860]   now the most interesting piece that I think a lot of us are probably focused on when we're building these systems is around the continuous evaluation framework like how do we know if we're using the
[00:03:30.860 --> 00:03:46.860]   right LLM how do we know if our prompt is consistent accurate or even optimized for the performance we're expecting and then how do we even judge our system how do we rate that and determine that that it's actually solving the problems that we need or intend
[00:03:46.860 --> 00:03:58.860]   now once we have this we need to log this information and then have some type of subject matter expert and determine how can we improve this system and this is the iterative approach so we're always trying to improve
[00:03:58.860 --> 00:04:26.860]   and optimize our agent system now continuing on this continuing on with this story now there are some use cases that we should be building these systems for like if it's complex tasks and we don't know which tool should be used how many tools should be used and we want the model to leverage his reasoning capabilities well this is a great use case for agent system but if it's something that is just one step
[00:04:26.860 --> 00:04:39.860]   our traditional if this then that approach is probably the best solution right we don't always need to provide some type of agency system for something that can be done with a traditional solution
[00:04:39.860 --> 00:04:46.860]   now when we talk about agents on AWS there are three approaches and perspectives we should think about
[00:04:46.860 --> 00:04:59.860]   first it's going to be the specialized using something like Amazon Q how many of you are have used Amazon Q the there's Amazon Q in the console to help solve your problems on AWS in the console
[00:04:59.860 --> 00:05:08.860]   there's Amazon Q developer inside of your IDE and right now one that I'm I would think most excited about is Amazon Q CLI agent how many of you have used that
[00:05:08.860 --> 00:05:36.860]   for me if you if you are into increasing your productivity using a CI CLI agent has helped me tremendously from editing the video it can do that summarizing the document reading my entire code base like today for one of my demos I had some code and I was trying to figure out why wasn't it working I said analyze this code and tell me what you see let me know what you see
[00:05:36.860 --> 00:06:04.860]   let me know the API's that it's calling well I looked at the API's well it didn't match my API's in the API gateway so when the code was deployed it wasn't deployed with the right API's so the agent was able to help me save a ton of time by just analyzing the code and tell me what it saw because I never seen the code before right so that's what these tools are able to help us do the next is fully managed if you're using Amazon bedrock you're able to leverage Amazon bedrock agents to build
