
[00:00:00.000 --> 00:00:10.000]   [BLANK_AUDIO]
[00:00:10.000 --> 00:00:20.000]   All right, hey everybody and
[00:00:20.000 --> 00:00:26.000]   welcome back to week nine of
[00:00:26.000 --> 00:00:32.000]   Fastbook Reading Group at
[00:00:32.000 --> 00:00:38.000]   Wits and Biases.
[00:00:38.000 --> 00:00:41.000]   Today we're gonna be covering off chapter seven,
[00:00:41.000 --> 00:00:44.000]   which is about training state of the art in ImageNet.
[00:00:44.000 --> 00:00:49.000]   So last week we worked on chapter six where we looked at some of
[00:00:49.000 --> 00:00:54.000]   the extra stuff in computer vision that could help train really good
[00:00:54.000 --> 00:00:57.000]   models on using the fast AI library.
[00:00:57.000 --> 00:01:00.000]   And we sort of had a live coding session and
[00:01:00.000 --> 00:01:03.000]   we started working on the Cassava competition.
[00:01:03.000 --> 00:01:05.000]   And many of you have been working and
[00:01:05.000 --> 00:01:08.000]   many of you have been sharing your results on the validation data set.
[00:01:08.000 --> 00:01:09.000]   So thanks for that.
[00:01:09.000 --> 00:01:12.000]   Again, this week has been super good one.
[00:01:12.000 --> 00:01:14.000]   This week we've had blog posts.
[00:01:14.000 --> 00:01:19.000]   So as every week, go to that link 1db.me/fastbook9.
[00:01:19.000 --> 00:01:26.000]   So let me go and show you guys that link, fastbook9.
[00:01:26.000 --> 00:01:30.000]   I'll zoom in a bit.
[00:01:30.000 --> 00:01:34.000]   Feel free to message me on the chat just in case you can't hear me or
[00:01:34.000 --> 00:01:39.000]   you can't just in case the screens to zoom out.
[00:01:39.000 --> 00:01:40.000]   So that's week nine.
[00:01:40.000 --> 00:01:43.000]   So this is where you'll have all your comments.
[00:01:43.000 --> 00:01:45.000]   I'm just gonna have a first comment.
[00:01:45.000 --> 00:01:47.000]   It's asking me to sign in.
[00:01:47.000 --> 00:02:01.000]   Okay, one second, please.
[00:02:01.000 --> 00:02:04.000]   Sorry, I'm just going back to the forum post.
[00:02:04.000 --> 00:02:09.000]   Just give me one second.
[00:02:09.000 --> 00:02:10.000]   Okay, that should work.
[00:02:10.000 --> 00:02:12.000]   So if I go in and I just say test.
[00:02:12.000 --> 00:02:14.000]   So this is where we're gonna have all of our comments.
