
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:06.280]   Welcome friends to this episode
[00:00:06.280 --> 00:00:09.000]   of the Everyday Educator podcast.
[00:00:09.000 --> 00:00:10.740]   I'm your host, Lisa Bailey,
[00:00:10.740 --> 00:00:14.300]   and I am excited to spend some time with you today
[00:00:14.300 --> 00:00:17.660]   as we encourage one another, learn together,
[00:00:17.660 --> 00:00:20.680]   and ponder the delights and challenges
[00:00:20.680 --> 00:00:24.280]   that make homeschooling the adventure of a lifetime.
[00:00:24.280 --> 00:00:26.260]   Whether you're just considering
[00:00:26.260 --> 00:00:28.160]   this homeschooling possibility
[00:00:28.160 --> 00:00:32.200]   or deep into the daily delight of family learning,
[00:00:32.200 --> 00:00:36.180]   I believe you'll enjoy thinking along with us.
[00:00:36.180 --> 00:00:40.720]   But don't forget, although this online community is awesome,
[00:00:40.720 --> 00:00:45.720]   you'll find even closer support in a local CC community.
[00:00:45.720 --> 00:00:49.760]   So go to classicalconversations.com
[00:00:49.760 --> 00:00:53.760]   and find a community near you today.
[00:00:53.760 --> 00:00:57.920]   Well families, happy Thanksgiving.
[00:00:57.920 --> 00:01:02.480]   I can hardly believe that the week of Thanksgiving is here.
[00:01:02.480 --> 00:01:06.640]   This year has flown by for me and my family,
[00:01:06.640 --> 00:01:10.180]   and I suspect it has done the same thing for you.
[00:01:10.180 --> 00:01:13.840]   And as we approach the holiday this week,
[00:01:13.840 --> 00:01:15.880]   I've got a couple of questions
[00:01:15.880 --> 00:01:18.520]   for you and your family to consider.
[00:01:18.520 --> 00:01:21.480]   I have a poem to share with you,
[00:01:21.480 --> 00:01:24.020]   I have a story to share with you,
[00:01:24.020 --> 00:01:27.880]   and I have a passage from scripture to share with you.
[00:01:27.880 --> 00:01:32.060]   As we prepare our hearts to be truly thankful,
[00:01:32.060 --> 00:01:36.920]   I wanna ask you, and maybe, maybe you will choose
[00:01:36.920 --> 00:01:41.200]   to listen to this podcast this week as a family,
[00:01:41.200 --> 00:01:44.960]   maybe as you road trip to a relative's house
[00:01:44.960 --> 00:01:47.240]   or to the beach or to the mountains
[00:01:47.240 --> 00:01:50.080]   to celebrate Thanksgiving with your family.
[00:01:50.080 --> 00:01:52.980]   And if you are all together in the car
[00:01:52.980 --> 00:01:57.980]   listening to this podcast, maybe you'll stop the recording
[00:01:57.980 --> 00:02:02.860]   and talk together about some of the questions
[00:02:02.860 --> 00:02:04.260]   that I'm gonna ask you.
[00:02:04.260 --> 00:02:06.220]   Here's the first one.
[00:02:06.220 --> 00:02:11.220]   What does Thanksgiving mean to your family?
[00:02:11.220 --> 00:02:17.620]   Now moms and dads, you might want to take this opportunity
[00:02:17.620 --> 00:02:20.900]   to share some stories of Thanksgiving
[00:02:20.900 --> 00:02:24.480]   when you were a little girl or when you were a little boy
[00:02:24.480 --> 00:02:29.480]   and give your kids a picture of what Thanksgivings were like
[00:02:29.480 --> 00:02:32.040]   when you were young, when you were growing up.
[00:02:32.040 --> 00:02:34.600]   Did you go to your grandparents' home?
[00:02:34.600 --> 00:02:36.060]   Was that in the city?
[00:02:36.060 --> 00:02:38.320]   Was that in the country?
[00:02:38.320 --> 00:02:41.600]   Has your family always celebrated
[00:02:41.600 --> 00:02:44.600]   a traditional American Thanksgiving?
[00:02:44.600 --> 00:02:47.760]   Or is that something new for your family?
[00:02:47.760 --> 00:02:52.580]   Do you have other traditions associated with Thanksgiving
[00:02:52.580 --> 00:02:56.140]   that maybe many of us don't share
[00:02:56.140 --> 00:02:59.600]   but that are very important to your family?
[00:02:59.600 --> 00:03:02.560]   What are you being thankful for?
[00:03:02.560 --> 00:03:07.560]   What do you do together as a family to celebrate?
[00:03:07.560 --> 00:03:14.680]   When you gather to visit and to eat, what is your family?
[00:03:16.420 --> 00:03:21.420]   What are you and your friends truly celebrating?
[00:03:21.420 --> 00:03:25.920]   For the early settlers in this new world,
[00:03:25.920 --> 00:03:28.600]   here's maybe something surprising.
[00:03:28.600 --> 00:03:33.600]   Thanksgiving was not always about abundance.
[00:03:33.600 --> 00:03:36.700]   That's right.
[00:03:36.700 --> 00:03:39.180]   Thanksgiving was not always about abundance.
[00:03:39.180 --> 00:03:44.180]   In fact, listen to this poem by Hezekiah Butterworth.
