
[00:00:00.000 --> 00:00:02.300]   conversational memory has become
[00:00:02.300 --> 00:00:04.840]   a very important topic recently.
[00:00:04.840 --> 00:00:08.760]   It essentially describes how a chatbot
[00:00:08.760 --> 00:00:12.480]   or some other type of AI agent
[00:00:12.480 --> 00:00:14.800]   can respond to queries
[00:00:14.800 --> 00:00:17.320]   in kind of like a conversational manner.
[00:00:17.320 --> 00:00:19.500]   So if you think about conversation,
[00:00:19.500 --> 00:00:22.560]   the current point of the conversation
[00:00:22.560 --> 00:00:26.600]   depends almost entirely on the previous parts
[00:00:26.600 --> 00:00:29.300]   of the conversation, the previous interactions.
[00:00:29.300 --> 00:00:32.880]   And conversational memory is how we allow
[00:00:32.880 --> 00:00:36.440]   a large language model or other type of language model
[00:00:36.440 --> 00:00:40.000]   to remember those previous interactions.
[00:00:40.000 --> 00:00:44.380]   It is the type of memory that we would see in chatbots
[00:00:44.380 --> 00:00:49.100]   like OpenAI's ChatGPT or Google's Lambda.
[00:00:49.100 --> 00:00:50.920]   Without conversational memory,
[00:00:50.920 --> 00:00:54.400]   we would not be able to have a coherent conversation
[00:00:54.400 --> 00:00:56.340]   with any of these chatbots.
[00:00:56.340 --> 00:00:58.360]   And that is because by default,
[00:00:58.360 --> 00:01:01.280]   these large language models are stateless.
[00:01:01.280 --> 00:01:04.980]   That means that every incoming query to the model
[00:01:04.980 --> 00:01:07.760]   is treated independently of everything else.
[00:01:07.760 --> 00:01:11.560]   It doesn't remember previous queries or anything like that.
[00:01:11.560 --> 00:01:14.000]   It just looks at what you are giving it
[00:01:14.000 --> 00:01:16.500]   at this current moment in time.
[00:01:16.500 --> 00:01:21.100]   So how can we make a stateless large language model
[00:01:21.100 --> 00:01:23.960]   remember things that happened before?
[00:01:23.960 --> 00:01:27.240]   Well, that is what we're going to describe in this video.
[00:01:27.240 --> 00:01:29.380]   We're going to jump straight into it.
[00:01:29.380 --> 00:01:32.580]   We're going to be using the LangChain library
[00:01:32.580 --> 00:01:34.680]   to work through these different types
[00:01:34.680 --> 00:01:35.800]   of conversational memory,
[00:01:35.800 --> 00:01:37.760]   because there are a few different types
[00:01:37.760 --> 00:01:40.880]   and we'll introduce some of the essential types
[00:01:40.880 --> 00:01:43.560]   that you need to know in order to build chatbots
[00:01:43.560 --> 00:01:45.500]   or other conversational agents.
[00:01:45.500 --> 00:01:47.000]   So to get started,
[00:01:47.000 --> 00:01:49.800]   we will get worked through this notebook here.
[00:01:49.800 --> 00:01:52.680]   If you'd like to follow along and run this code as well,
[00:01:52.680 --> 00:01:54.840]   there will be a link top of the video right now
[00:01:54.840 --> 00:01:56.700]   that will take you to this notebook.
[00:01:56.700 --> 00:01:58.280]   So libraries that we're going to be using
[00:01:58.280 --> 00:02:00.560]   are LangChain, OpenAI, and TicToken.
[00:02:00.560 --> 00:02:03.120]   All right, we will install those.
[00:02:03.120 --> 00:02:04.120]   And once you've installed those,
[00:02:04.120 --> 00:02:06.960]   we'll move on to our imports here.
[00:02:06.960 --> 00:02:09.640]   Now, before we do move on any further,
[00:02:09.640 --> 00:02:12.840]   the vast majority of this notebook is by Francisco.
[00:02:12.840 --> 00:02:15.120]   So thanks a lot for putting that together.
[00:02:15.120 --> 00:02:18.120]   That is the same Francisco that we saw in the previous video
[00:02:18.120 --> 00:02:20.840]   and he'll be joining us for future videos as well.
[00:02:20.840 --> 00:02:23.840]   So let's go ahead and import everything in here.
[00:02:23.840 --> 00:02:26.240]   You can see a few different memory types
[00:02:26.240 --> 00:02:27.080]   that we're going to be using.
[00:02:27.080 --> 00:02:28.900]   So we have this conversational buffer memory,
[00:02:28.900 --> 00:02:31.100]   summary memory, and so on.
[00:02:31.100 --> 00:02:32.500]   We'll be taking a look at all of these
[00:02:32.500 --> 00:02:35.680]   and actually maybe some other ones as well.
[00:02:35.680 --> 00:02:37.660]   First thing we want to do is,
