
[00:00:00.040 --> 00:00:10.780]   mon
[00:00:57.640 --> 00:00:58.840]   and I'll see you next time.
[00:01:24.000 --> 00:01:28.440]   I'm here at Chicago's O'Hare Airport
[00:01:28.440 --> 00:01:28.840]   standing.
[00:01:28.840 --> 00:01:28.860]  ертвed by the government's financial crisis.
[00:01:28.860 --> 00:01:28.860]   I'm here at Chicago's O'Hare Airport standing.
[00:01:28.860 --> 00:01:28.860]   I'm here at Chicago's O'Hare Airport standing.
[00:01:28.860 --> 00:01:28.860]   I'm here at Chicago's O'Hare Airport standing.
[00:01:28.860 --> 00:01:28.860]   I'm here at Chicago's O'Hare Airport standing.
[00:01:28.860 --> 00:01:28.860]   I'm here at Chicago's O'Hare Airport standing.
[00:01:28.860 --> 00:01:28.860]   I'm here at Chicago's O'Hare Airport standing.
[00:01:28.860 --> 00:01:28.860]   I'm here at Chicago's O'Hare Airport standing.
[00:01:28.860 --> 00:01:28.860]   I'm here at Chicago's O'Hare Airport standing.
[00:01:28.860 --> 00:01:28.860]   I'm here at Chicago's O'Hare Airport standing.
[00:01:28.860 --> 00:01:28.860]   I'm here at Chicago's O'Hare Airport standing.
[00:01:28.860 --> 00:01:28.860]   I'm here at Chicago's O'Hare Airport standing.
[00:01:28.860 --> 00:01:28.860]   I'm here at Chicago's O'Hare Airport standing.
[00:01:29.620 --> 00:01:58.880]   I'm here at Chicago's O'Hare Airport standing.
[00:01:58.880 --> 00:01:58.880]   I'm here at Chicago's O'Hare Airport standing.
[00:01:58.880 --> 00:01:58.880]   I'm here at Chicago's O'Hare Airport standing.
[00:01:58.880 --> 00:01:58.880]   I'm here at Chicago's O'Hare Airport standing.
[00:01:58.880 --> 00:01:58.880]   I'm here at Chicago's O'Hare Airport standing.
[00:01:58.900 --> 00:02:28.900]   I'm here at Chicago's O'Hare Airport standing.
[00:02:28.900 --> 00:02:28.900]   I'm here at Chicago's O'Hare Airport standing.
[00:02:28.900 --> 00:02:28.900]   I'm here at Chicago's O'Hare Airport standing.
[00:02:28.900 --> 00:02:28.900]   I'm here at Chicago's O'Hare Airport standing.
[00:02:28.900 --> 00:02:28.900]   I'm here at Chicago's O'Hare Airport standing.
[00:02:28.900 --> 00:02:28.900]   I'm here at Chicago's O'Hare Airport standing.
[00:02:28.900 --> 00:02:28.900]   I'm here at Chicago's O'Hare Airport standing.
[00:02:28.900 --> 00:02:28.900]   I'm here at Chicago's O'Hare Airport standing.
