
[00:00:00.000 --> 00:00:14.180]   Good morning, everyone.
[00:00:14.180 --> 00:00:21.400]   So today, I want to start with a little story.
[00:00:21.400 --> 00:00:24.900]   A short history lesson, if you will.
[00:00:24.900 --> 00:00:26.580]   So, you know, sit back, get comfortable.
[00:00:27.320 --> 00:00:30.120]   I'm going to take us back to the year 1882.
[00:00:30.120 --> 00:00:34.100]   It's the dawn of the electrical revolution, really.
[00:00:34.100 --> 00:00:36.880]   The world's first commercial power plant just opened up.
[00:00:36.880 --> 00:00:40.900]   Electricity, this amazing new force,
[00:00:40.900 --> 00:00:42.780]   is all the rage in the manufacturing industry.
[00:00:42.780 --> 00:00:46.520]   People are claiming that it's going to change everything.
[00:00:46.520 --> 00:00:51.360]   And yet, something very interesting happened around this time.
[00:00:51.360 --> 00:00:54.360]   Or rather, it didn't happen.
[00:00:55.140 --> 00:01:00.280]   You see, despite electricity's obvious superiority in comparison to the traditional techniques at the time,
[00:01:00.280 --> 00:01:04.500]   like steam engines, it didn't immediately improve manufacturing productivity.
[00:01:04.500 --> 00:01:06.440]   Why?
[00:01:07.260 --> 00:01:14.800]   Well, because factory owners were simply trying to replace their old technology with this new technology into an outdated paradigm.
[00:01:14.800 --> 00:01:19.120]   Let's picture a typical factory at the time.
[00:01:19.120 --> 00:01:24.660]   So we have a huge coal-fired steam engine on one end, and we have a network of transmission lines going across the top,
[00:01:24.900 --> 00:01:27.900]   all driving hundreds of machines locked in the same rhythm.
[00:01:27.900 --> 00:01:32.020]   These legacy steam power factories were incredibly inefficient.
[00:01:32.020 --> 00:01:38.100]   You know, if one station needed power, all of a sudden you had to turn on that entire steam engine and it had to power all of them.
[00:01:38.100 --> 00:01:45.840]   Factory layouts were dictated by the limitations of the transmission lines, not by what was best for the process or for the workers.
[00:01:48.380 --> 00:01:53.860]   When electricity arrived, many factory owners simply swapped out the steam engine for an electric one.
[00:01:53.860 --> 00:02:00.100]   And sure, you know, they added some lights and, you know, workers didn't have to toil next to a coal-fired furnace all day.
[00:02:00.520 --> 00:02:03.440]   But the fundamental limitations of the factory remained.
[00:02:03.440 --> 00:02:14.140]   So, this real electrical revolution, well, it didn't actually come until we imagined factories from the ground up with electricity at its core.
[00:02:14.140 --> 00:02:19.340]   Factories started to become flexible and adaptable.
[00:02:19.340 --> 00:02:21.980]   They allowed for smaller, specialized tools.
[00:02:21.980 --> 00:02:27.380]   Workers could bring their tools to the items instead of having to lug the items back to their workstations.
[00:02:28.860 --> 00:02:33.420]   The entire manufacturing process became more efficient, more humane, and more productive.
[00:02:33.420 --> 00:02:43.020]   Now, let's fast forward 140-something years to today, and you can see that we find ourselves at a similar point in regards to AI and LLMs.
[00:02:43.020 --> 00:02:48.420]   Enterprises, startups, developers are all building and integrating LLMs into their products.
[00:02:48.420 --> 00:02:57.140]   But often, they're just tacking it onto their existing product surface, adding a few star icon buttons in the top left corner, and calling it a day.
[00:02:57.200 --> 00:03:02.180]   And this is not the first time we've seen this in Silicon Valley.
[00:03:02.180 --> 00:03:05.140]   Let's think back to when mobile first emerged, right?
[00:03:05.140 --> 00:03:09.440]   Companies simply tried to just shrink down their website and put it on a phone.
[00:03:09.440 --> 00:03:18.560]   It wasn't until we redesigned apps from the ground up with the unique capabilities of mobile, like always-on camera and GPS,
[00:03:19.080 --> 00:03:22.080]   that we actually began to see true innovation in the space and adoption.
[00:03:22.080 --> 00:03:27.880]   This is when the Snapchats and the Ubers of the world started to emerge.
[00:03:27.880 --> 00:03:36.060]   So, just as companies and just as factories went through their, you know, replaced steam engines with electric one phase,
[00:03:36.060 --> 00:03:40.860]   and tech companies went through their just-hire-a-couple mobile web dev people phase,
[00:03:40.860 --> 00:03:44.940]   we're now in our magic star icon phase with respect to AI.
[00:03:44.940 --> 00:03:52.480]   And, yeah, it's funny, but the thing is you can't blame any of the companies or developers that are actually trying to do this right now, right?
