
[00:00:00.000 --> 00:00:20.880]   I'm Rukma, I work at Google Cloud on our Vertex AI product and at towards the end of the talk for
[00:00:20.880 --> 00:00:27.000]   those of you who don't know what that is I will discuss it just a little bit more but where I
[00:00:27.000 --> 00:00:34.760]   want to start today is with agents so this slide you're like understatement much right you're like
[00:00:34.760 --> 00:00:40.680]   yeah yeah right that's why we're here at this conference because generative AI is transforming
[00:00:40.680 --> 00:00:45.880]   how we interact with technology and if any of you are wondering hey is this is the rest of this
[00:00:45.880 --> 00:00:51.400]   person's talk filled with such groundbreaking insights maybe maybe not stick around and find
[00:00:51.400 --> 00:00:58.040]   out I kid I kid the interesting thing about this statement that I want to think about
[00:00:58.040 --> 00:01:07.240]   is what is the interface of that interaction where do all of these all of us whether we're developers
[00:01:07.240 --> 00:01:16.600]   employees parents students interface with AI I would posit that for the vast majority of many of our use
[00:01:16.600 --> 00:01:22.920]   cases that we actually want to accomplish that interface of interaction with generative AI is
[00:01:22.920 --> 00:01:29.320]   going to be an agent of some kind so the power of generative AI as I'm sure I don't need to belabor
[00:01:29.320 --> 00:01:37.800]   this point to you guys is immense but it can be kind of intimidating and is inaccessible to many people
[00:01:37.800 --> 00:01:43.640]   perhaps many people who are not in the room right now with us but we can think about these personas
[00:01:43.640 --> 00:01:50.440]   people we want to help people we want to build for right and that's kind of where I think agents come in
[00:01:50.440 --> 00:01:56.520]   and where they're really powerful they're the bridge between the models and everyday users
[00:01:56.520 --> 00:02:05.240]   so they help you go from speaking model language to speaking natural language funny joke no no no no
[00:02:05.240 --> 00:02:08.600]   I'm very sad you guys give me a laugh
[00:02:11.080 --> 00:02:14.920]   no all right all right all right all right I'll try I'll try I'll try
[00:02:14.920 --> 00:02:19.880]   well we'll we'll we'll make it there we'll make it there
[00:02:19.880 --> 00:02:28.760]   what I think is actually really cool though is that for actually all of us in this room we speak both
[00:02:28.760 --> 00:02:34.760]   languages so we're going to be the ones developing these agents right so we're going to be designing
[00:02:34.760 --> 00:02:40.760]   how they interact with people what kinds of limits and frameworks we're putting around them to make
[00:02:40.760 --> 00:02:45.480]   sure that you know we're being ethical we're being helpful we're being humane we're being safe
[00:02:45.480 --> 00:02:54.360]   and that I think is kind of magical think back to the days before the internet existed right what was the
[00:02:54.360 --> 00:03:01.640]   human interaction interface with technology it was machines it was things like appliances in the home
[00:03:02.200 --> 00:03:08.680]   and then the internet came about and the whole way human beings and technology interact completely
[00:03:08.680 --> 00:03:15.480]   changed we're all looking at our screens we use gestures like swiping and zooming and scrolling
[00:03:15.480 --> 00:03:22.840]   think about how cool it could be if you were the one building the next interface the next kind of
[00:03:22.840 --> 00:03:30.520]   boundary of interaction between human beings and technology I'm wearing a little necklace that says
[00:03:30.520 --> 00:03:37.480]   wizard in training because I think this is actually kind of magical that one got a better reaction okay
[00:03:37.480 --> 00:03:47.400]   we like wizards in this room given that though to quote my favorite spider person with great power
[00:03:47.400 --> 00:03:54.200]   comes great responsibility we all know who to attribute this to uncle ben in every version of every spider-man
[00:03:54.200 --> 00:03:59.800]   ever I promised spider-man to someone in this room I did say there was spider-man coming up in my talk
[00:03:59.800 --> 00:04:06.680]   and I'm hoping I delivered on that promise he's here he's here but the point spider-man is making I think
[00:04:06.680 --> 00:04:13.240]   is actually serious and something we should we should be thinking about so with the power to really shape how
[00:04:13.240 --> 00:04:19.960]   how people are interacting with AI does come responsibility we must ensure that these interactions
[00:04:19.960 --> 00:04:27.400]   are like I said safe humane and helpful when you think about like what is this responsibility I would say
[00:04:27.400 --> 00:04:33.880]   there are several kind of sources but some I would just highlight for everybody to think about our first ethical
[00:04:33.880 --> 00:04:39.800]   considerations what are our moral obligations to protect users who are using these technologies that
[00:04:39.800 --> 00:04:47.240]   have really great unlimited powers in some ways how can we build guardrails that protects people that keeps
[00:04:47.240 --> 00:04:55.640]   them safe prevents kind of the spread of misinformation and make it really clear when let's say an agent is
[00:04:55.640 --> 00:05:02.360]   producing something that's generated versus when it's producing something that should be taken as a true fact
[00:05:02.360 --> 00:05:11.720]   we should also think a good bit I think about safety cyber security data privacy where are we storing the data
[00:05:11.720 --> 00:05:19.000]   that we reason over with these models with how are we thinking about making sure that we're safeguarding people's privacy
[00:05:19.800 --> 00:05:27.160]   with the rise of a lot of things like wearables and kind of just a lot of what I like to think about as like
[00:05:27.160 --> 00:05:33.400]   unobtrusive compute where it's just out there in the world these become I think even more important
[00:05:33.400 --> 00:05:42.680]   you know things to think about so great I talked a lot about agents and how we should think about making them
[00:05:43.400 --> 00:05:51.800]   but let's talk really quickly about what an agent is now real talk the reason this talk was supposed
[00:05:51.800 --> 00:05:58.680]   to be open models is because we did have a last minute schedule shift and fully true story before I
[00:05:58.680 --> 00:06:04.280]   knew I was going to deliver this talk and I was you know one week ago registering for this and they asked
[00:06:04.280 --> 00:06:12.280]   hey what is it you really want to learn I said what's an agent really so so actually really curious about
[00:06:12.280 --> 00:06:18.360]   this but this talk is not actually going to focus on kind of the philosophies and ontologies of agents
[00:06:18.360 --> 00:06:22.520]   if you want to chat with me about it please drop by the google cloud booth I would be happy to discuss
[00:06:22.520 --> 00:06:28.920]   this with you can we appreciate that I got a spider-man reference and ontology in the same talk very proud of
[00:06:28.920 --> 00:06:38.360]   myself okay so given that we're just going to move forward with a working definition and what is a working
[00:06:38.360 --> 00:06:43.720]   definition this is probably the kind of broadest most overarching definition you can think about
[00:06:43.720 --> 00:06:51.160]   for our purposes an AI agent simply is a system that's designed to achieve specific goals by interacting
[00:06:51.160 --> 00:06:57.800]   with its environment so let's break that kind of down into what its key components are so at the heart of
[00:06:57.800 --> 00:07:04.680]   every AI agent is a powerful model often this is based on large language models right this is the model that's
[00:07:04.680 --> 00:07:10.920]   responsible for reasoning over what are the goals of this agent kind of determining what the next best
[00:07:10.920 --> 00:07:17.880]   plan of action is and then guiding its behavior think about it as your agent's brain or executive center
[00:07:17.880 --> 00:07:25.480]   if you will then let's think tools so an AI agent doesn't just think it also acts and I think this is
