
[00:00:00.000 --> 00:00:05.020]   [ Music ]
[00:00:05.020 --> 00:00:08.900]   All right, I think we have time for one more question here.
[00:00:08.900 --> 00:00:11.660]   This one comes from Brian.
[00:00:11.660 --> 00:00:20.260]   Brian says, "I'm seeking a pragmatic strategy for keeping track of things to be read
[00:00:20.260 --> 00:00:21.840]   and a process for implementation.
[00:00:21.840 --> 00:00:25.600]   I have shelves of print books awaiting my good intentions as well
[00:00:25.600 --> 00:00:29.380]   as multiple folders containing hundreds of articles, papers, reports,
[00:00:29.380 --> 00:00:31.300]   and other digital content that I really want to read.
[00:00:31.300 --> 00:00:34.140]   I could use help thinking about how to organize this.
[00:00:34.140 --> 00:00:37.400]   Any advice on an effective systematic method for capturing, storing,
[00:00:37.400 --> 00:00:42.520]   and prioritizing all the various things to be read that are in both digital and physical formats,
[00:00:42.520 --> 00:00:45.400]   not to mention many great conference talks that I receive via streaming services?"
[00:00:45.400 --> 00:00:48.260]   Brian, I'm exhausted just listening to your question here.
[00:00:48.260 --> 00:00:56.380]   There is a near infinite amount of material that you could consume in the world,
[00:00:56.620 --> 00:00:59.580]   and it is more accessible than it's ever been.
[00:00:59.580 --> 00:01:01.260]   Well, that's good and bad.
[00:01:01.260 --> 00:01:03.820]   It's good because it means that if there's something you want to master,
[00:01:03.820 --> 00:01:06.600]   you actually have access to more information on whatever that is,
[00:01:06.600 --> 00:01:09.080]   and you probably would have had it any other time in history.
[00:01:09.080 --> 00:01:11.240]   It's bad because you can drown.
[00:01:11.240 --> 00:01:13.440]   It's just too much stuff.
[00:01:13.440 --> 00:01:20.640]   So I think you are setting yourself up for frustration when you are trying to put
[00:01:20.640 --> 00:01:26.440]   in place these generic capture systems for any and all forms of interesting information.
[00:01:27.320 --> 00:01:28.580]   It will always be too much.
[00:01:28.580 --> 00:01:30.160]   You will always feel behind.
[00:01:30.160 --> 00:01:34.360]   You have created a necessary stress generation machine.
[00:01:34.360 --> 00:01:36.780]   So what should you do instead?
[00:01:36.780 --> 00:01:40.000]   Well, here's my approach to the information consumption.
[00:01:40.000 --> 00:01:43.720]   So adjust as needed for your situation.
[00:01:43.720 --> 00:01:50.240]   When it comes to books, as is known, I have a number of books I try to read each month.
