
[00:00:00.000 --> 00:00:01.400]   I'm gonna take...
[00:00:01.400 --> 00:00:10.360]   Cool.
[00:00:10.360 --> 00:00:13.800]   Hey everybody, and welcome back to week 12
[00:00:13.800 --> 00:00:15.260]   of Fast Book Reading Group.
[00:00:15.260 --> 00:00:19.400]   So I think looking back, it's actually almost three months,
[00:00:19.400 --> 00:00:22.120]   and it's so great to see that we've been at this
[00:00:22.120 --> 00:00:25.640]   for three months now, or 12 weeks.
[00:00:25.640 --> 00:00:27.320]   It's almost three months, but 12 weeks,
[00:00:27.320 --> 00:00:29.160]   and we've been doing this week after week,
[00:00:29.160 --> 00:00:30.520]   and we've been coming back.
[00:00:30.520 --> 00:00:33.300]   So I thought before maybe getting started today,
[00:00:33.300 --> 00:00:36.000]   it might just as well be helpful to just have a look
[00:00:36.000 --> 00:00:37.740]   at what all we've covered.
[00:00:37.740 --> 00:00:41.240]   So if I go to Fast Book, this is the repository,
[00:00:41.240 --> 00:00:44.680]   and you already know we have the playlist.
[00:00:44.680 --> 00:00:48.840]   If I go Weights and Biases here,
[00:00:48.840 --> 00:00:53.160]   I go to the Weights and Biases channel,
[00:00:53.160 --> 00:00:55.080]   and you can see the videos.
[00:00:55.080 --> 00:00:56.600]   So we already have the playlist.
[00:00:56.600 --> 00:00:58.000]   If I go to that playlist,
[00:00:58.840 --> 00:01:03.400]   which is this one,
[00:01:03.400 --> 00:01:05.440]   I'm sorry, everything in a playlist here.
[00:01:05.440 --> 00:01:07.480]   And I thought it might just as well be helpful
[00:01:07.480 --> 00:01:09.600]   to see like how much ground we've covered.
[00:01:09.600 --> 00:01:12.360]   So we kind of, I was just going through,
[00:01:12.360 --> 00:01:15.720]   'cause I was drafting a tweet today just about Fast Book,
[00:01:15.720 --> 00:01:17.840]   and I was having a look at like what all,
[00:01:17.840 --> 00:01:20.400]   what's all the things that we've done,
[00:01:20.400 --> 00:01:21.820]   and having a look at,
[00:01:21.820 --> 00:01:24.880]   and like just starting from our journey.
[00:01:24.880 --> 00:01:27.920]   And I remember with Jeremy,
[00:01:27.920 --> 00:01:29.160]   before we started intro,
[00:01:29.160 --> 00:01:31.760]   and before we started even the first chapter,
[00:01:31.760 --> 00:01:33.080]   I remember making a call,
[00:01:33.080 --> 00:01:35.200]   and I remember as a group,
[00:01:35.200 --> 00:01:36.760]   we decided that we're gonna stick to this,
[00:01:36.760 --> 00:01:39.640]   and we're gonna end Fast Book together.
[00:01:39.640 --> 00:01:41.840]   And we've covered really quite a bit.
[00:01:41.840 --> 00:01:43.080]   Like we started with how to,
[00:01:43.080 --> 00:01:44.700]   this was the chapter where we learned
[00:01:44.700 --> 00:01:47.560]   how to put things in production for the first time.
[00:01:47.560 --> 00:01:49.320]   We skipped over ethics for over time,
[00:01:49.320 --> 00:01:51.120]   but we looked at MNIST basics
[00:01:51.120 --> 00:01:53.240]   where we learned how to classify,
[00:01:53.240 --> 00:01:57.640]   where we learned how to classify basically digits,
[00:01:57.640 --> 00:01:58.940]   or handwritten digits.
[00:01:58.940 --> 00:02:01.560]   And in pet breeds is where things started
[00:02:01.560 --> 00:02:02.840]   getting a little more interesting,
[00:02:02.840 --> 00:02:05.660]   where we started doing a bit of an actual problem.
[00:02:05.660 --> 00:02:08.420]   That's a more real world related problem.
[00:02:08.420 --> 00:02:11.160]   And in multi, so this was all classification,
[00:02:11.160 --> 00:02:13.820]   and we were just starting up basics with classification.
[00:02:13.820 --> 00:02:15.840]   And then when we got to multicat,
[00:02:15.840 --> 00:02:18.060]   the next thing we started looking at in multicat
[00:02:18.060 --> 00:02:21.080]   was how we can do multicategory classifications
[00:02:21.080 --> 00:02:23.160]   when an image has multiple labels.
[00:02:23.160 --> 00:02:24.440]   So what to do with that?
[00:02:24.440 --> 00:02:27.560]   And we saw that FastAI kind of,
[00:02:27.560 --> 00:02:28.920]   it's really easy to solve.
[00:02:28.920 --> 00:02:30.800]   It's really easy to work with FastAI.
[00:02:30.800 --> 00:02:32.520]   And like with multicat,
[00:02:32.520 --> 00:02:34.160]   there's not a lot that needs to change.
[00:02:34.160 --> 00:02:36.680]   All we had to do was just let FastAI know
[00:02:36.680 --> 00:02:38.800]   that we're working on this multicat problem.
[00:02:38.800 --> 00:02:40.240]   And we looked at the loss functions,
[00:02:40.240 --> 00:02:42.640]   how the loss functions changed.
[00:02:42.640 --> 00:02:47.040]   And we found this idea of like using sigmoid
[00:02:47.040 --> 00:02:48.440]   instead of softmax.
[00:02:48.440 --> 00:02:52.120]   So those were the main changes when we got to multicat.
[00:02:52.120 --> 00:02:53.680]   And in sizing in TDA,
[00:02:53.680 --> 00:02:57.080]   we actually started looking at the data augmentations.
[00:02:57.080 --> 00:03:00.800]   We started looking at what test time augmentation stands for.
[00:03:00.800 --> 00:03:02.720]   And finally, we got to Colab.
[00:03:02.720 --> 00:03:03.880]   And when we got to Colab,
[00:03:03.880 --> 00:03:06.920]   this was about movie recommendation systems.
[00:03:06.920 --> 00:03:08.840]   So we learned about,
[00:03:08.840 --> 00:03:10.640]   basically we learned about movie embeddings,
[00:03:10.640 --> 00:03:12.460]   or we learned about user embeddings,
[00:03:12.460 --> 00:03:14.640]   and we learned how these various
[00:03:14.640 --> 00:03:16.000]   recommendation models are built.
[00:03:16.000 --> 00:03:18.040]   So it's the concepts that we learned
[00:03:18.040 --> 00:03:21.480]   were not just for movie or movie recommendation,
[00:03:21.480 --> 00:03:24.720]   these were concepts that could be used in product matching
[00:03:24.720 --> 00:03:27.240]   or in basically getting a good understanding
[00:03:27.240 --> 00:03:29.160]   of the customer user base.
[00:03:29.160 --> 00:03:31.520]   And now I'm so excited that we're at this
[00:03:31.520 --> 00:03:32.840]   chapter convolutions.
[00:03:32.840 --> 00:03:36.400]   So we skipped over Tableau and we skipped over NLP.
[00:03:36.400 --> 00:03:38.280]   As I've mentioned, Tableau is something that
[00:03:38.280 --> 00:03:39.640]   Zach Miller is going to come
[00:03:39.640 --> 00:03:42.040]   and he's going to touch on Tableau.
[00:03:42.040 --> 00:03:45.120]   And for NLP, it's still in the works,
[00:03:45.120 --> 00:03:48.560]   but I will share plans about what we have for NLP.
[00:03:48.560 --> 00:03:51.080]   So that's something that will come in a few weeks.
[00:03:51.080 --> 00:03:52.320]   So what we're going to do now is
[00:03:52.320 --> 00:03:55.320]   we're going to look at convolutions today
[00:03:55.320 --> 00:03:58.560]   and convolutions will form the basics of,
[00:03:58.560 --> 00:04:00.520]   basically every convolutional neural network
[00:04:00.520 --> 00:04:02.240]   has convolutions in it, right?
[00:04:02.240 --> 00:04:05.120]   So what we're going to cover today
[00:04:05.120 --> 00:04:09.640]   is we're going to look at what convolutions are really,
[00:04:09.640 --> 00:04:12.280]   as in what does a 1D convolution mean?
[00:04:12.280 --> 00:04:14.640]   What does it mean when we say 2D convolution?
[00:04:14.640 --> 00:04:16.560]   What does it mean when we say 3D convolution?
[00:04:16.560 --> 00:04:18.840]   Or like, what's the exact mathematics
[00:04:18.840 --> 00:04:21.600]   or what's the exact operations that are going,
[00:04:21.600 --> 00:04:23.560]   every time that we say,
[00:04:23.560 --> 00:04:26.120]   oh, we're doing a convolution operation.
[00:04:26.120 --> 00:04:29.560]   And then that will form the basics for like ResNet.
[00:04:29.560 --> 00:04:34.000]   And something I do want to highlight right now is that,
[00:04:34.000 --> 00:04:38.480]   so let me go to the forums
[00:04:38.480 --> 00:04:40.360]   and something I do want to highlight.
[00:04:40.360 --> 00:04:43.120]   So we, as I mentioned, we've got the forums
[00:04:43.120 --> 00:04:45.200]   and if you go to this paper, reading group forums,
[00:04:45.200 --> 00:04:48.200]   let me paste that link in the chat as well.
[00:04:49.200 --> 00:04:52.200]   (mouse clicking)
[00:04:52.200 --> 00:04:54.480]   I'm just pasting that link, so there it is.
[00:04:54.480 --> 00:04:58.640]   So one thing that you will see is happening on the side
[00:04:58.640 --> 00:05:00.760]   is that we're starting with paper reading groups
[00:05:00.760 --> 00:05:01.920]   where we're starting with
[00:05:01.920 --> 00:05:03.320]   beginner friendly paper reading groups.
[00:05:03.320 --> 00:05:05.240]   So we're starting with ResNet, DenseNet,
