
[00:00:00.000 --> 00:00:21.380]   Hello, are you all awake and you just have your coffee, that's great, welcome to my workshop
[00:00:21.380 --> 00:00:27.240]   about LLMs for programming or like how to become a 10x engineer, which I'm like actually pretty
[00:00:27.240 --> 00:00:35.220]   serious about. I put some handouts out, so I didn't print like 200 of them, but if you
[00:00:35.220 --> 00:00:39.380]   can sit next to someone who has some, there's like a couple lying around in this part of
[00:00:39.380 --> 00:00:44.520]   the room, and in general I encourage you to have a partner, two partners, because it's
[00:00:44.520 --> 00:00:51.380]   a workshop and it's like nice to share ideas. There's a URL that's to a GitHub repo which
[00:00:51.380 --> 00:00:58.100]   has nothing in it, but it has the handouts as PDF and it has like a list of links or something
[00:00:58.100 --> 00:01:03.640]   like that. I encourage you to join the Slack channel, because of the size I won't be able
[00:01:03.640 --> 00:01:13.460]   to really interact with individuals, but I will be able to through Slack. The only prerequisites
[00:01:13.460 --> 00:01:22.440]   you need are an LLM, so I use OpenAI just like the chat interface or like CloudSonet is great,
[00:01:22.440 --> 00:01:26.040]   but you can use like if you want to have fun and use like a small one on your laptop, you're
[00:01:26.040 --> 00:01:34.460]   welcome to. Find.com is also great, like anything that's all you need. No code, no Git fork, no
[00:01:34.460 --> 00:01:43.640]   nothing. And with that, I'm manual, I'm like a software engineer by heart, I knew I wanted to be a
[00:01:43.640 --> 00:01:52.220]   programmer when I was six, and when GPT-3 came out, I like co-pilot, I was like what the, and started
[00:01:52.220 --> 00:01:58.800]   just like doing everything I do usually after 25 years of being a professional software developer
[00:01:58.800 --> 00:02:04.780]   with LLMs and just like keep finding new techniques until today. I kind of am not on social media,
[00:02:04.780 --> 00:02:09.520]   I don't really follow what other people are doing, so this is kind of like all homegrown
[00:02:09.520 --> 00:02:15.040]   kind of stuff, but always with the focus of like actually doing like e-commerce work, PHP programming,
[00:02:15.040 --> 00:02:21.920]   just like down to earth stuff. And so I'm going to show first just like a few general concrete
[00:02:21.920 --> 00:02:28.800]   techniques. Like I think a lot of programmers don't really vibe very well with the technology
[00:02:28.800 --> 00:02:35.120]   especially because the hype around it is like it's going to replace you. Us. Which is kind
[00:02:35.120 --> 00:02:43.040]   of true. But so I'll give like a bunch of techniques just like to ease and getting into it. So who of
[00:02:43.040 --> 00:02:51.600]   you are programmers? Cool. Is there someone who's not a programmer because you can still stay because
[00:02:51.600 --> 00:03:00.960]   it's everything will still apply actually. Who's using LLM's co-pilot, well I'll put co-pilot a little
[00:03:00.960 --> 00:03:07.920]   bit apart, but like LLM's code generation for their work? All right, cool. I guess that's why you're coming
[00:03:07.920 --> 00:03:13.920]   to the fair, huh? So after a bunch of general concrete techniques that I use which I feel are pretty
[00:03:13.920 --> 00:03:19.920]   important I'll go into the main concept of how I approach programming with LLMs which is like treating them as
[00:03:19.920 --> 00:03:26.240]   as translation engine. Not like as something that reasons or something that like writes code and can
[00:03:26.240 --> 00:03:30.400]   figure things out with agents. It's just like oh they're good at translating one type of language to
[00:03:30.400 --> 00:03:37.120]   another. Which is honestly what we do as programmers as well, right? And we take GitHub tickets or whatever
[00:03:37.120 --> 00:03:42.880]   and we convert them to code. Or the other way around when the code doesn't work we create GitHub tickets.
[00:03:42.880 --> 00:03:50.240]   Then a pretty important, this is like a new concept I haven't really played with but it's so massive is
[00:03:50.240 --> 00:03:57.040]   treating LLMs as like word simulators and what we can do with that in the context of just like pragmatic
[00:03:57.040 --> 00:04:04.080]   programming. And finally a bunch of like what I try to distill is like what are the skills that we need in
[00:04:04.080 --> 00:04:08.480]   this new age of software developers to become really effective because they're very, very different from
[00:04:08.480 --> 00:04:14.800]   from what they were in the past. But some of them stay the same which is also good.
[00:04:14.800 --> 00:04:22.160]   So what I'm going to do is like I'm going to go through these pretty quickly. I wrote up,
[00:04:22.160 --> 00:04:28.560]   I wrote them up on the handout and the handout you'll see these gray blocks. They're concrete examples of
[00:04:28.560 --> 00:04:30.480]   just prompts. Like I don't want to paste 20 pages of GPT transcript that no one cares about. But what you can do and try to maybe it will work just like paste these prompts.
[00:04:30.480 --> 00:04:46.800]   into chat GPT and say what happens and like there's some sequences which might or might not work depending on what the model outputs but hopefully you can follow your way around.
[00:04:46.800 --> 00:04:50.800]   And there's links which obviously don't work on paper to some of the transcripts I just did yesterday. But really it's about you trying them out. Like don't try to, these are not examples you should follow.
[00:04:50.800 --> 00:05:04.800]   this is not the way to do it. It's just like an example of applying what I really want to get at.
[00:05:04.800 --> 00:05:18.800]   And I'll give you about 10 minutes after showing you these things to basically communicate with your neighbors, try to solve some problems that you have, come up with some or just use some of the examples I show
