
[00:00:00.000 --> 00:00:06.120]   What is up everybody not the stock market it's Sam from financial samurai and in this episode
[00:00:06.120 --> 00:00:13.240]   I want to talk about the probability of a recession happening what we should do if a recession comes and the difference between a
[00:00:13.240 --> 00:00:16.700]   Recession and a bear market because there are some subtle differences
[00:00:16.700 --> 00:00:22.640]   So I think the probability of recession happening over the next 12 months is about 70%
[00:00:22.640 --> 00:00:28.600]   And the reason why is due to four things one the yield curve has flattened
[00:00:28.600 --> 00:00:34.660]   So the spread between the two-year Treasury yield which is on the shorter end and the 10-year Treasury yield
[00:00:34.660 --> 00:00:39.480]   Which is on the longer end has compressed to the narrowest margin since March 2020
[00:00:39.480 --> 00:00:41.800]   so a flat or
[00:00:41.800 --> 00:00:49.480]   Inverted yield curve so inverted yield curve is when the short end yield is higher than the long end yield is a reliable
[00:00:49.480 --> 00:00:54.440]   Recession indicator if you look at history you look at the st. Louis Fred chart
[00:00:55.020 --> 00:01:02.440]   every time the yield curve has inverted almost every time it looks like over the next 12 months a recession has occurred and
[00:01:02.440 --> 00:01:07.040]   Why is that? What is the significance of an inverted or flat yield curve?
[00:01:07.040 --> 00:01:12.800]   Well when it's inverted it means that people are not bullish or optimistic about the future
[00:01:12.800 --> 00:01:15.640]   So they're unwilling to invest in the future
[00:01:15.640 --> 00:01:21.360]   Because they're uncertain about the future right the worst case World War three happens
[00:01:21.360 --> 00:01:27.920]   You know one to ten percent chance some people say and if that happens, there's gonna be a tremendous amount of pain
[00:01:27.920 --> 00:01:35.680]   So instead people want to invest in shorter duration. They're gonna accept lower returns for the higher probability that they'll get their money back
[00:01:35.680 --> 00:01:41.520]   Thankfully expectations for aggressive Fed rate hikes over the next 12 to 24 months have declined
[00:01:41.520 --> 00:01:44.040]   However, even if the Fed doesn't hike at all
[00:01:44.040 --> 00:01:49.740]   The yield curve could still turn negative since the Fed doesn't control the Treasury bond market
[00:01:49.780 --> 00:01:54.920]   The market does and this is something very important for people to understand when everybody
[00:01:54.920 --> 00:02:00.580]   You know might freak out about the Fed hiking rates and they're like, oh no mortgage rates are gonna go up
[00:02:00.580 --> 00:02:06.900]   Well, that's not necessarily the case at all because the Fed doesn't control the bond market the market does you and I do
[00:02:06.900 --> 00:02:10.560]   The Fed could be behind or ahead of the curve
[00:02:10.560 --> 00:02:14.160]   You just don't know I would rather trust the market then, you know
[00:02:14.160 --> 00:02:21.880]   Seven Fed board governors the second reason why a recession could be imminent is because long bond yields are not spiking with surging
[00:02:21.880 --> 00:02:23.260]   energy prices
[00:02:23.260 --> 00:02:26.840]   Energy prices are obviously surging due to the war in Ukraine
