
[00:00:00.000 --> 00:00:05.060]   You've been saving, optimizing, and doing all the right things, but what if putting life off
[00:00:05.060 --> 00:00:10.000]   until retirement means missing the very moments you've been working so hard for? Instead of
[00:00:10.000 --> 00:00:16.080]   grinding until you're 65 or 70, imagine taking a mini retirement every few years. Time off not
[00:00:16.080 --> 00:00:21.280]   just to relax, but to invest in your health, your family, your dreams, and the version of yourself
[00:00:21.280 --> 00:00:27.120]   you rarely have time to prioritize. And here's the twist. It might actually accelerate your career,
[00:00:27.120 --> 00:00:32.720]   unlock new opportunities, and grow your wealth in the long run. As my guest Jillian puts it,
[00:00:32.720 --> 00:00:37.720]   by having those consistent breaks, a mini retirement can be almost like a capital investment
[00:00:37.720 --> 00:00:41.260]   into your personal life. And it's way more feasible than you might think,
[00:00:41.260 --> 00:00:46.980]   even without a high income. So today we'll break down exactly how to make a mini retirement a reality,
[00:00:46.980 --> 00:00:51.440]   how to fund it, how to talk to your employer or structure it around your business, and how,
[00:00:51.440 --> 00:00:56.700]   if done right, it can even pay for itself over time. I'm Chris Hutchins. If you enjoyed this episode,
[00:00:56.840 --> 00:01:01.020]   please share it with a friend or leave a comment or review. And if you want to keep upgrading your life,
[00:01:01.020 --> 00:01:06.600]   money, and travel, click follow or subscribe. Jillian, why is the idea of one big retirement
[00:01:06.600 --> 00:01:13.760]   at the end of your life, a flawed model? I mean, it's probably not the worst, but it's definitely not
[00:01:13.760 --> 00:01:20.580]   the most optimal. And there's a lot of benefits to taking little retirements. But I would say the one
[00:01:20.580 --> 00:01:26.820]   one that probably resonates the most is the fact that there are seasons in life with expiration dates.
[00:01:26.820 --> 00:01:33.920]   So if your plan is to work super hard for 40 years and never take a break with the idea of when I get
[00:01:33.920 --> 00:01:41.320]   65, I'll do all those things that I never did. I can delay my life until then. You might realize that
[00:01:41.320 --> 00:01:47.120]   there's certain seasons of life that passed you by. Your kids aren't five and seven anymore. They can't
[00:01:47.120 --> 00:01:52.100]   do this massive road trip with you. Your parents aren't still healthy enough to hike through Ireland
[00:01:52.100 --> 00:01:58.880]   with you. Maybe your health isn't what it was. Maybe your preferences changed. And backpacking through
[00:01:58.880 --> 00:02:04.460]   Europe and sleeping in hostels, you're like, I don't know if that's my jam anymore. But if you are hoping that
[00:02:04.460 --> 00:02:11.000]   you can just delay all these amazing things till the end, some things will wait. But there's a whole bunch
[00:02:11.000 --> 00:02:16.560]   of stuff that won't. I just had this conversation with a friend yesterday, where he and I both have two
[00:02:16.560 --> 00:02:23.160]   daughters. And they're both in that like, three to seven year range. And we were like, in 10 years, our
