
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:07.220]   We close out the week with another question
[00:00:07.220 --> 00:00:09.080]   on marital intimacy.
[00:00:09.080 --> 00:00:11.520]   This question is even more frank than yesterday's,
[00:00:11.520 --> 00:00:15.560]   so obviously it's intended for mature audiences only.
[00:00:15.560 --> 00:00:19.760]   Steve, a listener, writes in with a common question
[00:00:19.760 --> 00:00:23.700]   that we get in the inbox pretty regularly, Pastor John.
[00:00:23.700 --> 00:00:25.280]   He writes this, "Hello, Pastor John.
[00:00:25.280 --> 00:00:28.220]   "In episode number 475, you talked about sexual attraction
[00:00:28.220 --> 00:00:31.500]   "and argued that it is not essential for marriage.
[00:00:31.500 --> 00:00:33.300]   "I am married to a gracious woman
[00:00:33.300 --> 00:00:36.620]   "who will gladly oblige me if I ask her,
[00:00:36.620 --> 00:00:39.040]   "but I find that though I do need sex,
[00:00:39.040 --> 00:00:42.020]   "I do not desire it when I know she obliges
[00:00:42.020 --> 00:00:45.820]   "without any sexual desire for me.
[00:00:45.820 --> 00:00:49.300]   "If I sense she is getting no enjoyment out of the act,
[00:00:49.300 --> 00:00:52.960]   "it makes it feel utterly disgusting to me.
[00:00:52.960 --> 00:00:55.680]   "What advice would you have for me?"
[00:00:55.680 --> 00:00:59.980]   My heart aches for Steve when I hear this.
[00:00:59.980 --> 00:01:04.040]   I know exactly what he means,
[00:01:04.040 --> 00:01:08.780]   and I think it's normal and healthy,
[00:01:08.780 --> 00:01:13.540]   maybe with the exception of when he said,
[00:01:13.540 --> 00:01:15.100]   "I feel disgust at that moment."
[00:01:15.100 --> 00:01:18.060]   I'm gonna come back to that and caution him,
[00:01:18.060 --> 00:01:19.380]   but I do agree.
[00:01:19.380 --> 00:01:24.380]   God made sexual relations to be profoundly mutual.
[00:01:25.200 --> 00:01:27.360]   Mutual in marriage.
[00:01:27.360 --> 00:01:31.880]   Each gives, each receives, each feels the act
[00:01:31.880 --> 00:01:36.080]   as the consummation of a wider and deeper spiritual
[00:01:36.080 --> 00:01:39.280]   and personal union for which sex
[00:01:39.280 --> 00:01:44.160]   is only one of the capstones, but an important one.
[00:01:44.160 --> 00:01:49.160]   Each is saying to you and you only do I give in this way
[00:01:49.600 --> 00:01:54.600]   and from you and from you only do I receive in this way.
[00:01:54.600 --> 00:01:59.460]   There's so many levels at which the mutuality
[00:01:59.460 --> 00:02:03.100]   of sexual relations is significant.
[00:02:03.100 --> 00:02:08.100]   So yes to his dismay and sadness at the lack of mutuality.
[00:02:08.100 --> 00:02:17.300]   Steve's experience in one form or another, alas,
[00:02:17.300 --> 00:02:18.820]   is quite common.
[00:02:18.820 --> 00:02:20.840]   We need to broaden it out and think about it for a moment.
[00:02:20.840 --> 00:02:25.000]   Couples seldom have the same level of interest
[00:02:25.000 --> 00:02:28.160]   and passion about sexual relations,
[00:02:28.160 --> 00:02:32.760]   and that relates to frequency, location, timing,
[00:02:32.760 --> 00:02:36.880]   methods, privacy, kinds of touch.
[00:02:36.880 --> 00:02:40.680]   No couple has the same comfort level
[00:02:40.680 --> 00:02:43.000]   with all these variables.
[00:02:43.000 --> 00:02:45.360]   So it sounds like Steve is dealing
[00:02:45.360 --> 00:02:49.360]   with a particularly difficult example
[00:02:49.360 --> 00:02:51.960]   of what is virtually common to every couple,
[00:02:51.960 --> 00:02:56.960]   how to live sexually when desires in all these areas
[00:02:56.960 --> 00:03:01.500]   are often significantly different,
[00:03:01.500 --> 00:03:03.240]   or at least in some of them.
[00:03:03.240 --> 00:03:07.320]   So here's the key passage of Scripture
[00:03:07.320 --> 00:03:10.760]   where Paul addresses this pretty directly.
[00:03:10.760 --> 00:03:13.440]   First Corinthians 7, three through five.
[00:03:13.440 --> 00:03:18.440]   The husband should give to his wife her conjugal rights,
[00:03:18.440 --> 00:03:20.560]   her marriage rights.
[00:03:20.560 --> 00:03:21.960]   That means sex.
[00:03:21.960 --> 00:03:25.040]   And likewise, the wife to her husband.
[00:03:25.040 --> 00:03:28.660]   For the wife does not have authority over her own body,
[00:03:28.660 --> 00:03:30.200]   but the husband does.
[00:03:30.200 --> 00:03:32.520]   Likewise, the husband does not have authority
[00:03:32.520 --> 00:03:34.920]   over his own body, but the wife does.
[00:03:34.920 --> 00:03:39.920]   Do not deprive one another except perhaps by agreement
[00:03:40.880 --> 00:03:44.320]   for a limited time that you may devote yourselves to prayer,
[00:03:44.320 --> 00:03:48.440]   but then come together again so that Satan may not tempt you
[00:03:48.440 --> 00:03:51.040]   because of your lack of self-control.
[00:03:51.040 --> 00:03:54.160]   Now, the most obvious thing in this passage
[00:03:54.160 --> 00:03:58.760]   is that Paul commends relatively frequent sexual relations.
[00:03:58.760 --> 00:04:02.340]   Do not deprive one another except perhaps by agreement
[00:04:02.340 --> 00:04:05.800]   for a limited time, but then come together again
[00:04:05.800 --> 00:04:08.400]   so that Satan may not tempt you.
[00:04:08.400 --> 00:04:13.400]   What's less obvious is that whose desires should govern
[00:04:13.400 --> 00:04:21.800]   how this act of sex happens is perplexing.
[00:04:21.800 --> 00:04:25.940]   What happens if you say,
[00:04:25.940 --> 00:04:31.680]   wife, accede to your husband's desires.
[00:04:31.680 --> 00:04:35.340]   Husband, accede to your wife's desires,
[00:04:35.340 --> 00:04:37.320]   which is in fact what he says.
[00:04:37.320 --> 00:04:41.120]   For the wife does not have authority over her own body,
[00:04:41.120 --> 00:04:44.740]   but the husband does, so he can do as he pleases.
[00:04:44.740 --> 00:04:47.440]   Likewise, the husband does not have authority
[00:04:47.440 --> 00:04:49.320]   over his own body, but the wife does,
[00:04:49.320 --> 00:04:52.000]   so she can do as she pleases.
[00:04:52.000 --> 00:04:55.620]   Well, so she gets to call the shots
[00:04:55.620 --> 00:04:58.880]   and he gets to call the shots.
[00:04:58.880 --> 00:05:03.880]   Now, what do you do if the shots are not the same?
[00:05:03.880 --> 00:05:05.960]   I don't think Paul slipped up here.
[00:05:05.960 --> 00:05:07.600]   Oops, contradicted myself.
[00:05:07.600 --> 00:05:08.900]   That's not very helpful.
[00:05:08.900 --> 00:05:11.680]   Paul is not that kind of person
[00:05:11.680 --> 00:05:14.000]   and he's guided by the Holy Spirit.
[00:05:14.000 --> 00:05:16.760]   I think he knew exactly what he was doing.
[00:05:16.760 --> 00:05:20.320]   He knew that he was dealing with one of the deepest,
[00:05:20.320 --> 00:05:25.320]   most complex emotional moments in human life,
[00:05:25.320 --> 00:05:29.100]   which means that any simple formula
[00:05:29.100 --> 00:05:33.720]   for who gets to do what and when and where and how,
[00:05:33.720 --> 00:05:38.320]   a simple formula will not fit reality.
[00:05:38.320 --> 00:05:42.320]   The reality is that in a Christian marriage
[00:05:42.320 --> 00:05:45.980]   where the couple are growing in grace,
[00:05:45.980 --> 00:05:50.980]   they will figure this out along the lines of Romans 12.10,
[00:05:50.980 --> 00:05:56.200]   outdo one another in showing honor,
[00:05:56.200 --> 00:05:58.880]   or you could say grace or mercy or love
[00:05:58.880 --> 00:06:01.520]   or kindness or gentleness or whatever.
[00:06:01.520 --> 00:06:04.680]   It's the most wonderful kind of competition,
[00:06:04.680 --> 00:06:07.760]   outdo one another in showing honor.
[00:06:07.760 --> 00:06:12.480]   She will want to honor him by giving him what he desires.
[00:06:12.480 --> 00:06:14.740]   And he will want to honor her
[00:06:14.740 --> 00:06:17.420]   by giving her what she desires,
