
[00:00:00.500 --> 00:00:01.920]   - Good afternoon.
[00:00:01.920 --> 00:00:05.880]   It is such a joy to be with you all.
[00:00:05.880 --> 00:00:10.520]   I am so thankful, not only to proclaim the word of God,
[00:00:10.520 --> 00:00:13.020]   but to sing with you all.
[00:00:13.020 --> 00:00:17.100]   I think there are so many evidences and illustrations
[00:00:17.100 --> 00:00:19.640]   of truth triumphing as we walk through
[00:00:19.640 --> 00:00:24.640]   the text of scripture, but one of them is us being together
[00:00:26.400 --> 00:00:31.400]   and us singing together and the weight of one voice
[00:00:31.400 --> 00:00:35.920]   crying out the same truth.
[00:00:35.920 --> 00:00:38.880]   Though we are scattered to the ends of the earth,
[00:00:38.880 --> 00:00:43.400]   we can come together and declare in one accord
[00:00:43.400 --> 00:00:47.380]   the universal, eternal truth of the word of God in song.
[00:00:47.380 --> 00:00:51.940]   That is indicative that truth has triumphed.
[00:00:51.940 --> 00:00:55.440]   That truth has triumphed to the ends of the earth.
[00:00:55.440 --> 00:00:59.940]   It has gone not only far and wide, but deep into the soul
[00:00:59.940 --> 00:01:02.840]   to regenerate the heart so that we all have
[00:01:02.840 --> 00:01:07.440]   the same affections and we all love the same Christ
[00:01:07.440 --> 00:01:11.560]   and he means to us the same thing
[00:01:11.560 --> 00:01:14.780]   who occupies the greatest love of our heart.
[00:01:14.780 --> 00:01:18.000]   It's an honor to be with you brothers.
[00:01:18.000 --> 00:01:21.720]   We are a band of brothers together
[00:01:22.840 --> 00:01:27.840]   and that bond is indicative that truth triumphs.
[00:01:27.840 --> 00:01:29.640]   Never forget that.
[00:01:29.640 --> 00:01:34.560]   Well, shall we dedicate this time to the Lord?
[00:01:34.560 --> 00:01:41.280]   Our God and Father, may it be that even now
[00:01:41.280 --> 00:01:47.080]   you instill in our heart a burning desire
[00:01:47.080 --> 00:01:48.940]   for your name to be honored,
[00:01:50.040 --> 00:01:53.880]   for the things of this world to grow dim,
[00:01:53.880 --> 00:01:58.880]   and for the bright glories of heaven to be exalted,
[00:01:58.880 --> 00:02:01.480]   and that your son will be put on high,
[00:02:01.480 --> 00:02:05.600]   higher than he ever has been in our hearts and our souls.
[00:02:05.600 --> 00:02:09.520]   And we ask this not for our own sake,
[00:02:09.520 --> 00:02:14.520]   but for the sake of your son through whom and for whom
[00:02:14.520 --> 00:02:19.800]   are all things ordained, that he would be magnified,
[00:02:19.800 --> 00:02:23.480]   that he would be accentuated,
[00:02:23.480 --> 00:02:29.400]   that the heights of his glory and the depths of who he is
[00:02:29.400 --> 00:02:32.160]   would be able to be expounded into our finite
[00:02:32.160 --> 00:02:35.800]   and limited minds, and that every fiber of our being
[00:02:35.800 --> 00:02:38.120]   would be captured unto him now.
[00:02:38.120 --> 00:02:42.600]   And that we would love him and love your plan
[00:02:42.600 --> 00:02:47.600]   and know all of your promise and thereby persevere.
[00:02:48.400 --> 00:02:53.400]   Persevere unto a great moment
[00:02:53.400 --> 00:02:58.120]   when heaven declares to the earth
[00:02:58.120 --> 00:03:02.100]   the worthiness of the one who has always been worthy.
[00:03:02.100 --> 00:03:06.360]   And so may this time, O God, be one of great worship.
[00:03:06.360 --> 00:03:09.880]   Grant us clarity of speech and clarity of thought
[00:03:09.880 --> 00:03:13.520]   so that you would be honored
[00:03:13.520 --> 00:03:18.240]   the way you always have deserved to be honored.
[00:03:18.240 --> 00:03:22.280]   And we ask this in your name, amen.
[00:03:22.280 --> 00:03:27.360]   When we think about the matter of perseverance,
[00:03:27.360 --> 00:03:30.600]   there are several principles that we could talk about
[00:03:30.600 --> 00:03:34.600]   that fortify our soul to endurance.
[00:03:34.600 --> 00:03:37.640]   But one of the keys to perseverance,
[00:03:37.640 --> 00:03:41.800]   one of the keys to perseverance is this reality,
[00:03:41.800 --> 00:03:44.440]   that truth triumphs.
