
[00:00:00.000 --> 00:00:08.460]   So I presented the other three Anthropic SAE kind of Macinturb papers. I think I'll just share
[00:00:08.460 --> 00:00:13.160]   slides after this. So if people want to go through them, go through them. But basically the very,
[00:00:13.160 --> 00:00:18.420]   very first one that they did was like, okay, forget LLM's. Let's just see if we can interpret
[00:00:18.420 --> 00:00:28.860]   basic stuff in a transformer. So let's just pull it up. Anthropic SAE. So the first one was basically
[00:00:28.860 --> 00:00:33.800]   let's take a toy model. I think it was just like, you know, three layers. Like they had a basic
[00:00:33.800 --> 00:00:39.280]   encoder and then, you know, the sparse auto encoder. And they just trained a toy model,
[00:00:39.280 --> 00:00:43.920]   like a couple hundred million parameters that input output, and they have this middle layer,
[00:00:43.920 --> 00:00:48.180]   which was just an encoder. Can we start to interpret what's going on in that encoder?
[00:00:48.180 --> 00:00:54.260]   Turns out, yeah, they can find some features. After that, they had like, or that was just
[00:00:54.260 --> 00:00:58.680]   encoders. Then they started to make it sparse. This was kind of the big one that became pretty
[00:00:58.680 --> 00:01:05.600]   popular. I think this came out in May. We covered it shortly after. They applied this SAE work to
[00:01:05.600 --> 00:01:11.620]   CloudSonnet. They found out, oh shit, we can find out features that happen in the model. So they
[00:01:11.620 --> 00:01:17.340]   basically train a sparse auto encoder to match these inputs and outputs. And then they start to
[00:01:17.340 --> 00:01:26.560]   interpret them and match out features. High level TLDR is we can now map features that activate in this
[00:01:26.560 --> 00:01:31.460]   sparse auto encoder. So the whole thing is you train an encoder to stay sparse. You only want
[00:01:31.460 --> 00:01:36.780]   a very few number of features to activate for outputs. In this case, they found out stuff like
[00:01:36.780 --> 00:01:41.760]   Golden Gate Claude. There's specific features that they trained in their little auto encoder
[00:01:41.760 --> 00:01:48.420]   that, you know, activate when specific topics come up. So they had a feature that would always fire up for
[00:01:48.480 --> 00:01:53.960]   words like Golden Gate. They had stuff for like tourism, for infrastructure. There were features
[00:01:53.960 --> 00:01:59.920]   that extended throughout like multiple concepts. So, you know, it's not just one feature to one thing.
[00:01:59.920 --> 00:02:05.840]   But yeah, they have a pretty good long blog post on this. They started grouping them. They had different
[00:02:05.840 --> 00:02:15.140]   sizes. So they had a one mil, four mil, 34 mil size auto encoder. From there, you know, it's been a few
[00:02:15.140 --> 00:02:21.120]   months and now they're like, okay, no more essays. Let's do circuit training. So basically essays were
[00:02:21.120 --> 00:02:26.420]   good, but we, we kind of had a holistic understanding, right? You can apply an essay for every layer and
[00:02:26.420 --> 00:02:32.280]   try to understand what happens in layers, or you can apply it for like, you know, just specific parts of
[00:02:32.280 --> 00:02:37.180]   the model. You can do it in tension blocks and you can try to interpret what parts of them are firing up,
[00:02:37.180 --> 00:02:42.580]   but this is where they started to come in with circuit training. So circuit training is where you
[00:02:42.580 --> 00:02:47.900]   actually train a transcoder model to mimic the input model and you can do this across layers. So
[00:02:47.900 --> 00:02:57.040]   this model actually, it matches the input model layer by layer and it, you know, it maps out what's going
[00:02:57.040 --> 00:03:07.840]   on. I'll be right back in a second. I was stuck. Sorry. Doggo is crying. Okay. So circuit training,
[00:03:07.840 --> 00:03:11.620]   this came out a few weeks ago, and this is kind of the high level overview of what they're doing here.
[00:03:11.620 --> 00:03:18.940]   Basically, they, they train this cross link transcoder and they start poking around in a cloud 3.5 haiku,
[00:03:18.940 --> 00:03:25.580]   and they start to find features that are consistent throughout layers. Hey Siri, stop so many
[00:03:25.580 --> 00:03:31.580]   notifications. Um, so some of the interesting stuff here is they try to see like, can models internally
[00:03:31.580 --> 00:03:37.740]   think like when they answer questions, like things that take two different steps, does the model start
[00:03:37.740 --> 00:03:42.300]   to think through its response in advance, or is it just, you know, token predicting? And they, they find
[00:03:42.300 --> 00:03:48.060]   interesting little case studies where actually the model is doing some thinking. So the first main example
[00:03:48.060 --> 00:03:58.460]   that they show here is like, um, there's this prompt of what is the capital of the state that includes like
[00:03:58.460 --> 00:04:03.740]   Austin and you're supposed to say Texas, right? So this is kind of a question that has two steps of thinking,
