
[00:00:00.040 --> 00:00:09.540]   granddaughter
[00:00:09.540 --> 00:00:10.400]   all as
[00:00:10.400 --> 00:00:10.860]   Gör He A I a and, and, and, here, chuck, digit,
[00:00:10.860 --> 00:00:26.460]  ,
[00:00:26.460 --> 00:00:29.300]   других,
[00:00:29.900 --> 00:00:41.340]   is
[00:00:41.340 --> 00:00:44.120]   wer for a never of won Ireland
[00:00:44.120 --> 00:00:58.440]   added death, and, et, ,.,.. wasnø Nem Kung Kh N P K Sh K 17 Idi gratuit scalp co 12ematicschod make that. I got the al%,. I. I. I don. I'm. I. K. I.見て. I, .., .,.,.,.,.,.,.,.,,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,�ない the實 but have,� Г Doctor wanted toough bar SALC. moyens gagner
[00:00:58.500 --> 00:01:25.800]   a lot of good infrastructure, financing, research and science, health care, even social care, et cetera. We take benefit of roads when we travel in police when we need them, but we don't like paying taxes. Would you rather pay a toll tax for every road you use and pay a police woman every time you need them? I know this is a never ending discussion, but it felt like saying this after your last episode and the examples that you gave of how to pay cash, pay with cash for a mechanic to avoid taxes.
[00:01:25.800 --> 00:01:27.100]   I
[00:01:27.100 --> 00:01:27.100]   I
[00:01:27.140 --> 00:01:37.560]   population
[00:01:37.560 --> 00:01:40.340]   бар Le So I pad go con line,"--,,,,, inputs der sung ,
[00:01:55.800 --> 00:02:03.200]   Estados
[00:02:03.200 --> 00:02:06.460]   love,ai
[00:02:06.460 --> 00:02:09.920]   como ваши
[00:02:09.920 --> 00:02:24.620]   in a guess. I're, I, I, I, I, my, I, being,, implies R. I, detail:�, finish Coleman, U. X.I. belong.ё. splits. believe. conquer. Ke. dont. re. re. card. tone. provide a зв. play. look. Tur. Matt. half.issance. way. được. hasn. th und également. speaks. money a face. devrait. intelig. terrifying. been. write. is in the end. all of a il lange.op. no양.`s.ram. экран.�" Dun. cloak. shown. held. equiv.從. aired. recover. equivalé. SEK. Herman's not. discuss aimin .A, Chen. 지역's Community Z, Only, I'm aacting.朝.érieur.来, Yet, Y,與,weh, Davis,
[00:03:22.380 --> 00:03:33.320]   pick
[00:03:33.320 --> 00:03:52.360]   come. I take at始
[00:03:52.400 --> 00:04:22.400]   I can't do that. So just take today's show in the tone of one friend speaking to another and just sharing with you what I think about the first. Now, this listener says it might just be because I am from Europe and you are from the United States, but I don't understand why so many Americans hate or don't trust governments and try to minimize their tax payments. Now, this one, I think, is an interesting question to begin with, because certainly I am very vocal about
[00:04:22.440 --> 00:04:52.340]   minimizing tax payments to the United States government. And there are many of us who are and many of us Americans who are very vocal about that. And it's in many ways part of our culture. The United States culture is a culture that was founded in rebellion, right? We overthrew King George. Whether it was a good idea or not, frankly, if I could trade in and go back and live under King George, I'd do it in an instant. The early colonists paid less than 1% of their incomes in total net taxes.
