
[00:00:00.000 --> 00:00:03.520]   Jamal do you hear that Friberg got busted looking at porn in his computer?
[00:00:03.520 --> 00:00:09.160]   You know what it was yeah
[00:00:09.160 --> 00:00:18.600]   I think he was pleasuring himself to that
[00:00:18.600 --> 00:00:22.760]   Skin flu
[00:00:22.760 --> 00:00:26.900]   You have to go for a quick game of pocket pool. How's your oh my god?
[00:00:27.880 --> 00:00:33.120]   It's too exciting you were beating the bishop Allison came in and just like wondering what was going on
[00:00:33.120 --> 00:00:35.640]   She grabbed my computer as you looked at it, and it was an essay
[00:00:52.880 --> 00:00:59.000]   All right before we get to doge we got a little housekeeping little housey housekeeping, you know
[00:00:59.000 --> 00:01:05.520]   We're getting into the holiday spirit here. It's episode 205. We're in year four and we're having a Christmas party
[00:01:05.520 --> 00:01:08.500]   It's gonna be great. The all-in holiday
[00:01:08.500 --> 00:01:11.440]   Spectacular is happening in San Francisco
[00:01:11.440 --> 00:01:19.920]   on Saturday December 7th, I think the VIP sold out there's still some tickets left go to all in comm slash events and
[00:01:20.800 --> 00:01:26.320]   If you can't make it to San Francisco, I think you can buy a ticket for $50 on
[00:01:26.320 --> 00:01:31.840]   On the zoom. I think we're gonna have it on zoom. Is that right? I might do I have my facts straight there free berg
[00:01:31.840 --> 00:01:35.040]   Yeah, there's gonna be a live stream
[00:01:35.040 --> 00:01:39.600]   Thanks to zoom for setting this up for us. It's kind of interesting
[00:01:39.600 --> 00:01:43.760]   They're doing this thing where you could you kind of you know get access to live events
[00:01:43.760 --> 00:01:50.600]   So they're helping us get this set up. You want to watch the stream live on zoom anything's possible
[00:01:50.600 --> 00:01:52.600]   It could be spicy
[00:01:52.600 --> 00:01:54.000]   Through that. All right
[00:01:54.000 --> 00:02:00.600]   Listen best eat you on and bestie Vivek wrote an op-ed a barnburner in the Wall Street
[00:02:00.600 --> 00:02:06.760]   Journal about doge the Department of Government efficiency and they laid it out
[00:02:06.760 --> 00:02:10.200]   They want to cut overbearing and unnecessary regulation
[00:02:10.200 --> 00:02:16.720]   Obviously, they want to cut unnecessary administrative roles save taxpayers money. They want to run it by founders non-politicians
[00:02:16.720 --> 00:02:18.640]   helping
[00:02:18.640 --> 00:02:24.720]   The Trump transition team find a way to hire quote a lean team of small government Crusaders
[00:02:24.720 --> 00:02:31.440]   Teams gonna work closely with the White House Office of Management and Budget. Here's the plan first a game at
[00:02:31.440 --> 00:02:39.360]   500 billion in annual federal expenditures that are unauthorized by Congress then fix the government's procurement process by conducting massive
[00:02:39.360 --> 00:02:41.360]   audits during
[00:02:41.360 --> 00:02:45.000]   Temporary payment suspensions. This is an interesting playbook that
[00:02:45.720 --> 00:02:47.720]   Elon has done before so basically
[00:02:47.720 --> 00:02:51.440]   Suspend all the payments and hey, let everybody
[00:02:51.440 --> 00:02:57.080]   Audit those payments drive change through executive action based on existing
[00:02:57.080 --> 00:03:02.840]   Legislation rather than passing new laws and to SCOTUS rulings are gonna play a major role here
[00:03:02.840 --> 00:03:05.080]   West Virginia versus EPA
[00:03:05.080 --> 00:03:13.160]   That's when SCOTUS rule that federal agencies can't impose regulations dealing with major economic or policy questions unless Congress
