
[00:00:00.000 --> 00:00:06.000]   Welcome back everyone.
[00:00:06.000 --> 00:00:08.000]   This is the fourth and final screencast
[00:00:08.000 --> 00:00:09.940]   in our series on in-context learning.
[00:00:09.940 --> 00:00:12.960]   I'm going to talk about techniques for in-context learning and then
[00:00:12.960 --> 00:00:17.620]   suggest some future directions for you in your own research in this space.
[00:00:17.620 --> 00:00:22.760]   As before, I'm nervous about giving this screencast because it's essentially
[00:00:22.760 --> 00:00:25.640]   certain that what turns out to be a really powerful technique for
[00:00:25.640 --> 00:00:28.080]   in-context learning will be discovered in a few months,
[00:00:28.080 --> 00:00:29.920]   making some of this seem outdated.
[00:00:29.920 --> 00:00:33.760]   In fact, one of you might go off and discover precisely that technique,
[00:00:33.760 --> 00:00:36.320]   which will make this screencast seem incomplete.
[00:00:36.320 --> 00:00:37.880]   Nonetheless, I press on,
[00:00:37.880 --> 00:00:41.800]   I feel confident that we've learned important lessons about what works and what
[00:00:41.800 --> 00:00:46.400]   doesn't and those will carry forward no matter what happens in the field.
[00:00:46.400 --> 00:00:51.440]   Let's dive in. Let's start with the core concept of a demonstration.
[00:00:51.440 --> 00:00:56.360]   This is an idea that stretches back at least to the GPT-2 paper and is indeed
[00:00:56.360 --> 00:01:01.400]   incredibly powerful in terms of designing effective in-context learning systems.
[00:01:01.400 --> 00:01:05.740]   Let me illustrate in the context of few-shot open domain question answering,
[00:01:05.740 --> 00:01:09.560]   which is our topic for the associated homework and bake-off.
[00:01:09.560 --> 00:01:12.300]   Imagine that we're given the question, who is Bert?
[00:01:12.300 --> 00:01:14.520]   We're going to prompt our language model with this question and
[00:01:14.520 --> 00:01:17.440]   hope that it can generate a good answer.
[00:01:17.440 --> 00:01:20.160]   By now, you probably have an intuition that it would be
[00:01:20.160 --> 00:01:24.920]   effective to retrieve a context passage to insert into the prompt,
[00:01:24.920 --> 00:01:26.920]   to help the model to provide it
[00:01:26.920 --> 00:01:30.480]   some evidence that it can use for answering the question.
[00:01:30.480 --> 00:01:34.960]   The idea behind demonstrations is that it might also help to show
[00:01:34.960 --> 00:01:40.000]   the model examples of the kind of behaviors that we would like to elicit.
[00:01:40.000 --> 00:01:43.760]   Maybe we have a train set of QA pairs and we fetch
[00:01:43.760 --> 00:01:47.600]   one of those QA pairs and insert it into the prompt.
[00:01:47.600 --> 00:01:49.920]   Here I've put the question, who is Kermit?
[00:01:49.920 --> 00:01:52.640]   We would also insert the answer.
[00:01:52.640 --> 00:01:55.520]   But this is your first real choice point here.
[00:01:55.520 --> 00:01:58.480]   Of course, you could use the answer that comes
[00:01:58.480 --> 00:02:01.400]   directly from your train set of QA pairs,
[00:02:01.400 --> 00:02:02.740]   and that could be effective.
[00:02:02.740 --> 00:02:04.600]   It will be a gold answer.
[00:02:04.600 --> 00:02:09.400]   But counter-intuitively, it could be useful to instead use
[00:02:09.400 --> 00:02:13.040]   an answer that you retrieve from some data store,
[00:02:13.040 --> 00:02:15.320]   or even generate using
[00:02:15.320 --> 00:02:18.360]   the very language model that you are prompting right now.
[00:02:18.360 --> 00:02:21.640]   That could be good in terms of maybe finding
[00:02:21.640 --> 00:02:23.640]   demonstrations that are attuned to what
[00:02:23.640 --> 00:02:26.280]   your language model is actually capable of doing,
[00:02:26.280 --> 00:02:29.240]   versus just relying on the gold QA pairs which might be
[00:02:29.240 --> 00:02:32.400]   disconnected from the behavior of your model.
[00:02:32.400 --> 00:02:34.840]   The same lesson applies to
[00:02:34.840 --> 00:02:36.560]   the evidence passages that we would
[00:02:36.560 --> 00:02:38.880]   give for each one of these demonstrations.
[00:02:38.880 --> 00:02:40.840]   We could, of course, if we have them,
[00:02:40.840 --> 00:02:44.000]   just use the gold passage from the train data.
[00:02:44.000 --> 00:02:48.020]   But since this is a retrieve passage down here,
[00:02:48.020 --> 00:02:49.840]   it might be better in terms of
[00:02:49.840 --> 00:02:52.240]   exemplifying the intended behaviors to
[00:02:52.240 --> 00:02:54.960]   retrieve a passage instead of using a gold one to
[00:02:54.960 --> 00:02:57.040]   better align with the experience
[00:02:57.040 --> 00:02:59.880]   the model actually has for our target question.
[00:02:59.880 --> 00:03:01.240]   Again, it's counter-intuitive.
[00:03:01.240 --> 00:03:02.440]   We have this gold passage.
[00:03:02.440 --> 00:03:04.280]   Why would you use a retrieved one?
[00:03:04.280 --> 00:03:07.200]   It's because it comes closer to simulating
[00:03:07.200 --> 00:03:10.720]   the situation that your model is actually in.
[00:03:10.720 --> 00:03:13.520]   That's just one lesson for demonstrations.
[00:03:13.520 --> 00:03:15.160]   Let's think more broadly about this.
[00:03:15.160 --> 00:03:17.440]   How might you choose demonstrations?
[00:03:17.440 --> 00:03:20.120]   Of course, you could just randomly choose them from
[00:03:20.120 --> 00:03:23.120]   available data but perhaps you could do better.
[00:03:23.120 --> 00:03:25.640]   Maybe you should choose your demonstrations based
[00:03:25.640 --> 00:03:29.440]   on relationships that they have to your target example.
[00:03:29.440 --> 00:03:31.160]   For example, in generation,
[00:03:31.160 --> 00:03:33.760]   you might choose examples that are retrieved
[00:03:33.760 --> 00:03:37.280]   based on similarity in some sense to the target input.
[00:03:37.280 --> 00:03:41.040]   Or for classification, you might select demonstrations to
[00:03:41.040 --> 00:03:46.200]   help the model implicitly determine the target input type.
[00:03:46.200 --> 00:03:48.760]   You might also start to filter
[00:03:48.760 --> 00:03:51.880]   your demonstrations to satisfy specific criteria.
[00:03:51.880 --> 00:03:53.760]   For example, in generation,
[00:03:53.760 --> 00:03:55.280]   maybe we want to be sure that
[00:03:55.280 --> 00:03:57.520]   the evidence passage contains
[00:03:57.520 --> 00:04:00.040]   the output string that would help the model
[00:04:00.040 --> 00:04:01.480]   figure out how to grapple with
[00:04:01.480 --> 00:04:03.560]   the evidence that we present to it.
[00:04:03.560 --> 00:04:05.840]   Or in generation, you might want
[00:04:05.840 --> 00:04:08.840]   the language model to be able to predict the correct answer.
[00:04:08.840 --> 00:04:11.760]   That's an idea that I alluded to before.
[00:04:11.760 --> 00:04:15.280]   In classification, maybe a straightforward thing would be to
[00:04:15.280 --> 00:04:17.520]   ensure that your demonstration set for
[00:04:17.520 --> 00:04:20.600]   every prompt includes every label that's
[00:04:20.600 --> 00:04:23.000]   represented in your dataset so that your model has
[00:04:23.000 --> 00:04:26.440]   an example of every possible behavior and isn't
[00:04:26.440 --> 00:04:28.640]   accidentally limited by the sort of
[00:04:28.640 --> 00:04:31.200]   thing that it sees in the prompt.
[00:04:31.200 --> 00:04:33.760]   We could also think about massaging
[00:04:33.760 --> 00:04:36.320]   these demonstrations that we have available to us.
[00:04:36.320 --> 00:04:37.920]   Maybe we sample them and then
[00:04:37.920 --> 00:04:39.840]   rewrite them with the language model.
[00:04:39.840 --> 00:04:41.760]   We could do this to synthesize
[00:04:41.760 --> 00:04:44.560]   across multiple initial demonstrations.
[00:04:44.560 --> 00:04:46.600]   Maybe that's more efficient and allows us
[00:04:46.600 --> 00:04:48.560]   to include more demonstrations.
[00:04:48.560 --> 00:04:50.400]   We could also change the style
[00:04:50.400 --> 00:04:52.760]   or formatting to match the target.
[00:04:52.760 --> 00:04:55.680]   Use the LM to make the demonstrations more
[00:04:55.680 --> 00:04:58.040]   harmonious with what the language model
