
[00:00:00.000 --> 00:00:04.080]   Life feels hard.
[00:00:04.080 --> 00:00:06.840]   It's like work is hard.
[00:00:06.840 --> 00:00:08.360]   Things are expensive.
[00:00:08.360 --> 00:00:10.040]   It's hard to get enough sleep.
[00:00:10.040 --> 00:00:12.080]   Everyone's always blaring at us at all the things
[00:00:12.080 --> 00:00:14.760]   we're supposed to be doing, the world that seems unstable.
[00:00:14.760 --> 00:00:17.040]   So I think many people already feel
[00:00:17.040 --> 00:00:19.640]   like they're inundated with challenge,
[00:00:19.640 --> 00:00:22.320]   even though we're talking about the creature comforts
[00:00:22.320 --> 00:00:23.760]   that we all enjoy.
[00:00:23.760 --> 00:00:26.680]   So if somebody wants to start exploring
[00:00:26.680 --> 00:00:29.680]   leaning into discomfort in the way that grows them
[00:00:29.680 --> 00:00:31.720]   and actually makes those other discomforts
[00:00:31.720 --> 00:00:34.680]   that we're talking about kind of dissolve away,
[00:00:34.680 --> 00:00:37.320]   how should they start to go about that?
[00:00:37.320 --> 00:00:39.920]   - So a couple things come to mind,
[00:00:39.920 --> 00:00:42.400]   and I'm trying to think how to get into it.
[00:00:42.400 --> 00:00:46.240]   And what I think that I will use is an example of myself,
[00:00:46.240 --> 00:00:47.560]   and then I'll kind of unpack that,
[00:00:47.560 --> 00:00:50.000]   and I'll unpack it at a level where we talk about something
[00:00:50.000 --> 00:00:51.720]   where it's kind of a big challenge,
[00:00:51.720 --> 00:00:54.280]   and then also something like people can use every day.
[00:00:54.280 --> 00:00:56.000]   So I'll give you the example of,
[00:00:56.000 --> 00:00:59.360]   for the comfort crisis I go and I spend 30 days in the Arctic
[00:00:59.360 --> 00:01:01.600]   a little more than 30 days.
[00:01:01.600 --> 00:01:06.360]   Now, when I fly up there, I fly from Las Vegas to Anchorage,
[00:01:06.360 --> 00:01:09.000]   Anchorage to Kotzebue, which is this little town,
[00:01:09.000 --> 00:01:11.000]   just 20 miles above the Arctic Circle.
[00:01:11.000 --> 00:01:12.600]   And then from Kotzebue, you get in a plane
[00:01:12.600 --> 00:01:14.600]   that is about the size of a pack of gum,
[00:01:14.600 --> 00:01:16.320]   and you take that plane out, you know,
[00:01:16.320 --> 00:01:17.800]   more than a hundred miles into the Arctic,
[00:01:17.800 --> 00:01:19.600]   and it drops you off.
[00:01:19.600 --> 00:01:22.360]   Now, when I get on that plane from Vegas,
[00:01:22.360 --> 00:01:23.600]   it's like a 747.
[00:01:23.600 --> 00:01:27.360]   And I'm like you, I hate flying, right?
[00:01:27.360 --> 00:01:31.600]   Because seats are too small and cramped, planes too hot,
[00:01:31.600 --> 00:01:34.000]   and the movies in the seat back, they suck, right?
[00:01:34.000 --> 00:01:36.000]   The coffee, not very good.
[00:01:36.000 --> 00:01:37.600]   There's usually a baby crying.
[00:01:37.600 --> 00:01:40.360]   If I need to go to the bathroom, bathroom's totally cramped.
[00:01:40.360 --> 00:01:41.360]   Like flying is just terrible.
[00:01:41.360 --> 00:01:43.360]   I'm like, flying is the worst.
[00:01:43.360 --> 00:01:48.360]   And then I go spend this 30 days in the middle of the Arctic, right?
