
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:08.480]   What happens when you don't pay your taxes?
[00:00:08.480 --> 00:00:11.280]   I mean, you can go to jail,
[00:00:11.280 --> 00:00:13.440]   but like if you don't pay them for like,
[00:00:13.440 --> 00:00:15.400]   if you don't pay enough taxes,
[00:00:15.400 --> 00:00:20.320]   you get a penalty, like a fine.
[00:00:20.320 --> 00:00:23.400]   They also kind of can charge interest, right?
[00:00:23.400 --> 00:00:26.480]   So I'm actually not a tax professional.
[00:00:26.480 --> 00:00:28.800]   I'm actually like not that good at taxes,
[00:00:28.800 --> 00:00:31.880]   but I am good at seeing a great investment opportunity
[00:00:31.880 --> 00:00:34.240]   and here is one I've got for you.
[00:00:34.240 --> 00:00:36.520]   What if I told you,
[00:00:36.520 --> 00:00:41.520]   you could not pay taxes on some of your money
[00:00:41.520 --> 00:00:48.080]   and literally not pay those taxes for decades
[00:00:48.080 --> 00:00:51.400]   and not only will you not pay a penalty,
[00:00:51.400 --> 00:00:54.440]   you will also not be charged interest.
[00:00:54.440 --> 00:00:57.640]   It's like an interest-free loan from the federal government.
[00:00:57.640 --> 00:00:58.720]   When's it due?
[00:00:58.720 --> 00:00:59.560]   I don't know.
[00:00:59.560 --> 00:01:02.120]   Sometime in your distant, distant future.
[00:01:02.120 --> 00:01:07.120]   Sounds like a really sexy, sexy idea, right?
[00:01:07.120 --> 00:01:08.880]   Exciting.
[00:01:08.880 --> 00:01:10.560]   Do y'all wanna hear what this is?
[00:01:10.560 --> 00:01:12.880]   I'm gonna give it to you.
[00:01:12.880 --> 00:01:17.080]   A 401k.
[00:01:17.080 --> 00:01:19.600]   What?
[00:01:19.600 --> 00:01:22.560]   Yes, it's called a 401k.
[00:01:22.560 --> 00:01:23.400]   That's what's happening.
[00:01:23.400 --> 00:01:24.500]   You put a dollar in there,
[00:01:24.500 --> 00:01:27.520]   you don't pay taxes on that dollar
[00:01:27.520 --> 00:01:30.560]   and then you pay back your taxes decades later.
[00:01:30.560 --> 00:01:32.120]   No penalty.
[00:01:32.120 --> 00:01:33.600]   So you're using the government's money.
[00:01:33.600 --> 00:01:36.720]   That money would have come out of your pocket.
[00:01:36.720 --> 00:01:40.440]   So it's in your pocket now.
[00:01:40.440 --> 00:01:42.720]   You get to invest that in stocks and bonds
[00:01:42.720 --> 00:01:44.480]   and then you pay it back later.
[00:01:44.480 --> 00:01:46.440]   Whoa.
[00:01:46.440 --> 00:01:49.860]   So we have this thing,
[00:01:49.860 --> 00:01:53.800]   this deferred taxation bucket
[00:01:55.340 --> 00:01:58.500]   and the guy that created this bucket
[00:01:58.500 --> 00:02:01.440]   literally names it after a line in the tax code
[00:02:01.440 --> 00:02:05.620]   and we wonder why these things are not more popular.
[00:02:05.620 --> 00:02:06.860]   So what we're gonna do today
[00:02:06.860 --> 00:02:11.320]   is we're gonna get super excited about these buckets
[00:02:11.320 --> 00:02:12.980]   because here's what's going on.
[00:02:12.980 --> 00:02:14.520]   I told you already,
[00:02:14.520 --> 00:02:17.680]   we gotta figure out how much to save for our future, right?
