
[00:00:00.000 --> 00:00:21.960]   Hey everyone, I'm very excited to be here. I am very happy that there is an open models track.
[00:00:21.960 --> 00:00:31.460]   So I'm going to talk about the open models of Mistral AI and go a little bit deeper into
[00:00:31.460 --> 00:00:38.840]   why we do open source and how we do open source. So first of all, Mistral AI, we started last
[00:00:38.840 --> 00:00:46.840]   June about one year ago. We released our first open model Mistral 7B in September 23. And
[00:00:46.840 --> 00:00:53.720]   then after that in December, we released our first mixture of experts, open model 8x7B.
[00:00:53.720 --> 00:01:00.600]   And along with that, we released our platform with model APIs, and also commercial models,
[00:01:00.600 --> 00:01:06.460]   Mistral medium and Mistral embed. And then earlier this year in February, we released Mistral
[00:01:06.460 --> 00:01:15.840]   large, which is our flagship model, which has the best in class reasoning and math ability.
[00:01:15.840 --> 00:01:24.920]   And also, uh, in April, we released a new open model 8x22B. And then, uh, very recently
[00:01:24.920 --> 00:01:31.920]   in June, we released a code specific model called costral 22B. And, uh, it's also available,
[00:01:31.920 --> 00:01:38.720]   uh, in the chat interface that we built, uh, along with Mistral large and it's, uh, free to
[00:01:38.720 --> 00:01:51.840]   use. Um, so our mission, um, is to bring frontier AI in everyone's hands. And we specifically focus on
[00:01:51.840 --> 00:02:00.800]   building cutting edge AI for developers. And we have certain principles behind how we go about training
[00:02:00.800 --> 00:02:09.880]   models and releasing them. So the first is openness. We want to train best in class open models and, uh,
[00:02:09.880 --> 00:02:16.880]   release it for, uh, the open source community. We want our models to be portable. Uh, all our models
[00:02:16.880 --> 00:02:22.960]   are available on Azure, AWS, GCP, virtual private cloud, and also they can be deployed, deployed
[00:02:22.960 --> 00:02:31.120]   on-prem, which means, uh, you can, uh, license the model weights and use, use it on your own servers,
[00:02:31.120 --> 00:02:38.960]   uh, with full control over security and privacy of your data. Uh, we try to optimize for the performance to
[00:02:38.960 --> 00:02:45.280]   speed ratio. Uh, our models are particularly good at getting the best performance out of a particular
[00:02:45.280 --> 00:02:56.000]   size. And, um, we want our models to be customizable. Uh, we are building our platform to, with all the
[00:02:56.000 --> 00:03:01.840]   libraries and tools to customize our models, uh, depending on your application. Uh, we recently
[00:03:01.840 --> 00:03:07.360]   released the Mistral fine tune open source library, which can be used to find any of our open source models.
[00:03:07.920 --> 00:03:14.960]   And also, uh, we have a fine tuning API on our, uh, platform. And before that, we also released
[00:03:14.960 --> 00:03:21.040]   Mistral inference, which is the inference library, uh, again, open source. Uh, so I talked about
[00:03:21.040 --> 00:03:29.920]   these three models that we have open, um, sourced in the last one year. The first model is a dense
[00:03:29.920 --> 00:03:36.880]   transformer model. Uh, it was the first model, first 7B model to achieve 60 on MMLU.
[00:03:36.880 --> 00:03:43.520]   And we saw that the 60 MMLU is like, uh, a bare minimum where the models become useful. And this
[00:03:43.520 --> 00:03:51.040]   was the first 7B model to achieve this. And people have, uh, people, people have been using this model
[00:03:51.040 --> 00:03:55.920]   for many, many different applications. And particularly we have seen that this model can be deployed on
[00:03:55.920 --> 00:04:05.840]   laptops and phones, uh, and, uh, still get reasonable speed, uh, on, on device. Uh, we released the first, um, our
[00:04:05.840 --> 00:04:13.680]   first sparse mixture of experts model in December 8X 7B. It's based on the, uh, mixture of experts
[00:04:13.680 --> 00:04:21.120]   architecture, uh, which basically allows us to push the performance of a model while keeping the
[00:04:21.120 --> 00:04:26.640]   inference budget in check. The idea here is we have higher number of total parameters in the model,
[00:04:26.640 --> 00:04:34.800]   which allows the model to, uh, still have the knowledge, uh, stored in the model weights. But at the same time, we use only a small subset of the parameters.
[00:04:34.800 --> 00:04:40.400]   Uh, for every token, which makes it really fast and cost efficient at inference time.
[00:04:40.400 --> 00:04:47.120]   And then we released a bigger version of this sparse mixture of experts architecture 8X 22B in April.
[00:04:47.120 --> 00:04:53.760]   Uh, it has even better performance, higher, uh, context window, and also it's multilingual.
[00:04:53.760 --> 00:05:00.320]   Uh, it supports English, French, Italian, German, Spanish, and also, uh, many other languages.
[00:05:00.320 --> 00:05:19.440]   Um, so a lot of people ask me, if you open source your models, how do you make money? And, uh, I think this is a common misconception that people have that open source is somewhat, uh, competitive with profit.
[00:05:19.440 --> 00:05:29.120]   It's actually not the case. We see open source as, uh, uh, something that is goes hand in hand with profit.
[00:05:29.120 --> 00:05:38.000]   It doesn't necessarily have to be competitive. It can be, uh, complimentary. And, uh, we want to be in this quadrant where
[00:05:38.000 --> 00:05:42.800]   where we can open source our models and still have long term business value with the models.
[00:05:42.800 --> 00:05:50.400]   Um, so why do we open source? So the first reason is it, uh, serves as a very good branding and marketing tool for us.
[00:05:50.400 --> 00:06:00.400]   Um, so we believe in open source and open science, and we want to contribute, uh, to the community, but it's not a, a one way thing.
[00:06:00.400 --> 00:06:06.400]   Uh, we are also benefiting from open source just as the community is benefiting from our models.
[00:06:06.400 --> 00:06:10.160]   So it helps us doing, doing, uh, a lot of branding and marketing.
[00:06:10.160 --> 00:06:15.200]   Uh, a lot of people like our models. They tell other people that our models are good.
[00:06:15.200 --> 00:06:19.920]   the model performance speaks for itself. We do not have a marketing team in house.
[00:06:19.920 --> 00:06:27.200]   And, uh, just the open sourcing, the models allows us to create awareness about our products.
[00:06:27.200 --> 00:06:30.640]   It also helps us in customer acquisition.
[00:06:30.640 --> 00:06:37.120]   If people try out our open source models and they really like it, they come to us for an upgrade to
[00:06:37.120 --> 00:06:39.920]   proprietary models and, uh, they pay for the upgrade.
[00:06:39.920 --> 00:06:45.440]   And it also helps in customization and portability.
[00:06:45.440 --> 00:06:54.320]   Uh, when, whenever, uh, for example, the seven B model, people can try it, uh, to try to run it on
[00:06:54.320 --> 00:07:00.480]   laptops and phones. And this is the kind of stuff we benefit from because we don't necessarily have to
[00:07:00.480 --> 00:07:05.760]   do this out of the box, but the community works around our models and we learn from the community,
[00:07:05.760 --> 00:07:09.760]   how our models can be customized or, uh, deployed in new settings.
[00:07:09.760 --> 00:07:13.840]   So how are, um, these open source models trained?
[00:07:13.840 --> 00:07:21.120]   So I, I'll give you a very high, uh, level overview of the different stages of LLM training.
