
[00:00:00.000 --> 00:00:18.900]   thank you for coming over to our session today a lots of really interesting stuff is happening on
[00:00:18.900 --> 00:00:26.520]   the AI world these days right with all the recent model developments in the GPU developments it is
[00:00:26.520 --> 00:00:34.280]   really cool to see all the use cases however here I want to talk now a little bit about the
[00:00:34.280 --> 00:00:42.360]   infrastructure and the way how we can support the newest models of the GPUs and the newest the
[00:00:42.360 --> 00:00:47.940]   newest models the machine learning models and how we can help that everything is working smoothly and
[00:00:47.940 --> 00:00:56.100]   fast and and productive so my name is Evgeny Bakulinko I'm a product manager at Crusoe my
[00:00:56.100 --> 00:01:04.200]   main responsibility is is the infrastructure and specifically GPU networking infrastructure and we
[00:01:04.200 --> 00:01:10.500]   are always looking for a way how we can increase the performance of that network because as we will see
[00:01:10.500 --> 00:01:18.000]   later in the presentation it is really important to do that now a little bit about the Crusoe Crusoe is
[00:01:18.000 --> 00:01:24.780]   an AI cloud platform which has one I think very important mission for all of us it's to align the
[00:01:24.780 --> 00:01:30.420]   future of computing with the future of climate there is a really strong demand right now for the computing
[00:01:30.420 --> 00:01:37.140]   power the GPUs are really energy hungry there is a lot of investments being done in the data center area
[00:01:37.140 --> 00:01:43.620]   and of course that puts an additional pressure on the grid and on the energy sources what we are trying
[00:01:43.620 --> 00:01:50.980]   to do here at Crusoe we are trying to utilize the stranded energy sources wasted energy sources and renewables
[00:01:50.980 --> 00:01:57.780]   to power our data centers we want really to be able to make sure that every time when you train your model
[00:01:57.780 --> 00:02:06.180]   every time when you're using GPU for inference you're not causing any negative impact on the climate now
[00:02:06.180 --> 00:02:14.660]   whenever we are building the cloud right the AI cloud we are building it based on three important pillars
[00:02:14.660 --> 00:02:22.260]   first of all there is a high performance pillar as the customers are buying our services and procuring you
[00:02:22.260 --> 00:02:27.860]   you know the GPU times and training their models we have to ensure that all the infrastructure is
[00:02:27.860 --> 00:02:33.380]   optimized for this training every time when it's not optimized every time when there is a delay or a
[00:02:33.380 --> 00:02:41.620]   glitch or any sort of outage or simply not that great performance it causes the direct impact on the
[00:02:41.620 --> 00:02:48.420]   customer's bottom line it causes a direct impact on the time to train and kind of raises the cost to train
[00:02:48.420 --> 00:02:55.140]   the model now the second one which i think is very important for everybody around here is the easy to use
[00:02:55.140 --> 00:02:59.540]   we want really to separate ourselves from the general purpose clouds
[00:03:01.140 --> 00:03:06.980]   we do know all of them the hyperscalers are building the great infrastructure and are trying to support
[00:03:06.980 --> 00:03:13.060]   each and every use case the customers might have for the cloud computing however in our case we really
[00:03:13.060 --> 00:03:20.180]   want to focus on the experience of the AI engineers so we want to make sure that we are providing a simpler
[00:03:20.180 --> 00:03:27.380]   user interface that allows developers to spin up the compute resources to deploy the models to train them to use
[00:03:27.380 --> 00:03:34.580]   them to in for inference and and so on uh all the underlying complexity of the infrastructure
[00:03:34.580 --> 00:03:43.060]   is being hidden by us and i believe that's our job to make sure that that is that stays the case
[00:03:43.060 --> 00:03:49.620]   and now as i mentioned we are as i mentioned before we are climate aligned which means uh we as a company
[00:03:49.620 --> 00:03:56.820]   really aiming to power 100 percent of our data centers with the renewable wasted energy sources
[00:03:56.820 --> 00:04:06.260]   with some some some form of stranded energy sources to ensure that we are uh we are being net zero
[00:04:06.260 --> 00:04:12.580]   emission net new zero emissions from the carbon perspective we have a big story around that feel
[00:04:12.580 --> 00:04:19.060]   free to check it on our website or come over to our booth on the on the show floor and the team will happy
[00:04:19.060 --> 00:04:26.740]   to talk about that now where are we present right now we have a number of the data centers located across
[00:04:26.740 --> 00:04:36.420]   the u.s uh as you see three of them in the continental united states and they are generally located close to the
[00:04:36.420 --> 00:04:43.300]   energy sources i was mentioning before so we have the one in texas we have uh the one in the northern
[00:04:43.300 --> 00:04:50.900]   central part of the country and on the east we are also building right now one big data center in iceland
[00:04:50.900 --> 00:04:59.220]   that will be powered by the gerothermal energy i mean again a way amazing way to use the constrained energy
[00:04:59.220 --> 00:05:05.300]   resources or the renewables to power the data center we are trying to follow that model hence we are
[00:05:05.300 --> 00:05:11.380]   placing our data center strategically the placement of the data center in iceland though will be also very
[00:05:11.380 --> 00:05:18.740]   important for our emir customers given the latency and and the general connectivity to the europe that is
