
[00:00:00.000 --> 00:00:05.480]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:00:05.480 --> 00:00:13.540]   Whether you're making a traditional roasted turkey or spicy turkey tacos, your go-to shrimp cocktail, or your first Cajun risotto,
[00:00:13.540 --> 00:00:19.760]   Ralph's has all the freshest ingredients to embrace your traditions. Ralph's fresh for everyone.
[00:00:19.760 --> 00:00:23.000]   We've locked in low prices to help you save big storewide.
[00:00:23.000 --> 00:00:29.460]   Look for the locked in low prices tags and enjoy extra savings throughout the store. Ralph's fresh for everyone.
[00:00:29.460 --> 00:00:34.780]   Today on Radical Personal Finance, we kick off part one of a health insurance series.
[00:00:34.780 --> 00:00:41.500]   But I have to begin today's show in a slightly different manner with just telling you a little bit about
[00:00:41.500 --> 00:00:45.680]   the morass that I am stuck in at the moment.
[00:00:45.680 --> 00:00:51.600]   See, as I speak these words into my recorder, it is 2 12 p.m. on
[00:00:51.600 --> 00:00:55.260]   Thursday, November 3, 2016.
[00:00:55.260 --> 00:00:57.980]   And since last Thursday,
[00:00:59.100 --> 00:01:05.540]   I have been working and trying to prepare my outline for a series of health insurance shows.
[00:01:05.540 --> 00:01:09.980]   I've got probably six to eight lined up here with different topics,
[00:01:09.980 --> 00:01:17.020]   and I began this with just a desire to do one show. See, a couple days ago, November the 1st was the
[00:01:17.020 --> 00:01:19.540]   beginning of open enrollment for
[00:01:19.540 --> 00:01:24.380]   Obamacare. All of the health insurance exchanges opened up and we're currently sitting in open enrollment.
[00:01:24.380 --> 00:01:28.420]   And I wanted to provide some information on health insurance and I wanted to share some
[00:01:28.420 --> 00:01:32.260]   actionable tips and ideas that would help those of you who are going through open enrollment,
[00:01:32.260 --> 00:01:38.340]   either on the health insurance exchanges or at your job. So I thought, okay, I'll just sit down and I'll
[00:01:38.340 --> 00:01:43.020]   punch something out for you. This is a subject that's very important.
[00:01:43.020 --> 00:01:48.060]   Many of you are spending over a thousand dollars a month on health insurance, and yet
[00:01:48.060 --> 00:01:50.820]   I haven't really particularly covered it in the archives of the show.
[00:01:50.820 --> 00:01:58.100]   And it's been one of those things that I know I need to cover. But every single subject that I write, as usual,
[00:01:58.100 --> 00:02:03.580]   and I kind of prepare my outlines, leads to another one, leads to another one, leads to another one. And then I think, well,
