
[00:00:00.000 --> 00:00:03.000]   Your tough Tacoma is here.
[00:00:03.000 --> 00:00:05.000]   Your powerful 4Runner.
[00:00:05.000 --> 00:00:08.000]   Your stylish Camry.
[00:00:08.000 --> 00:00:10.000]   Your versatile RAV4.
[00:00:10.000 --> 00:00:14.000]   Even your fully electric VZ4X.
[00:00:14.000 --> 00:00:20.000]   Your new Toyota car, truck or SUV is available now.
[00:00:20.000 --> 00:00:23.000]   So see your Toyota dealer today.
[00:00:23.000 --> 00:00:26.000]   We make it easy.
[00:00:26.000 --> 00:00:29.000]   Toyota. Let's go places.
[00:00:30.000 --> 00:00:41.000]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years or less.
[00:00:41.000 --> 00:00:43.000]   My name is Josh Rasheeds and I am your host.
[00:00:43.000 --> 00:00:47.000]   Today we continue our 7 Rings of Freedom series.
[00:00:47.000 --> 00:01:00.000]   This is a series focused on giving you some practical, actionable ideas so that you can generate and achieve increasing levels of freedom in your life and your lifestyle.
[00:01:00.000 --> 00:01:09.000]   One of the reasons that many people pursue financial independence is so that they can have more freedom, however they define the word.
[00:01:09.000 --> 00:01:15.000]   I'm convinced, however, that you don't need to be totally financially independent in order to build freedom for yourself.
[00:01:15.000 --> 00:01:23.000]   So if you know that the end that you're pursuing is personal freedom, why not enjoy it on the pathway to financial independence?
[00:01:23.000 --> 00:01:27.000]   This episode is the fifth episode in this series.
[00:01:27.000 --> 00:01:39.000]   First episode was I talked about spiritual liberty, how if you are spiritually free, then you can go through any outward circumstance of bondage or lack of liberty and yet sail through it.
[00:01:39.000 --> 00:01:47.000]   And yet if you are spiritually in bondage, no matter how great the external circumstances can be, how that will affect you deeply personally.
[00:01:47.000 --> 00:01:51.000]   The second episode I talked about spousal liberty and the third about family liberty.
[00:01:51.000 --> 00:01:58.000]   I made a pitch to appreciate the value of a stay at home life and also of homeschooling.
[00:01:58.000 --> 00:02:04.000]   I talked about how those lifestyle decisions can massively increase your personal freedom.
[00:02:04.000 --> 00:02:07.000]   And I think those ideas are under discussed in the modern world.
[00:02:07.000 --> 00:02:11.000]   Then I pivoted towards a more traditional financial discussion.
[00:02:11.000 --> 00:02:12.000]   I talked about spending liberty.
[00:02:12.000 --> 00:02:20.000]   I talked about the personal freedom that you can enjoy by being and staying debt free and also by having some amount of savings.
[00:02:20.000 --> 00:02:27.000]   And I made the argument that the amount of savings can be much more modest than is commonly considered to be.
[00:02:27.000 --> 00:02:29.000]   Yes, a million dollars is useful.
[00:02:29.000 --> 00:02:31.000]   Ten million dollars is probably more useful.
[00:02:31.000 --> 00:02:44.000]   But I made the arguments that a thousand dollars, ten thousand dollars, and a hundred thousand dollars of savings sets you on a pathway to freedom where you have the ability to do almost anything but not the ability to do nothing.
[00:02:44.000 --> 00:02:59.000]   And since that's a fairly healthy position to be in in life, to have the ability to do anything but not the ability to do nothing, then you can achieve a significant level of personal liberty and spending liberty by simply being debt free and accumulating and targeting those three levels of wealth.
[00:02:59.000 --> 00:03:02.000]   And then you'll just continue on from there after you've achieved those.
[00:03:02.000 --> 00:03:07.000]   But I think that the amount of liberty that you achieve as you go on from there is really only marginal.
[00:03:07.000 --> 00:03:12.000]   There's not a lot that you can do with five hundred thousand dollars that you can't do with a hundred thousand dollars.
[00:03:12.000 --> 00:03:21.000]   There's not a lot you can do with three million dollars that you can't do with a hundred thousand dollars except do some bigger deals and perhaps be in that place of true financial independence.
[00:03:21.000 --> 00:03:26.000]   Today we're going to talk about business liberty and discuss the topic of entrepreneurship.
[00:03:26.000 --> 00:03:36.000]   Because I'm convinced that entrepreneurship offers the ordinary person more opportunities for liberty than almost anything else.
