
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:12.160]   - All right, welcome to another episode of Curious Mike.
[00:00:12.160 --> 00:00:14.320]   I'm here with Peyton Manning.
[00:00:14.320 --> 00:00:16.060]   Man, it's an honor to have you on here, bro.
[00:00:16.060 --> 00:00:19.060]   I think I told you this when we met at the arena,
[00:00:19.060 --> 00:00:21.200]   that I grew up in Indiana.
[00:00:21.200 --> 00:00:24.200]   So before basketball, I was playing football as well,
[00:00:24.200 --> 00:00:25.040]   playing quarterback.
[00:00:25.040 --> 00:00:27.560]   So, you know, you were a big part of my childhood.
[00:00:27.560 --> 00:00:28.880]   So it's an honor to have you on here, bro.
[00:00:28.880 --> 00:00:30.940]   - I appreciate it, honored to be here.
[00:00:30.940 --> 00:00:32.560]   - Man, a lot of people know you from, you know,
[00:00:32.560 --> 00:00:33.400]   being on the court.
[00:00:33.400 --> 00:00:37.640]   We actually, I saw you at our arena playing with your kids,
[00:00:37.640 --> 00:00:38.600]   you know what I mean?
[00:00:38.600 --> 00:00:39.880]   Just shooting around with them.
[00:00:39.880 --> 00:00:41.420]   So kind of update us where you are now.
[00:00:41.420 --> 00:00:42.680]   What are you doing now off the field
[00:00:42.680 --> 00:00:43.760]   and everything like that?
[00:00:43.760 --> 00:00:46.080]   - You know, kind of the second chapter for me,
[00:00:46.080 --> 00:00:49.200]   I've tried to kind of pick,
[00:00:49.200 --> 00:00:52.560]   say maybe kind of one thing to kind of focus on that year.
[00:00:52.560 --> 00:00:55.480]   And then maybe you keep doing it if you like it,
[00:00:55.480 --> 00:00:57.000]   or maybe you change it up.
[00:00:57.000 --> 00:01:00.240]   I haven't really had like this five or 10 year plan.
[00:01:00.240 --> 00:01:03.240]   You know, when you're playing like football, basketball,
[00:01:03.240 --> 00:01:05.160]   you pretty much know where you're gonna be
[00:01:05.160 --> 00:01:06.680]   every day, all year, right?
[00:01:06.680 --> 00:01:08.880]   And that's the biggest change about this next chapter.
[00:01:08.880 --> 00:01:11.580]   But I didn't want to sign up for something
[00:01:11.580 --> 00:01:13.640]   to be a broadcaster, to be a coach,
[00:01:13.640 --> 00:01:14.920]   where I knew that's what I was doing
[00:01:14.920 --> 00:01:16.760]   for the next five, 10 years.
[00:01:16.760 --> 00:01:19.200]   I've just kind of taken it one year at a time.
[00:01:19.200 --> 00:01:21.280]   Don't really have a one word job description.
[00:01:21.280 --> 00:01:23.660]   I'm the assistant offensive coordinator
[00:01:23.660 --> 00:01:26.480]   on my son's sixth grade football team.
[00:01:26.480 --> 00:01:27.600]   That's a very important role.
[00:01:27.600 --> 00:01:29.120]   I'm not qualified to be the head coach,
[00:01:29.120 --> 00:01:31.140]   so I'm just the assistant coach.
[00:01:31.140 --> 00:01:32.960]   Yeah, I do some stuff in the TV space.
[00:01:32.960 --> 00:01:35.960]   Eli and I obviously do this Monday night show.
[00:01:35.960 --> 00:01:38.740]   I do it from Denver, he does it from New Jersey.
[00:01:38.740 --> 00:01:42.120]   I feel like my kids, Ashley and the kids,
[00:01:42.120 --> 00:01:43.400]   that's my number one priority.
[00:01:43.400 --> 00:01:45.080]   But I like staying busy.
[00:01:45.080 --> 00:01:46.480]   I like staying stimulated.
[00:01:46.480 --> 00:01:49.640]   I like my kids seeing me busy, seeing me working, right?
[00:01:49.640 --> 00:01:50.840]   That's important to me.
[00:01:50.840 --> 00:01:54.160]   And still get to a lot of sporting events,
[00:01:54.160 --> 00:01:56.180]   get to the Nuggets games, get to the Broncos games.
[00:01:56.180 --> 00:02:00.240]   So I'm busy, but I'm kind of busy on my own schedule,
[00:02:00.240 --> 00:02:01.080]   which is a good thing.
[00:02:01.080 --> 00:02:01.900]   - Right.
[00:02:01.900 --> 00:02:03.860]   So a lot of athletes that I know of,
[00:02:03.860 --> 00:02:07.340]   once they retire, they kind of have sometimes
[00:02:07.340 --> 00:02:10.080]   like a identity crisis or a midlife crisis.
[00:02:10.080 --> 00:02:11.920]   Did you at all deal with that,
[00:02:11.920 --> 00:02:16.920]   or how did you work your way through that time
[00:02:16.920 --> 00:02:20.680]   going from stardom to kind of being away from the spotlight?
[00:02:20.680 --> 00:02:22.040]   Was it hard for you at all?
[00:02:22.040 --> 00:02:23.700]   - There's no doubt it's an adjustment, right?
[00:02:23.700 --> 00:02:25.600]   Just going back to that earlier point.
[00:02:26.260 --> 00:02:29.140]   Football, you have a schedule all season,
[00:02:29.140 --> 00:02:31.300]   all off season, all of a sudden that stops.
[00:02:31.300 --> 00:02:34.700]   The thing, I was fortunate,
[00:02:34.700 --> 00:02:37.180]   I got to play football for a long time,
[00:02:37.180 --> 00:02:40.380]   and I really got to kind of end it on my terms,
[00:02:40.380 --> 00:02:43.300]   which doesn't often happen, right?
[00:02:43.300 --> 00:02:46.420]   A lot of times in sports, you don't get to retire,
[00:02:46.420 --> 00:02:48.160]   you're kind of retired, right?
[00:02:48.160 --> 00:02:51.180]   Nobody calls you anymore and says,
[00:02:51.180 --> 00:02:53.900]   we want you to come play for the Broncos or the Nuggets.
[00:02:53.900 --> 00:02:57.440]   So I was grateful for the time that I got to play.
[00:02:57.440 --> 00:03:01.160]   And so, look, you're always going to miss your teammates.
[00:03:01.160 --> 00:03:04.920]   And around playoff time, Super Bowl time,
[00:03:04.920 --> 00:03:06.320]   you always miss it a little bit.
[00:03:06.320 --> 00:03:08.320]   Then I heard Derrick Jeter say one time
[00:03:08.320 --> 00:03:10.920]   after he retired, great shortstop for the Yankees,
[00:03:10.920 --> 00:03:13.240]   he said, if I could parachute
[00:03:13.240 --> 00:03:15.800]   into the World Series every year, sure.
[00:03:15.800 --> 00:03:17.080]   I'd probably like to do that.
[00:03:17.080 --> 00:03:17.920]   - But it's the grind.
[00:03:17.920 --> 00:03:20.280]   - He didn't miss spring training, he didn't miss all that.
[00:03:20.280 --> 00:03:22.200]   And so I don't miss it either
[00:03:22.200 --> 00:03:23.800]   because I got to do it for a long time,
[00:03:23.800 --> 00:03:27.080]   but stay in touch with my teammates on a text thread.
[00:03:27.080 --> 00:03:28.520]   You certainly miss seeing them every day.
[00:03:28.520 --> 00:03:31.360]   You miss the locker room, you miss the plane rides.
