
[00:00:00.000 --> 00:00:07.000]   Hi, everybody.
[00:00:07.000 --> 00:00:16.000]   Welcome to Stanford CS224N, also known as Ling284, Natural Language Processing with Deep Learning.
[00:00:16.000 --> 00:00:22.000]   I'm Christopher Manning and I'm the main instructor for this class.
[00:00:22.000 --> 00:00:27.000]   So what we hope to do today is to dive right in.
[00:00:27.000 --> 00:00:36.000]   So I'm going to spend about 10 minutes talking about the course, and then we're going to get straight into content for reasons I'll explain in a minute.
[00:00:36.000 --> 00:00:45.000]   So we'll talk about human language and word meaning. I'll then introduce the ideas of the Word2Vec algorithm for learning word meaning.
[00:00:45.000 --> 00:00:55.000]   And then going from there, we'll kind of concretely work through how you can work out objective function gradients with respect to the Word2Vec algorithm
[00:00:55.000 --> 00:01:00.000]   and say a teeny bit about how optimization works. And then right at the end of the class,
[00:01:00.000 --> 00:01:08.000]   I then want to spend a little bit of time giving you a sense of how these word vectors work and what you can do with them.
[00:01:08.000 --> 00:01:17.000]   So really, the key learning for today is I want to give you a sense of how amazing deep learning word vectors are.
[00:01:17.000 --> 00:01:23.000]   So we have this really surprising result that word meaning can be represented not perfectly,
[00:01:23.000 --> 00:01:28.000]   but really rather well by a large vector of real numbers.
[00:01:28.000 --> 00:01:33.000]   And, you know, that's sort of in a way a commonplace of the last decade of deep learning,
[00:01:33.000 --> 00:01:43.000]   but it flies in the face of thousands of years of tradition and it's really rather an unexpected result to start focusing on.
[00:01:43.000 --> 00:01:50.000]   OK, so quickly, what do we hope to teach in this course? So we've got three primary goals.
[00:01:50.000 --> 00:02:00.000]   The first is to teach you the foundations, i.e. a good deep understanding of the effect of modern methods for deep learning applied to NLP.
[00:02:00.000 --> 00:02:07.000]   So we are going to start with and go through the basics and then go on to key methods that are used in NLP,
[00:02:07.000 --> 00:02:12.000]   recurrent networks, attention, transformers and things like that.
[00:02:12.000 --> 00:02:15.000]   We want to do something more than just that.
[00:02:15.000 --> 00:02:21.000]   We'd also like to give you some sense of a big picture understanding of human languages
[00:02:21.000 --> 00:02:26.000]   and what are the reasons for why they're actually quite difficult to understand and produce,
[00:02:26.000 --> 00:02:32.000]   even though humans seem to do it easily. Now, obviously, if you really want to learn a lot about this topic,
[00:02:32.000 --> 00:02:37.000]   you should enroll in and go and start doing some classes in the linguistics department.
[00:02:37.000 --> 00:02:44.000]   But nevertheless, for a lot of you, this is the only human language content you'll see during your master's degree or whatever.
[00:02:44.000 --> 00:02:49.000]   And so we do hope to spend a bit of time on that starting today.
[00:02:49.000 --> 00:02:58.000]   And then finally, we want to give you an understanding of an ability to build systems in PyTorch for some of the major problems in NLP.
[00:02:58.000 --> 00:03:05.000]   So we'll look at learning word meanings, dependency parsing, machine translation, question answering.
[00:03:05.000 --> 00:03:10.000]   Let's dive in to human language.
[00:03:10.000 --> 00:03:16.000]   Once upon a time, I had a lot longer introduction that gave lots of examples about human,
[00:03:16.000 --> 00:03:20.000]   how human languages can be misunderstood and complex.
[00:03:20.000 --> 00:03:25.000]   I'll show a few of those examples in later lectures.
[00:03:25.000 --> 00:03:30.000]   But since right for today, we're going to be focused on word meaning.
[00:03:30.000 --> 00:03:38.000]   I thought I'd just give one example, which comes from a very nice XKCD cartoon.
[00:03:38.000 --> 00:03:45.000]   And that isn't sort of about some of the sort of syntactic ambiguities of sentences,
[00:03:45.000 --> 00:03:54.000]   but instead it's really emphasizing the important point that language is a social system constructed and interpreted by people.
[00:03:54.000 --> 00:04:02.000]   And that's part of how it changes as people decide to adapt its construction.
[00:04:02.000 --> 00:04:08.000]   And that's part of the reason why human languages are great as an adaptive system for human beings,
[00:04:08.000 --> 00:04:15.000]   but difficult as a system for our computers to understand to this day.
[00:04:15.000 --> 00:04:21.000]   So in this conversation between the two women, one says, anyway, I could care less.
[00:04:21.000 --> 00:04:25.000]   And the other says, I think you mean you couldn't care less.
[00:04:25.000 --> 00:04:29.000]   Saying you could care less implies you care at least some amount.
[00:04:29.000 --> 00:04:32.000]   And the other one says, I don't know.
[00:04:32.000 --> 00:04:37.000]   We're these unbelievably complicated brains drifting through a void,
[00:04:37.000 --> 00:04:43.000]   trying in vain to connect with one another by blindly fleeing words out into the darkness.
[00:04:43.000 --> 00:04:53.000]   Every choice of phrasing, spelling and tone and timing carries countless signals and contexts and subtexts and more.
[00:04:53.000 --> 00:04:57.000]   And every listener interprets those signals in their own way.
[00:04:57.000 --> 00:05:02.000]   Language isn't a formal system. Language is glorious chaos.
[00:05:02.000 --> 00:05:06.000]   You can never know for sure what any words will mean to anyone.
[00:05:06.000 --> 00:05:11.000]   All you can do is try to get better at guessing how your words affect people
[00:05:11.000 --> 00:05:17.000]   so you can have a chance of finding the ones that will make them feel something like what you want them to feel.
[00:05:17.000 --> 00:05:19.000]   Everything else is pointless.
[00:05:19.000 --> 00:05:25.000]   I assume you're giving me tips on how you interpret words because you want me to feel less alone.
[00:05:25.000 --> 00:05:29.000]   If so, then thank you. That means a lot.
[00:05:29.000 --> 00:05:38.000]   But if you're just running my sentences past some mental checklist so you can show off how well you know it, then I could care less.
[00:05:38.000 --> 00:05:48.000]   OK, so that's ultimately what our goal is, is to how to do a better job at building computational systems
[00:05:48.000 --> 00:05:54.000]   that try to get better at guessing how their words will affect other people
[00:05:54.000 --> 00:06:01.000]   and what other people are meaning by the words that they choose to say.
[00:06:01.000 --> 00:06:12.000]   So an interesting thing about human language is it is a system that was constructed by human beings.
[00:06:12.000 --> 00:06:19.000]   And it's a system that was constructed, you know, relatively recently in some sense.
[00:06:19.000 --> 00:06:30.000]   So in discussions of artificial intelligence, a lot of the time people focus a lot on human brains and the neurons buzzing by.
[00:06:30.000 --> 00:06:35.000]   And this intelligence that's meant to be inside people's heads.
[00:06:35.000 --> 00:06:40.000]   But I just wanted to focus for a moment on the role of language.
[00:06:40.000 --> 00:06:45.000]   There's actually, you know, this is kind of controversial, but, you know,
[00:06:45.000 --> 00:06:53.000]   it's not necessarily the case that humans are much more intelligent than some of the higher apes like chimpanzees or bonobos.
[00:06:53.000 --> 00:06:59.000]   Right. So chimpanzees and bonobos have been shown to be able to use tools to make plans.
[00:06:59.000 --> 00:07:05.000]   And in fact, chimps have much better short term memory than human beings do.
[00:07:05.000 --> 00:07:13.000]   So relative to that, if you look through the history of life on Earth, human beings developed language really recently.
[00:07:13.000 --> 00:07:21.000]   How recently? We kind of actually don't know because, you know, there's no fossils that say, OK, here's a language speaker.
[00:07:21.000 --> 00:07:33.000]   But, you know, most people estimate that language arose for human beings sort of, you know, somewhere in the range of one hundred thousand to a million years ago.
[00:07:33.000 --> 00:07:42.000]   OK, that's a while ago. But compared to the process of evolution of life on Earth, that's kind of blinking an eyelid.
[00:07:42.000 --> 00:07:51.000]   But that power of communication between human beings quickly set off our ascendancy over other creatures.
[00:07:51.000 --> 00:07:59.000]   So it's kind of interesting that the ultimate power turned out not to be having poisonous fangs or being super fast or super big,
[00:07:59.000 --> 00:08:05.000]   but having the ability to communicate with other members of your tribe.
[00:08:05.000 --> 00:08:14.000]   It was much more recently, again, that humans developed writing, which allowed knowledge to be communicated across distances of time and space.
[00:08:14.000 --> 00:08:19.000]   And so that's only about five thousand years old, the power of writing.
[00:08:19.000 --> 00:08:30.000]   So in just a few thousand years, the ability to preserve and share knowledge took us from the Bronze Age to the smartphones and tablets of today.
[00:08:30.000 --> 00:08:41.000]   So a key question for artificial intelligence and human computer interaction is how to get computers to be able to understand the information conveyed in human languages.
[00:08:41.000 --> 00:08:47.000]   Simultaneously, artificial intelligence requires computers with the knowledge of people.
[00:08:47.000 --> 00:08:52.000]   Fortunately, now our AI systems might be able to benefit from a virtuous cycle.
[00:08:52.000 --> 00:09:04.000]   We need knowledge to understand language and people well, but it's also the case that a lot of that knowledge is contained in language spread out across the books and Web pages of the world.
[00:09:04.000 --> 00:09:11.000]   And that's one of the things we're going to look at in this course is how that we can sort of build on that virtuous cycle.
[00:09:11.000 --> 00:09:18.000]   A lot of progress has already been made, and I just want to very quickly give a sense of that.
[00:09:18.000 --> 00:09:33.000]   So in the last decade or so, and especially in the last few years with neural methods of machine translation, we're now in a space where machine translation really works moderately well.
[00:09:33.000 --> 00:09:37.000]   So, again, from the history of the world, this is just amazing, right?
[00:09:37.000 --> 00:09:47.000]   For thousands of years, learning other people's languages was a human task which required a lot of effort and concentration.
[00:09:47.000 --> 00:09:55.000]   But now we're in a world where you could just hop on your Web browser and think, oh, I wonder what the news is in Kenya today.
[00:09:55.000 --> 00:10:06.000]   And you can head off over to a Kenyan website and you can see something like this and you can go, huh, and you can then ask Google to translate it for you from Swahili.
[00:10:06.000 --> 00:10:12.000]   And, you know, the translation isn't quite perfect, but it's, you know, it's reasonably good.
[00:10:12.000 --> 00:10:23.000]   So the newspaper Tuco has been informed that local government minister, Linsan Belakanyama, and his transport counterpart, Siddig Meir, died within two separate hours.
[00:10:23.000 --> 00:10:31.000]   So, you know, within two separate hours is kind of awkward, but essentially we're doing pretty well at getting the information out of this page.
[00:10:31.000 --> 00:10:35.000]   And so that's quite amazing.
[00:10:35.000 --> 00:10:51.000]   The single biggest development in NLP for the last year, certainly in the popular media, was GPT-3, which was a huge new model that was released by OpenAI.
[00:10:51.000 --> 00:10:56.000]   What GPT-3 is about and why it's great is actually a bit subtle.
[00:10:56.000 --> 00:11:15.000]   And so I can't really go through all the details of this here, but it's exciting because it seems like it's the first step on the path to what we might call universal models, where you can train up one extremely large model on something like that library picture I showed before.
[00:11:15.000 --> 00:11:25.000]   And it just has knowledge of the world, knowledge of human languages, knowledge of how to do tasks, and then you can apply it to do all sorts of things.
