
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:09.680]   Okay, we have 10 times as many questions
[00:00:09.680 --> 00:00:10.520]   as we're gonna get to.
[00:00:10.520 --> 00:00:13.860]   I want you guys to be aware of that from the beginning.
[00:00:13.860 --> 00:00:15.640]   But the good news is this is day one.
[00:00:15.640 --> 00:00:17.180]   None of these guys are going anywhere.
[00:00:17.180 --> 00:00:19.780]   So hunt them down over the next few days
[00:00:19.780 --> 00:00:22.380]   and we'll try to get everything answered as we can.
[00:00:22.380 --> 00:00:25.160]   All right, let's get started.
[00:00:25.160 --> 00:00:27.960]   Define market timing.
[00:00:27.960 --> 00:00:30.120]   I reduced my bond duration prior to
[00:00:30.120 --> 00:00:32.600]   the Federal Open Market Committee raising rates.
[00:00:32.600 --> 00:00:34.440]   Is that market timing?
[00:00:34.440 --> 00:00:37.080]   Should I buy long bonds now and wait for rates to go down?
[00:00:37.080 --> 00:00:38.220]   If market timing doesn't work,
[00:00:38.220 --> 00:00:41.120]   how does prime cap and capital opportunity beat the market?
[00:00:41.120 --> 00:00:44.000]   Anyone wanna volunteer for that one?
[00:00:44.000 --> 00:00:49.700]   Yes, that is market timing.
[00:00:49.700 --> 00:00:54.080]   And this is one of the problems that we all,
[00:00:54.080 --> 00:00:56.840]   most of us don't believe in market timing,
[00:00:56.840 --> 00:01:01.120]   but we use it and that's a hard one
[00:01:01.120 --> 00:01:04.640]   because market timing can be systematic
[00:01:04.640 --> 00:01:07.020]   by some sort of following a trend,
[00:01:07.020 --> 00:01:09.420]   following line of some sort.
[00:01:09.420 --> 00:01:14.420]   Or it can be what we call the ICSIA market timing system.
[00:01:14.420 --> 00:01:17.100]   I can't stand it anymore.
[00:01:17.100 --> 00:01:22.400]   And the moment it becomes an emotional decision,
[00:01:22.400 --> 00:01:25.560]   remembering there's always a pile of good news
[00:01:25.560 --> 00:01:28.440]   about any trade and a pile of bad news.
[00:01:28.440 --> 00:01:31.920]   And so as a market timer,
[00:01:31.920 --> 00:01:35.940]   you're fighting trying to figure out which is more powerful.
[00:01:35.940 --> 00:01:37.640]   So I'm not an advocate of it,
[00:01:37.640 --> 00:01:40.440]   although half of my portfolio is market time.
[00:01:40.440 --> 00:01:46.680]   - You're gonna have an allocation between
[00:01:46.680 --> 00:01:48.400]   stocks, bonds, cash, real estate,
[00:01:48.400 --> 00:01:51.040]   and you're gonna stick with that.
[00:01:51.040 --> 00:01:54.120]   And if you're supposed to rebalance, you rebalance.
[00:01:55.500 --> 00:01:58.600]   And if you deviate from that
[00:01:58.600 --> 00:02:00.600]   because you see something out there in the economy
[00:02:00.600 --> 00:02:02.520]   or interest rates of the Fed or China
[00:02:02.520 --> 00:02:05.520]   or Middle East or whatever,
[00:02:05.520 --> 00:02:07.080]   and you're gonna make these decisions saying,
[00:02:07.080 --> 00:02:08.280]   I don't like what I see out there,
[00:02:08.280 --> 00:02:11.960]   I'm gonna change my asset allocation in some way,
[00:02:11.960 --> 00:02:13.000]   that's market timing.
[00:02:13.000 --> 00:02:15.680]   - Okay, let's do the next question.
[00:02:15.680 --> 00:02:17.200]   We're gonna do this one rapid fire.
[00:02:17.200 --> 00:02:18.560]   We're gonna go across the stage.
[00:02:18.560 --> 00:02:20.040]   We'll start with me and go across.
[00:02:20.040 --> 00:02:20.860]   Here's the question.
[00:02:20.860 --> 00:02:23.640]   If you got a kid with a Roth IRA,
[00:02:23.640 --> 00:02:26.460]   should they be putting it in a target retirement fund
[00:02:26.460 --> 00:02:28.460]   or a total stock market index fund?
[00:02:28.460 --> 00:02:32.400]   - Yeah, so generally Roth money, from what I've seen,
[00:02:32.400 --> 00:02:34.180]   is the last money that anybody ever spends.
[00:02:34.180 --> 00:02:35.300]   It generally goes to the kids
[00:02:35.300 --> 00:02:37.140]   because it goes to them tax-free.
[00:02:37.140 --> 00:02:38.160]   And then they have 10 years
[00:02:38.160 --> 00:02:40.220]   of which to distribute the money tax-free.
[00:02:40.220 --> 00:02:41.860]   So it's generally 100% equity.
[00:02:41.860 --> 00:02:46.860]   - This may sound like a commercial.
[00:02:46.860 --> 00:02:49.420]   One of those three free books,
[00:02:49.420 --> 00:02:51.180]   two of those three free books
[00:02:51.180 --> 00:02:54.140]   are focused on target date funds.
[00:02:54.140 --> 00:02:58.340]   And what we do recommend is you look at the implications
[00:02:58.340 --> 00:03:03.340]   of a target date fund and 10% small cap value.
[00:03:03.340 --> 00:03:06.420]   (audience laughing)
[00:03:06.420 --> 00:03:10.540]   - I will say that if you're going to do small cap value
[00:03:10.540 --> 00:03:11.940]   and you actually believe the premium
[00:03:11.940 --> 00:03:13.660]   is actually gonna happen,
[00:03:13.660 --> 00:03:15.900]   that putting it in a Roth is not a bad idea.
[00:03:17.660 --> 00:03:21.620]   - I would say, woo, all stock portfolio
[00:03:21.620 --> 00:03:24.300]   because it's probably going to be an addendum
[00:03:24.300 --> 00:03:25.940]   to their own retirement account,
[00:03:25.940 --> 00:03:28.340]   which is probably in a target date fund anyway.
[00:03:28.340 --> 00:03:31.080]   - Yeah, I'm pretty much agreeing.
[00:03:31.080 --> 00:03:33.060]   The whole issue of asset location
[00:03:33.060 --> 00:03:34.860]   would suggest that with the Roth,
