
[00:00:00.000 --> 00:00:29.980]   Thank you.
[00:00:29.980 --> 00:00:36.660]   I got a thumbs up.
[00:00:36.660 --> 00:00:40.360]   Dirk's like the one other person besides me actually on camera.
[00:00:40.360 --> 00:00:44.060]   Yeah, I would, but I'm quite sick.
[00:00:44.060 --> 00:00:46.380]   So no worries.
[00:00:46.380 --> 00:00:47.120]   No worries.
[00:00:47.120 --> 00:00:51.060]   Thank you for still being willing to kick us off then.
[00:00:51.060 --> 00:00:52.020]   Appreciate it.
[00:00:52.020 --> 00:00:53.180]   Yeah, no worries.
[00:00:53.180 --> 00:00:53.500]   Okay.
[00:00:53.500 --> 00:00:54.700]   I finally found it.
[00:00:54.700 --> 00:00:55.740]   Sorry for the delay.
[00:00:55.740 --> 00:00:57.140]   Awesome.
[00:00:57.140 --> 00:00:57.800]   All right.
[00:00:57.800 --> 00:00:58.780]   Well, I'll hand off.
[00:00:58.780 --> 00:00:59.660]   Would you, if you'd like,
[00:00:59.740 --> 00:01:01.900]   I can keep an eye on the chat
[00:01:01.900 --> 00:01:03.200]   and just flag things as they're there
[00:01:03.200 --> 00:01:04.880]   so you don't have to pay attention to it.
[00:01:04.880 --> 00:01:06.540]   And then, yep.
[00:01:06.540 --> 00:01:07.560]   So welcome everyone.
[00:01:07.560 --> 00:01:08.640]   I'm going to hand over to Olivier.
[00:01:08.640 --> 00:01:11.800]   He kicked off probably the most epic thread
[00:01:11.800 --> 00:01:13.840]   we've had in the AI in Action channel
[00:01:13.840 --> 00:01:15.520]   talking about quad and subagents.
[00:01:15.520 --> 00:01:18.040]   So he's going to present about his approach and workflow.
[00:01:18.040 --> 00:01:20.840]   It sounds like he's going to be sick
[00:01:20.840 --> 00:01:22.480]   and he's in EU time zone.
[00:01:22.480 --> 00:01:25.280]   So he'll kick us off for the first, you know, 20, 30 minutes
[00:01:25.280 --> 00:01:26.920]   and then we can continue the conversation.
[00:01:26.920 --> 00:01:29.160]   And with that, I will go off camera,
[00:01:29.160 --> 00:01:30.120]   hand it over to you, Olivier.
[00:01:30.120 --> 00:01:32.080]   Great.
[00:01:32.080 --> 00:01:32.840]   Thank you so much.
[00:01:32.840 --> 00:01:34.820]   Okay.
[00:01:34.820 --> 00:01:38.260]   So let's give you some background,
[00:01:38.260 --> 00:01:40.280]   everyone who's watching.
[00:01:40.280 --> 00:01:43.520]   Markov is an AI engineering studio.
[00:01:43.660 --> 00:01:46.660]   we're based in Antwerp and long story short,
[00:01:46.660 --> 00:01:50.680]   we're focused on the automation of accounting systems.
[00:01:50.680 --> 00:01:53.880]   So end-to-end accounting and we're also in MedTech
[00:01:53.880 --> 00:01:57.120]   now bringing both systems to production
[00:01:57.120 --> 00:01:58.900]   on like a pan-European scale.
[00:02:01.160 --> 00:02:03.920]   for me with cloud code
[00:02:03.920 --> 00:02:06.180]   and the really big unlock
[00:02:06.180 --> 00:02:07.840]   came around
[00:02:07.840 --> 00:02:12.800]   the four model series release
[00:02:12.800 --> 00:02:14.480]   and then these subagents
[00:02:14.480 --> 00:02:16.140]   just make things a lot more reliable.
[00:02:16.140 --> 00:02:19.660]   I think it's important,
[00:02:19.660 --> 00:02:21.560]   even though I won't go into this
[00:02:21.560 --> 00:02:23.440]   in high detail today,
[00:02:23.440 --> 00:02:26.940]   that everyone is aware of
[00:02:26.940 --> 00:02:28.560]   how we get to the point
[00:02:28.560 --> 00:02:30.000]   within Markov
[00:02:30.000 --> 00:02:32.840]   where we start using cloud code, right?
[00:02:32.840 --> 00:02:33.260]   So
[00:02:33.260 --> 00:02:34.960]   for us,
[00:02:34.960 --> 00:02:36.380]   the big learnings have been
[00:02:36.380 --> 00:02:37.720]   that as the models
[00:02:37.720 --> 00:02:38.620]   have been getting better
[00:02:38.620 --> 00:02:39.500]   at coding.
[00:02:40.300 --> 00:02:41.680]   So actually,
[00:02:41.680 --> 00:02:42.060]   you know,
[00:02:42.060 --> 00:02:43.420]   for everyone who's been
[00:02:43.420 --> 00:02:44.560]   working with these models
[00:02:44.560 --> 00:02:45.360]   for a long time,
[00:02:45.360 --> 00:02:46.480]   I'm sure you'll know
[00:02:46.480 --> 00:02:48.220]   like a few years,
[00:02:48.220 --> 00:02:49.060]   maybe even
[00:02:49.060 --> 00:02:52.400]   double digit months ago,
[00:02:52.400 --> 00:02:53.080]   they were still making
[00:02:53.080 --> 00:02:54.020]   a lot of syntax errors.
[00:02:54.020 --> 00:02:55.200]   That's not really the case anymore.
[00:02:55.200 --> 00:02:57.680]   And the models have gotten pretty good.
[00:02:57.680 --> 00:03:00.000]   So now we've come to the point
[00:03:00.000 --> 00:03:01.080]   at least for us internally
[00:03:01.080 --> 00:03:03.040]   where we will often,
[00:03:03.040 --> 00:03:04.440]   and this is like,
[00:03:04.440 --> 00:03:04.820]   you know,
[00:03:04.820 --> 00:03:06.420]   in the scope of like internal tools
[00:03:06.420 --> 00:03:08.160]   or like prototypes for customers
[00:03:08.160 --> 00:03:10.040]   because we also do a bit
[00:03:10.040 --> 00:03:11.460]   of consulting on the side.
[00:03:11.460 --> 00:03:12.480]   You know,
[00:03:12.480 --> 00:03:13.780]   our flagship products
[00:03:13.780 --> 00:03:14.840]   are medtech and accounting.
[00:03:14.840 --> 00:03:15.700]   So fintech,
[00:03:15.700 --> 00:03:16.440]   but we also do a bit
[00:03:16.440 --> 00:03:17.380]   of consulting on the side
[00:03:17.380 --> 00:03:18.940]   because we haven't raised
[00:03:18.940 --> 00:03:19.500]   any capital
[00:03:19.500 --> 00:03:20.660]   and it's a nice way
[00:03:20.660 --> 00:03:21.760]   to generate some cash flow.
[00:03:21.760 --> 00:03:24.980]   So what we have
[00:03:24.980 --> 00:03:25.680]   is basically
[00:03:25.680 --> 00:03:27.820]   on my screen,
[00:03:27.820 --> 00:03:28.940]   you'll see we have,
[00:03:28.940 --> 00:03:30.520]   so this is kind of our directory
[00:03:30.520 --> 00:03:33.800]   and all of our prompts
[00:03:33.800 --> 00:03:35.080]   that we share within our team
[00:03:35.080 --> 00:03:35.740]   are stored in here.
[00:03:35.740 --> 00:03:36.980]   The main reason
[00:03:36.980 --> 00:03:38.620]   that I'm sharing all of this,
[00:03:38.620 --> 00:03:39.300]   even though,
[00:03:39.300 --> 00:03:39.640]   you know,
[00:03:39.780 --> 00:03:40.500]   I think a lot of people
[00:03:40.500 --> 00:03:41.320]   would consider this
[00:03:41.320 --> 00:03:42.840]   to be quite proprietary data
[00:03:42.840 --> 00:03:45.280]   is because in a few months,
[00:03:45.280 --> 00:03:46.420]   it's all going to be relevant anyway
[00:03:46.420 --> 00:03:47.500]   because I'm pretty sure
[00:03:47.500 --> 00:03:49.180]   that at least
[00:03:49.180 --> 00:03:49.960]   that's been my experience
[00:03:49.960 --> 00:03:50.380]   so far,
[00:03:50.380 --> 00:03:51.700]   all this kind of hardness
[00:03:51.700 --> 00:03:52.800]   thing and scaffolding
[00:03:52.800 --> 00:03:54.360]   as the models get better,
[00:03:54.360 --> 00:03:55.900]   it just gets washed away.
[00:03:55.900 --> 00:03:58.540]   So maybe I'll be able
[00:03:58.540 --> 00:03:59.340]   to help some people
[00:03:59.340 --> 00:04:00.940]   in the coming months
[00:04:00.940 --> 00:04:02.040]   with this.
