
[00:00:00.000 --> 00:00:15.300]   Hey everyone. My name is Shreya. I am finishing up my PhD at UC Berkeley, so that's quite exciting
[00:00:15.300 --> 00:00:20.760]   for me. And I'm here to give you a different kind of talk. This is about research, what
[00:00:20.760 --> 00:00:27.380]   we're learning through research, and how to help people build reliable LLM pipelines.
[00:00:27.380 --> 00:00:30.620]   Just to give a picture of the kind of research that we do at Berkeley, this is around data
[00:00:30.620 --> 00:00:36.940]   processing agents. What do I mean by data processing? Organizations have lots of unstructured data,
[00:00:36.940 --> 00:00:41.840]   documents that they want to extract and analyze, extract insights from and make sense of. So
[00:00:41.840 --> 00:00:48.060]   for example, maybe in customer service reviews, they want to extract themes, summarize them,
[00:00:48.060 --> 00:00:53.220]   figuring out actionable next steps. Maybe they want to look through their emails to figure
[00:00:53.220 --> 00:00:59.620]   out for a sales agent. Which clients could have gotten closed? Why didn't they? How
[00:00:59.620 --> 00:01:05.020]   do we move forward from that? And all sorts of domains have these kinds of tasks. For example,
[00:01:05.020 --> 00:01:10.980]   in traffic safety, aviation safety, what are the causes of accidents? How can we mitigate
[00:01:10.980 --> 00:01:19.960]   them? And when people write pipelines to use LLMs to solve these problems, their number one complaint
[00:01:19.960 --> 00:01:24.140]   is that, you know, this is really hard. It doesn't work. And so I want to put you in
[00:01:24.140 --> 00:01:29.460]   that mindset to figure out why. Imagine you are a real estate agent trying to find a place
[00:01:29.460 --> 00:01:35.460]   to meet your customer or your client's needs. And your client has a pet. It's a dog owner.
[00:01:35.460 --> 00:01:41.700]   So you might want to know, okay, what neighborhoods in, say, SF have the most restrictive pet policies?
[00:01:41.700 --> 00:01:48.140]   I want to tell that to my client. So you might write this pipeline as a sequence of LLM operations
[00:01:48.140 --> 00:01:53.940]   on a bunch of real estate rental contracts. You might start out with a map operation, which
[00:01:53.940 --> 00:02:00.520]   for every document gives you some extracted output. More map operations, for example, to categorize
[00:02:00.520 --> 00:02:07.080]   or classify clauses. And then aggregate these clauses together, maybe by neighborhood, by city,
[00:02:07.080 --> 00:02:12.520]   and come up with a summary or report for each. People write these pipelines, and the number one
[00:02:12.520 --> 00:02:17.480]   thing that they tell us is, my prompts don't work. And then the number one thing that they're told as
[00:02:17.480 --> 00:02:23.400]   a solution is, oh, just iterate on your prompts. So today's talk, I really want to dive into what
[00:02:23.400 --> 00:02:28.840]   does this kind of iteration entail, right? Why is this problem hard? How can you feel like you're not
[00:02:28.840 --> 00:02:32.520]   just hacking away at nothing to make progress?
[00:02:32.520 --> 00:02:38.520]   So at UC Berkeley, we put our research hats on, our HCI hats on, and studied how people write
[00:02:38.520 --> 00:02:43.880]   these kinds of data processing pipelines. The very first thing we observed is that people did not
[00:02:43.880 --> 00:02:48.360]   even know what the right question is. And many of you might resonate with this a little bit.
[00:02:48.360 --> 00:02:55.400]   So in our real estate agent example, someone might think they want to extract all pet policy clauses,
[00:02:55.400 --> 00:03:01.080]   and then realize only after looking at the documents and looking at the outputs, that they only wanted,
[00:03:01.080 --> 00:03:06.920]   you know, dog and cat pet policy clauses. Then when they feel like they know they have the right question
[00:03:06.920 --> 00:03:12.360]   they want to ask, then they want to figure out how to specify that question. So we all know when working
[00:03:12.360 --> 00:03:18.760]   with LLMs that we need to have very well specified, clear, unambiguous prompts. And things that we as
[00:03:18.760 --> 00:03:24.440]   humans think are unambiguous are actually pretty ambiguous. For example, just saying dog and cat
[00:03:24.440 --> 00:03:31.000]   policy clauses doesn't tell the LLM much. Maybe you need to say weight limits or restrictions, breed
[00:03:31.000 --> 00:03:35.480]   restrictions, quantity limits, and so forth, improving the LLM's performance.
