
[00:00:00.000 --> 00:00:02.240]   a generally well-educated human.
[00:00:02.240 --> 00:00:05.160]   That could happen in, you know, two or three years.
[00:00:05.160 --> 00:00:06.760]   - What does that imply for Anthropic
[00:00:06.760 --> 00:00:07.840]   when in two to three years,
[00:00:07.840 --> 00:00:11.080]   these Leviathans are doing like $10 billion training runs.
[00:00:11.080 --> 00:00:12.440]   - The models, they just want to learn.
[00:00:12.440 --> 00:00:14.400]   And it was a bit like a Zen Cohen.
[00:00:14.400 --> 00:00:16.600]   I listened to this and I became enlightened.
[00:00:16.600 --> 00:00:21.800]   The compute doesn't flow, like the spice doesn't flow.
[00:00:21.800 --> 00:00:23.640]   It's like, you can't like,
[00:00:23.640 --> 00:00:26.520]   like the blob has to be unencumbered, right?
[00:00:26.520 --> 00:00:29.400]   The big acceleration that happened late last year
[00:00:29.400 --> 00:00:32.120]   and beginning of this year, we didn't cause that.
[00:00:32.120 --> 00:00:34.320]   And honestly, I think if you look at the reaction to Google,
[00:00:34.320 --> 00:00:36.040]   that that might be 10 times more important
[00:00:36.040 --> 00:00:37.440]   than anything else.
[00:00:37.440 --> 00:00:38.480]   There was a running joke.
[00:00:38.480 --> 00:00:40.440]   The way building AGI would look like is, you know,
[00:00:40.440 --> 00:00:43.480]   there would be a data center next to a nuclear power plant,
[00:00:43.480 --> 00:00:44.720]   next to a bunker.
[00:00:44.720 --> 00:00:46.720]   - But now it's 2030, what happens next?
[00:00:46.720 --> 00:00:49.800]   What are we doing with a superhuman God?
[00:00:49.800 --> 00:00:52.400]   Okay, today I have the pleasure of speaking
[00:00:52.400 --> 00:00:56.120]   with Dario Amodei, who is the CEO of Anthropic.
[00:00:56.120 --> 00:00:57.640]   And I'm really excited about this one.
[00:00:57.640 --> 00:00:59.840]   Dario, thank you so much for coming on the podcast.
[00:00:59.840 --> 00:01:00.880]   - Thanks for having me.
[00:01:00.880 --> 00:01:03.840]   - First question, you have been one of the very few people
[00:01:03.840 --> 00:01:06.680]   who has seen scaling coming for years,
[00:01:06.680 --> 00:01:07.520]   more than five years.
[00:01:07.520 --> 00:01:09.080]   I don't know how long it's been,
[00:01:09.080 --> 00:01:11.360]   but as somebody who's seen it coming,
[00:01:11.360 --> 00:01:14.600]   what is fundamentally the explanation for why scaling works?
[00:01:14.600 --> 00:01:16.360]   Why is the universe organized such that
[00:01:16.360 --> 00:01:18.960]   if you throw big blobs and compute
[00:01:18.960 --> 00:01:20.680]   at a wide enough distribution of data,
[00:01:20.680 --> 00:01:22.240]   the thing becomes intelligent?
[00:01:22.240 --> 00:01:24.440]   - I think the truth is that we still don't know.
[00:01:24.440 --> 00:01:28.320]   I think it's almost entirely an empirical fact.
[00:01:28.320 --> 00:01:30.800]   I think it's a fact that you could kind of sense
[00:01:30.800 --> 00:01:33.840]   from the data and from a bunch of different places,
[00:01:33.840 --> 00:01:35.240]   but I think we don't still have
[00:01:35.240 --> 00:01:36.800]   a satisfying explanation for it.
[00:01:36.800 --> 00:01:38.600]   If I were to try to make one,
[00:01:38.600 --> 00:01:39.440]   but I'm just, I don't know,
[00:01:39.440 --> 00:01:42.000]   I'm just kind of waving my hands when I say this.
[00:01:42.000 --> 00:01:45.240]   You know, there's these ideas in physics
[00:01:45.240 --> 00:01:49.000]   around like long tail or power law
[00:01:49.000 --> 00:01:51.680]   of like correlations or effects.
[00:01:51.680 --> 00:01:54.320]   And so like when a bunch of stuff happens, right?
[00:01:54.320 --> 00:01:56.760]   When you have a bunch of like features,
[00:01:56.760 --> 00:01:59.240]   you get a lot of the data in like kind of the early,
[00:01:59.240 --> 00:02:01.800]   you know, the fat part of the distribution
[00:02:01.800 --> 00:02:03.200]   before the tails.
[00:02:03.200 --> 00:02:04.960]   You know, for language, this would be things like,
[00:02:04.960 --> 00:02:06.800]   oh, I figured out there are parts of speech
[00:02:06.800 --> 00:02:08.320]   and nouns follow verbs.
[00:02:08.320 --> 00:02:09.680]   And then there are these more and more
[00:02:09.680 --> 00:02:11.840]   and more and more subtle correlations.
[00:02:11.840 --> 00:02:16.120]   And so it kind of makes sense why there would be this,
[00:02:16.120 --> 00:02:19.920]   you know, every log or order of magnitude that you add,
[00:02:19.920 --> 00:02:22.880]   you kind of capture more of the distribution.
[00:02:22.880 --> 00:02:26.840]   What's not clear at all is why is it scale
[00:02:26.840 --> 00:02:28.720]   so smoothly with parameters?
[00:02:28.720 --> 00:02:33.160]   Why does it scale so smoothly with the amount of data?
[00:02:33.160 --> 00:02:35.280]   Why are, you can think up some explanations
[00:02:35.280 --> 00:02:36.240]   of why it's linear.
[00:02:36.240 --> 00:02:38.280]   Like the parameters are like a bucket.
[00:02:38.280 --> 00:02:40.120]   And so the data's like water.
[00:02:40.120 --> 00:02:42.200]   And so size of the bucket is proportional
[00:02:42.200 --> 00:02:43.080]   to the size of the water.
