
[00:00:00.040 --> 00:00:09.300]   TED
[00:00:09.300 --> 00:00:10.460]   as the have
[00:01:53.060 --> 00:02:01.060]  ертвed the secret of life yes um i i learned how to solve many of the world's most important
[00:02:01.060 --> 00:02:05.300]   problems which all sound presumptuous but all of those are things i learned at that boundary
[00:02:05.300 --> 00:02:09.780]   okay so uh touring environment let's start there some of the most impactful important humans who
[00:02:09.780 --> 00:02:17.060]   have ever lived in computing why were they wrong so i worked with uh andy gleason who is touring's
[00:02:17.060 --> 00:02:21.460]   counterpart so just for background if anybody doesn't know touring is credited with the modern
[00:02:21.500 --> 00:02:28.280]   they
[00:02:28.280 --> 00:02:33.220]  ijke
[00:02:33.220 --> 00:02:51.480]  'm I I All기는
[00:03:21.500 --> 00:03:21.500]  ,
[00:03:21.500 --> 00:03:21.500]  ,
[00:03:31.800 --> 00:03:51.520]   - Yeah. - Then von Neumann wrote deeply and beautifully about many things, but not computing. He wrote a horrible memo called the first draft of a report on the EDVAC, which is how you program a very early computer. In it, he essentially roughly took Turing's architecture and built it into a machine. So the legacy of that is
[00:03:51.520 --> 00:03:51.520]   - Yeah.
[00:03:51.560 --> 00:04:01.780]   2021
[00:04:01.780 --> 00:04:03.000]   you on
[00:04:22.000 --> 00:04:22.000]   and
[00:05:49.540 --> 00:05:59.100]   change
[00:05:59.100 --> 00:06:00.400]   TH L Sh
[00:06:00.400 --> 00:06:19.500]   toi感覺 live see. S. .. -, -, I'm, Si, manages, as, call,,,,,,,,,,,,,,,,,,,, Mr. Г Leute nghĩ Mo wrath inten corre AGTGirl이에� peppersandez essay continuVID warned leicht� ceramicäng was trash another issue of a least unなんです好 ...C... ...I ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...... ...... of ...... ... ... ... ... ... ... ...... ...... and ...... mean.... for ' ... control " Кор touchscreen cel prepared abuse و than Ai live couldn correctionada ass della separate and the ho
[00:06:19.560 --> 00:06:25.520]   So, I never understood the difference between computer science and physical science.
[00:06:25.520 --> 00:06:36.420]   And working at that boundary helped lead to things like my lab was part of doing with a number of interesting collaborators, the first faster than classical quantum computations.
[00:06:36.420 --> 00:06:42.720]   We were part of a collaboration creating the minimal synthetic organism where you design life in a computer.
[00:06:42.720 --> 00:06:48.380]   Those both involve domains where you just can't separate hardware from software.
[00:06:48.420 --> 00:07:18.420]   in high school
[00:07:18.420 --> 00:07:18.420]   I really wanted
[00:07:18.420 --> 00:07:18.420]   I really wanted to do a lot more with a computer.
[00:07:18.420 --> 00:07:18.420]   I really wanted to do a lot more with a computer.
[00:07:18.420 --> 00:07:18.420]   I really wanted to do a lot more with a computer.
